answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,56.64224606709155,-2.9951918012436676,1653847264,21,1952,70,Female,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
1,57.64666543924418,-3.0191369156688874,1655213829,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,60.117706928761805,-1.2887189658437626,1663162643,351,2008,14,Male,School,1500,Lerwick,"Shetland Isles",ZE1,"Shetland Islands"
1,58.062752421813336,-3.942089819979697,1664911429,2127,1955,67,Female,Y,1071,Brora,Highland,KW9,"Highlands (Inverness)"
1,55.52197499010817,-3.5887629328049906,1664912451,2142,1967,55,Male,N,1170,Biggar,"South Lanarkshire",ML12,Glasgow
1,55.87354686279299,-3.3643309596018636,1664936261,2430,1953,69,Female,Y,313,"Colinton, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
1,55.76775620473254,-3.9679812969979094,1664959948,2544,1956,66,Male,Y,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
1,55.83654624313485,-4.523067960960574,1664976257,3024,1965,57,Male,Y,1276,Johnstone,Renfrewshire,PA5,Glasgow
1,55.896525651517074,-3.1682792116660607,1664987430,3459,1977,45,Male,N,323,"Moredun, Edinburgh",Edinburgh,"Edinburgh Southeast","Lothian (Edinburgh)"
1,56.46888060238915,-2.91815356532075,1664988919,3504,1967,55,Female,Y,256,"Whitfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
1,55.93496785928608,-3.2607415247656655,1664992808,3585,1982,40,Male,Y,267,"Sighthill, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,57.23029813526492,-2.2611381775016928,1665001192,3960,1977,45,Female,N,114,"Danestone, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,56.198850276159575,-3.206680170967173,1665001349,3623,1949,73,Female,N,1130,Leslie,Fife,KY6,Fife
1,55.844458368737456,-4.324546159301413,1665006265,4183,1957,65,Female,N,670,"Ibrox, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,55.92191250459324,-3.288260915198319,1665008894,4295,1967,55,Female,Y,270,"Meadows and Southside, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,55.93290391365045,-3.2733713856800715,1665010339,4295,1967,55,Female,Y,270,"Meadows and Southside, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,54.684794157885676,-4.934284714986234,1665034615,4443,1980,42,Male,Y,231,Stranraer,"Dumfries and Galloway",DG9,"Dumfries and Galloway"
1,56.080727700930325,-3.636904321925686,1665062514,4705,1989,33,Female,Y,1096,"Dunfermline (centre, north, west: Abbey Parks, Lady's Mill, Garvock, Headwell, Kingseathill, Wellwood, Milesmark, Baldridge, Pittencrieff, Baldridgeburn)",Fife,KY12,Fife
1,57.149127338199264,-2.085856483358949,1665072187,4743,1950,72,Male,N,126,"Bridge of Dee, Aberdeen",Aberdeen,"Aberdeen Southeast","North East (Aberdeen)"
1,55.46383277197951,-4.179980235976081,1665097430,5061,1958,64,Male,Y,802,"New Cumnock","East Ayrshire",KA18,Ayrshire
1,57.27707869954554,-2.1305352153792247,1665137175,5190,2007,15,Other,School,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,55.69879157941878,-3.713943784672693,1665137688,5175,1963,59,Female,N,1167,Lanark,"South Lanarkshire",ML11,Glasgow
1,55.669433688995554,-4.75634647957341,1665448498,5631,1943,79,Female,Y,812,Saltcoats,"East Ayrshire",KA21,Ayrshire
1,55.67383750159176,-4.761821207959996,1665448558,5631,1943,79,Female,Y,812,Saltcoats,"East Ayrshire",KA21,Ayrshire
1,55.88018623790529,-4.135109728279099,1678106956,6318,1939,84,Other,School,603,"Carntyne, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,56.182056950390724,-3.1130482016579037,1679057170,6375,2008,15,Female,School,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
1,56.21877967784432,-3.098213285290725,1679057282,6375,2008,15,Female,School,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
1,56.45323956873046,-3.015365735418551,1679677228,6418,1998,25,Female,Y,261,"Westend, Dundee",Dundee,"Dundee West","Tayside and Angus (Dundee)"
1,55.90496344924652,-4.180240202298858,1695208667,6599,2010,13,Male,School,598,Rutherglen,"South Lanarkshire","Glasgow Northeast",Glasgow
1,55.91068902242721,-4.3602499865076805,1713380854,6921,1943,81,Male,Y,639,"Scotstoun, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
