answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,0,0,1654767688,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,57.63617336415069,-2.681187924112355,1655113372,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,55.64880690381112,-2.500636158069567,1663179446,391,1972,50,Female,N,1451,Kelso,"Scottish Borders",TD5,Borders
1,55.81584814964881,-4.233808394186865,1663689116,432,1986,36,Male,N,651,"Cathcart, Glasgow",Glasgow,"Glasgow South",Glasgow
1,55.83165436015615,-4.225672773926688,1664813757,637,1989,33,Male,N,623,"Shettleston, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,55.95327119523759,-4.1486649860436255,1664818897,631,1953,69,Female,N,508,Lennoxtown,"East Dunbartonshire",G66,Glasgow
1,55.80462237126378,-3.970390024114196,1664877542,1062,1994,28,Male,N,1150,Holytown,"North Lanarkshire",ML1,Glasgow
1,56.544893399739415,-3.233504497652407,1664886661,1462,1981,41,Male,N,1324,"Coupar Angus","Perth and Kinross",PH13,Fife
1,57.59033298091069,-4.140655453867859,1664890830,1611,1980,42,Male,Y,700,Fortrose,Highland,IV10,"Highlands (Inverness)"
1,56.865502437892566,-2.3848150084759654,1664906398,1988,1959,63,Male,Y,18,Laurencekirk,Aberdeenshire,AB30,"North East (Aberdeen)"
1,55.49157474457142,-4.566456839801097,1664924473,2401,1967,55,Male,Y,873,Prestwick,"South Ayrshire",KA9,Ayrshire
1,56.82980290226168,-3.139277599693721,1664947508,2447,1994,28,Female,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
1,55.956773967003585,-3.1428318357067533,1664950643,2464,1973,49,Female,N,285,"Leith, Edinburgh",Edinburgh,"Edinburgh Leith","Lothian (Edinburgh)"
1,57.29519540914498,-2.5382014155110553,1664971241,2743,1978,44,Male,N,70,Insch,Aberdeenshire,AB52,"North East (Aberdeen)"
1,55.81872319544355,-4.489388785660252,1664979808,3164,1965,57,Female,Y,1276,Johnstone,Renfrewshire,PA5,Glasgow
1,57.487549602254774,-2.0736372161854564,1664980598,2869,1990,32,Other,Y,54,Peterhead,Aberdeenshire,AB42,"North East (Aberdeen)"
1,58.9374260738955,-2.844750106048273,1664983956,3025,1996,26,Male,Y,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,55.828810643621836,-3.7458373320706237,1664986119,3419,1971,51,Female,Y,366,Whitburn,"West Lothian",EH47,"Lothian (Edinburgh)"
1,57.244695662265904,-2.2313607834480123,1664995698,3740,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,56.21035048343901,-3.2693379270375247,1665001451,3623,1949,73,Female,N,1130,Leslie,Fife,KY6,Fife
