answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,57.697721479480876,-2.790008418102145,1655213905,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,60.75428896547906,-0.8853256473348761,1663158904,334,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
1,60.47102130995392,-1.270692189410899,1663162727,352,2008,14,Male,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
1,54.96739508943329,-4.554856577553834,1664647295,447,1952,70,Female,Y,225,"Newton Stewart","Dumfries and Galloway",DG8,"Dumfries and Galloway"
1,59.25274587070517,-2.575481593024613,1664804306,564,1956,66,Female,N,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,58.93707640443557,-2.840242380210822,1664806483,564,1956,66,Female,N,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,55.822306688772684,-4.24144073153843,1664823138,708,1958,64,Female,Y,658,"Giffnock, Glasgow",Glasgow,"Glasgow South",Glasgow
1,59.9023059784281,-1.3742634729481145,1664874298,940,1995,27,Male,Y,1555,Hamnavoe,"Shetland Isles",ZE2,"Shetland Islands"
1,56.04304729835378,-4.50560665781829,1664878287,1144,1943,79,Female,Y,557,Alexandria,"West Dunbartonshire",G83,"Argyll and Bute"
1,56.48090238701059,-2.832201329623858,1664886866,1484,1962,60,Female,Y,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
1,56.7795582060995,-3.677179096773177,1664895653,1723,1957,65,Male,Y,1329,Pitlochry,"Perth and Kinross",PH16,Fife
1,56.75033990476909,-2.8380741957801767,1664896438,1742,1964,58,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,57.312370526224115,-2.217403925926087,1664909698,2071,1973,49,Male,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,56.10418430151999,-5.028597971626583,1664914142,2172,1951,71,Male,Y,1241,Dunoon,"Argyll and Bute",PA23,"Argyll and Bute"
