answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,55.9791063119378,-3.2103415900492633,1653915256,112,1988,34,Female,Y,293,"Comely Bank, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
1,0,0,1654767715,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,57.654019765579726,-2.380959771445907,1655113388,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.62560242948184,-2.972556728484892,1655213893,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.66066885105509,-2.814327244317989,1655213904,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
1,57.67114845754069,-2.8394339083923077,1655213910,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.70145960647632,-2.857462181132139,1655213935,220,2007,15,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.69652288094184,-2.7886480657079495,1655214010,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.65062913804147,-2.8211066989423452,1655291392,251,2009,13,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.692727163255114,-2.8995213077179525,1655300292,294,2005,17,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.6793356375482,-2.8211987541790924,1655300324,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.668057253929604,-2.9449205934645653,1655300735,290,2006,16,Female,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.582102068561746,-3.3292781710254777,1655301773,281,2006,16,Female,School,737,Elgin,Moray,IV30,"North East (Aberdeen)"
1,56.21943918285738,-3.2308634219934382,1663172921,369,1967,55,Male,Y,1129,"Glenrothes (west: Caskieberran, Rimbleton, Macedonia, Tanshall)",Fife,KY6,Fife
1,55.86470920066545,-4.357562748542473,1663181520,395,1993,29,Female,Y,678,"Cardonald, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,56.02079270709119,-3.759294446906679,1663240151,421,1992,30,Female,Y,425,Polmont, Falkirk,FK2,"Stirling and Falkirk"
1,55.80626150279952,-4.31198058691737,1663689139,432,1986,36,Male,N,651,"Cathcart, Glasgow",Glasgow,"Glasgow South",Glasgow
1,55.877564341398966,-4.033159010442883,1664817544,664,1980,42,Female,N,1189,Coatbridge,"North Lanarkshire",ML5,Glasgow
1,57.31520314589106,-2.569807711364399,1664817559,662,2003,19,Female,Y,68,Auchleven,Aberdeenshire,AB52,"North East (Aberdeen)"
1,55.825122930068936,-4.447108109881337,1664819381,680,2004,18,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
1,55.85058115796108,-4.4906721378065315,1664821241,695,2004,18,Male,School,1249,"Paisley (north west: Ferguslie Park, Gallowhill, Gockston, Shortroods, )",Renfrewshire,PA3,Glasgow
1,57.57249419275847,-4.617646003071009,1664823814,714,2004,18,Female,Y,704,Strathpeffer,Highland,IV14,"Highlands (Inverness)"
1,57.16246786589099,-4.544403928891851,1664824838,723,2004,18,Female,Y,714,"Inverness (east: Culcabock, Crown, Culduthel, Drummond, Haugh, Hilton, Holm, Lochardil, Millburn, Raigmore)",Highland,IV2,"Highlands (Inverness)"
1,56.04803052601552,-2.7092839094088474,1664826755,733,2003,19,Female,Y,355,"North Berwick","East Lothian",EH39,"Lothian (Edinburgh)"
1,55.820267408678944,-4.605998403942165,1664826804,731,1996,26,Female,Y,1222,Kilbarchan,Renfrewshire,PA10,Glasgow
1,55.82869273874476,-4.233450024618652,1664840393,789,1971,51,Male,Y,672,"Govan, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,56.24598002727742,-3.12653121260128,1664871758,868,1992,30,Female,Y,1105,Cupar,Fife,KY15,Fife
1,56.10985627164751,-3.428617083353342,1664872303,891,1992,30,Female,Y,1096,"Dunfermline (centre, north, west: Abbey Parks, Lady's Mill, Garvock, Headwell, Kingseathill, Wellwood, Milesmark, Baldridge, Pittencrieff, Baldridgeburn)",Fife,KY12,Fife
1,55.90271963154951,-4.411798837407229,1664872624,898,1991,31,Female,Y,546,Clydebank,"West Dunbartonshire",G81,Glasgow
1,55.867071872587935,-3.1137314087054624,1664876612,1010,1997,25,Male,Y,328,Bonnyrigg,Midlothian,EH19,"Lothian (Edinburgh)"
1,57.36510863263393,-4.1145085505738,1664876723,936,1976,46,Male,Y,713,Culloden,Highland,IV2,"Highlands (Inverness)"
1,55.98485760884731,-4.612208726548775,1664878296,1144,1943,79,Female,Y,557,Alexandria,"West Dunbartonshire",G83,"Argyll and Bute"
1,55.98299069432902,-4.0769551441175444,1664880257,1268,1992,30,Female,N,506,Kilsyth,"North Lanarkshire",G65,Glasgow
1,57.108495208040374,-2.227157501138336,1664880426,1225,1958,64,Female,N,133,"Bieldside, Aberdeen",Aberdeen,"Aberdeen Southwest","North East (Aberdeen)"
1,55.769457769384616,-3.864986548652936,1664882256,1253,1995,27,Other,Y,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
1,57.33249541147333,-4.179080856690096,1664883971,1357,1980,42,Female,Y,715,Balloch,Highland,IV2,"Highlands (Inverness)"
1,55.446305064871325,-4.630742138638012,1664884277,1237,1969,53,Female,Y,856,"Ayr (Centre)","South Ayrshire",KA7,Ayrshire
1,55.873371118281156,-4.33645703744302,1664885577,1419,2000,22,Other,N,639,"Scotstoun, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
1,56.22566558220174,-3.303238370224183,1664886131,1469,1996,26,Female,Y,1098,Kinross,"Perth and Kinross",KY13,Fife
1,55.94738956317177,-3.2129200875428228,1664886731,1467,1995,27,Male,Y,288,"Murrayfield, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
1,56.088030088858304,-3.920014218360337,1664887913,1509,2004,18,Female,Y,464,"Stirling (south and east: Braehead, Borestone, Broomridge, Torbrex)",Stirlingshire,FK7,"Stirling and Falkirk"
1,55.94786423337979,-3.8659944421987866,1664888609,1557,1965,57,Female,Y,377,"Falkirk (centre and south: Arnothill, Bantaskin, Callendar Park, Glen Village, Hallglen, Lionthorn, Tamfourhill, Woodlands)",Falkirk,FK1,"Stirling and Falkirk"
1,55.89633867849717,-3.22068046093029,1664889003,1569,1973,49,Female,Y,315,"Fairmilehead, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
1,55.614729256190905,-4.073026933999025,1664891307,1593,1960,62,Male,N,1160,Strathaven,"North Lanarkshire",ML10,Glasgow
1,56.16252630793033,-3.996198394912422,1664892325,1577,2003,19,Male,Y,479,"Stirling (north: Causewayhead, Cornton)",Stirlingshire,FK9,"Stirling and Falkirk"
1,55.9509706498148,-3.6138064512702988,1664893344,1631,1996,26,Male,Y,369,Linlithgow,"West Lothian",EH49,"Lothian (Edinburgh)"
1,55.50761276791859,-3.0299186432232084,1664894359,1697,1983,39,Female,Y,1479,Selkirk,"Scottish Borders",TD7,Borders
1,55.981459900704124,-5.492509979784901,1664894813,1640,1991,31,Male,Y,1254,Lochgilphead,"Argyll and Bute",PA31,"Argyll and Bute"
1,56.381684465277814,-5.547404900920112,1664894914,1716,1985,37,Female,Y,1257,Oban,"Argyll and Bute",PA34,"Argyll and Bute"
1,56.90850291835787,-2.749309569374874,1664896447,1742,1964,58,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,55.4152269585099,-4.743304825860918,1664897543,1741,1976,46,Male,N,856,"Ayr (Centre)","South Ayrshire",KA7,Ayrshire
1,55.471635072094465,-2.1934900612263424,1664897653,1798,1997,25,Other,Y,1451,Kelso,"Scottish Borders",TD5,Borders
1,56.18003712374518,-4.820319705742337,1664898125,1805,1983,39,Male,Y,557,Alexandria,"West Dunbartonshire",G83,"Argyll and Bute"
1,56.17863551516982,-3.383606954591807,1664898822,1823,1988,34,Male,Y,1098,Kinross,"Perth and Kinross",KY13,Fife
1,55.97737525518277,-3.913080130471309,1664903957,1947,1980,42,Female,N,447,"High Bonnybridge",Falkirk,FK4,"Stirling and Falkirk"
1,55.948046232969325,-3.67801468131037,1664905755,1986,2001,21,Other,Y,420,Carron,Falkirk,FK2,"Stirling and Falkirk"
1,55.98641140795054,-3.2293225714603127,1664907984,2036,1967,55,Male,N,278,"Granton, Edinburgh",Edinburgh,"Edinburgh Clermiston Granton","Lothian (Edinburgh)"
1,55.87796093917984,-3.474163170188557,1664908265,2051,1976,46,Female,Y,373,"Mid Calder","West Lothian",EH53,"Lothian (Edinburgh)"
1,57.367949506830456,-4.2590477406622105,1664913271,1405,1983,39,Male,N,714,"Inverness (east: Culcabock, Crown, Culduthel, Drummond, Haugh, Hilton, Holm, Lochardil, Millburn, Raigmore)",Highland,IV2,"Highlands (Inverness)"
1,56.43036928380544,-2.8902785885474565,1664913545,916,1991,31,Other,Y,175,Newport-on-Tay,Fife,DD6,"Tayside and Angus (Dundee)"
1,56.03369848673209,-3.3633526287263793,1664913652,2158,1992,30,Female,Y,1088,Charlestown,Fife,KY11,Fife
1,55.95987474830387,-3.185964818572945,1664914788,2203,2003,19,Female,Y,288,"Murrayfield, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
1,56.26154738205276,-2.753343730172644,1664915398,2222,1992,30,Female,Y,1086,Anstruther,Fife,KY10,Fife
1,55.80894023046131,-4.506578085908134,1664917897,2258,1956,66,Male,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
1,55.490632753934605,-5.513753278207289,1664920671,2348,1997,25,Female,Y,1246,Campbeltown,"Argyll and Bute",PA28,"Argyll and Bute"
1,55.90849358515347,-4.148071966307345,1664921527,2301,2006,16,Female,School,509,Lenzie,"East Dunbartonshire",G66,Glasgow
1,55.728832299529614,-4.188482346182669,1664921680,2370,2003,19,Other,N,534,"East Kilbride (south: Hairmyres, Westwood, The Murray, Murray East, Whitehills, Greenhill, Newlandsmuir, Gardenhall, Crosshouse, Newlands, Lindsayfield, Mossneuk)","South Lanarkshire",G75,Glasgow
1,56.87423869812561,-2.844776246806181,1664923390,2383,2000,22,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,55.92406547170111,-3.032225577794535,1664924079,2402,2001,21,Female,Y,330,Musselburgh,"East Lothian",EH21,"Lothian (Edinburgh)"
1,56.582980718560826,-2.9874581629773322,1664947522,2447,1994,28,Female,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
1,57.599724649270506,-2.9856697766686016,1664950100,2460,1992,30,Female,Y,91,Cullen,Moray,AB56,"North East (Aberdeen)"
1,56.48634309141213,-2.89764569069296,1664953973,2482,1948,74,Female,N,250,"Downfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
1,55.612227991810926,-3.7896351674195734,1664969933,2670,1987,35,Female,Y,1167,Lanark,"South Lanarkshire",ML11,Glasgow
1,56.067967373712015,-3.324096945629622,1664970876,2729,1976,46,Male,Y,1120,Kinghorn,Fife,KY3,Fife
1,56.34835905987292,-5.30260708282096,1664971235,2756,1993,29,Other,Y,1257,Oban,"Argyll and Bute",PA34,"Argyll and Bute"
1,55.7255680631549,-4.218636132687625,1664973770,2899,1994,28,Other,Y,534,"East Kilbride (south: Hairmyres, Westwood, The Murray, Murray East, Whitehills, Greenhill, Newlandsmuir, Gardenhall, Crosshouse, Newlands, Lindsayfield, Mossneuk)","South Lanarkshire",G75,Glasgow
1,55.703187507783966,-3.4358847575956,1664974433,2929,1994,28,Male,Y,363,"West Linton","Scottish Borders",EH46,Borders
1,55.03693089863125,-4.5638353551806805,1664975421,2983,1970,52,Male,Y,227,Wigtown,"Dumfries and Galloway",DG8,"Dumfries and Galloway"
1,55.84769315869787,-4.054459124392479,1664976188,3016,1988,34,Male,Y,1189,Coatbridge,"North Lanarkshire",ML5,Glasgow
1,57.900798297013594,-7.017312732077892,1664977121,3059,2002,20,Female,Y,689,"Isle of Harris","Western Isles (excluding Leverburgh and Rodel areas)",HS3,"Western Isles"
1,55.97355895425815,-4.226531720643708,1664977352,3077,1984,38,Female,N,507,Kirkintilloch,"East Dunbartonshire",G66,Glasgow
1,56.007194098168135,-2.8638396511525293,1664979087,3137,1989,33,Male,Y,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
1,57.58428334598638,-2.8092261911069656,1664979730,3157,1982,40,Female,Y,88,Keith, Moray,AB55,"North East (Aberdeen)"
1,56.10676062126716,-4.219823640454771,1664980744,3167,1990,32,Male,N,473,"Stirling (centre and west: Kings Park, Raploch, Riverside)",Stirlingshire,FK8,"Stirling and Falkirk"
1,56.170301704220634,-4.057906596892935,1664981189,3208,1987,35,Female,Y,477,"Bridge of Allan",Stirlingshire,FK9,"Stirling and Falkirk"
1,55.799397662724175,-4.295138332181569,1664981406,3203,1988,34,Female,Y,653,"Netherlee, Glasgow",Glasgow,"Glasgow South",Glasgow
1,56.147559158172406,-3.5746416244025108,1664981602,3042,1969,53,Male,Y,1096,"Dunfermline (centre, north, west: Abbey Parks, Lady's Mill, Garvock, Headwell, Kingseathill, Wellwood, Milesmark, Baldridge, Pittencrieff, Baldridgeburn)",Fife,KY12,Fife
1,55.92338406986077,-3.5355005999721336,1664983662,3314,1998,24,Female,Y,372,Winchburgh,"West Lothian",EH52,"Lothian (Edinburgh)"
1,55.06580021054054,-4.645204973599242,1664984081,3325,1963,59,Female,Y,824,Girvan,"South Ayrshire",KA26,Ayrshire
1,55.79418391238035,-4.30296329809286,1664985754,3389,1993,29,Female,Y,653,"Netherlee, Glasgow",Glasgow,"Glasgow South",Glasgow
1,55.868788129903834,-4.3890845240292595,1664985912,3396,1990,32,Male,Y,1264,Renfrew,Renfrewshire,PA4,Glasgow
1,55.77385311594287,-4.201772367793308,1664986296,3423,1966,56,Male,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
1,57.021988960958964,-2.4920327907187687,1664987383,3461,1980,42,Male,Y,24,Lumphanan,Aberdeenshire,AB31,"North East (Aberdeen)"
1,56.36380741890386,-5.294429745365997,1664989214,3512,1973,49,Female,Y,1257,Oban,"Argyll and Bute",PA34,"Argyll and Bute"
1,55.96426203744795,-4.223583306576404,1664991290,3557,1994,28,Female,Y,509,Lenzie,"East Dunbartonshire",G66,Glasgow
1,57.21182015642234,-4.517435322504163,1664993096,3647,1998,24,Female,Y,713,Culloden,Highland,IV2,"Highlands (Inverness)"
1,57.614497173552586,-2.8654179482689317,1664993171,3605,1999,23,Female,Y,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,55.75977261914854,-4.009075801383698,1664993576,3559,1978,44,Male,Y,1183,Hamilton,"South Lanarkshire",ML3,Glasgow
1,56.003613228864076,-3.642535078299809,1664994450,3694,1968,54,Male,Y,370,Bo'ness,Falkirk,EH51,"Lothian (Edinburgh)"
1,56.26656592866525,-4.686648776260568,1664994979,3738,1983,39,Female,N,473,"Stirling (centre and west: Kings Park, Raploch, Riverside)",Stirlingshire,FK8,"Stirling and Falkirk"
1,55.957965804000644,-3.5962862587190694,1664996318,3755,1978,44,Female,Y,369,Linlithgow,"West Lothian",EH49,"Lothian (Edinburgh)"
1,56.06055264804151,-3.2301516564524855,1664997062,3809,2004,18,Female,Y,1118,Aberdour,Fife,KY3,Fife
1,57.68747955659689,-3.277659657809112,1664997863,3832,1993,29,Female,Y,738,Lossiemouth,Moray,IV31,"North East (Aberdeen)"
1,55.74577914021136,-4.18450598883304,1664997994,3850,1977,45,Female,Y,534,"East Kilbride (south: Hairmyres, Westwood, The Murray, Murray East, Whitehills, Greenhill, Newlandsmuir, Gardenhall, Crosshouse, Newlands, Lindsayfield, Mossneuk)","South Lanarkshire",G75,Glasgow
