answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,57.30743476184042,-3.084357645115598,1653864351,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
1,57.19011028314826,-2.190369804265369,1653864657,61,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,55.849457377444395,-4.0964218423076915,1654107806,169,1961,61,Female,Y,609,"Garthamlock, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,0,0,1654515401,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,0,0,1654767729,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,0,0,1654768436,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,57.630655855760466,-2.5233708056048156,1655112885,187,2005,17,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.58975218149076,-2.740028974202003,1655113391,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.66865452064751,-2.4830502271707666,1655113412,204,2007,15,Male,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
1,57.30219125161688,-2.877316695621097,1655113414,199,2007,15,Male,School,79,Aberchirder,Aberdeenshire,AB54,"North East (Aberdeen)"
1,57.69288568279872,-2.8530714372106707,1655213899,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.66739911823514,-2.9502147490751147,1655213915,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64846707888488,-2.0604497734265483,1655213932,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
1,57.66094539483935,-2.791204007300557,1655213933,221,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.63586412364677,-3.041648243147707,1655213950,220,2007,15,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.67228781238101,-2.794643338242023,1655214094,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.679465274177936,-2.839644414565688,1655214173,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.65036531368418,-2.9647159090224404,1655291202,236,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.60622455752812,-2.846549300319383,1655291214,255,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.61944788271569,-2.856389609265298,1655291251,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.61963108060765,-2.8640307190849543,1655293788,276,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.645192370951875,-2.836107295794843,1655299993,288,2006,16,Female,School,93,Portessie,Moray,AB56,"North East (Aberdeen)"
1,57.60270621086825,-2.976843196486878,1655300196,286,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.61341639339418,-2.805327663972444,1655300222,282,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64725546530623,-2.9286563467275726,1655300452,296,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.619524399621966,-2.823196820533475,1655300714,279,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.663043122868615,-2.917266295242375,1655300898,293,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.693188189043866,-3.201264175650067,1655301791,281,2006,16,Female,School,737,Elgin,Moray,IV30,"North East (Aberdeen)"
1,60.31976107046008,-1.2066603452302749,1663158794,333,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
1,60.3372715290522,-1.3570676574404281,1663158924,334,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
1,60.711911410370185,-1.1091963571505847,1663159259,338,2008,14,Female,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
1,60.080163131822246,-1.2301721313178509,1663162021,365,2008,14,Male,School,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
