answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,57.664094789449194,-3.4880829452778084,1653910430,110,1984,38,Female,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
1,0,0,1654515617,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,0,0,1654768439,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,57.64270244901083,-2.617791592709481,1655113287,198,2006,16,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.60716749362593,-2.6556744297227044,1655113395,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.66298848120441,-2.4782953357990505,1655113427,204,2007,15,Male,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
1,57.620213150752015,-2.505422079324905,1655113471,188,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.661764187704485,-2.821441973683082,1655213905,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64955157946959,-2.8204174519027876,1655213920,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.62684345893751,-2.225782479591355,1655213942,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
1,57.66592315757584,-2.8094125088840656,1655213945,221,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.69814395096261,-2.8966592126775668,1655213963,220,2007,15,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.66412915989265,-2.905623835726303,1655213964,228,2006,16,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.63900158275786,-2.926459918756978,1655214031,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.66685125138092,-2.886774954564087,1655214035,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.6758115539016,-2.8833256487290995,1655214108,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.68370516931837,-2.9065899895567417,1655214179,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.648507235363425,-2.8745350421260443,1655291208,236,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64295634204223,-2.8142971851039875,1655291220,255,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64348464279281,-2.8728379875744783,1655291251,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64358971928179,-2.9640717885262644,1655291254,237,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.60685410098901,-2.8318692366577167,1655291263,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.67870859261433,-2.8968774717420516,1655291275,247,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.66437511864279,-2.7795034801134584,1655291306,245,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.65697407403542,-2.8158387830951277,1655291312,243,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.66152538644477,-2.9480076300036058,1655291359,248,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.65991210373184,-2.927206302986919,1655293763,271,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.61267811530583,-2.882196359282327,1655293786,268,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.679203432304774,-2.849248219888226,1655293952,270,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64199667574513,-2.8662504245140927,1655300003,288,2006,16,Female,School,93,Portessie,Moray,AB56,"North East (Aberdeen)"
1,57.66761261321955,-2.9533906080387835,1655300111,283,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.65774492171004,-3.036760825345571,1655300210,286,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64805426950861,-3.0148372148078977,1655300463,296,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.629434271317564,-2.8133083971909745,1655300718,279,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
