answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,57.16113542047664,-2.2454301924875093,1653839494,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
1,55.84478692954179,-4.073093272211808,1653845549,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
1,56.711750808847995,-3.0620303017766073,1653855450,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
1,57.21304174523789,-2.1419369359862483,1653864391,61,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,57.55774533277032,-2.440051312992697,1653897901,87,1960,62,Female,Y,78,Turriff,Aberdeenshire,AB53,"North East (Aberdeen)"
1,57.54387483338177,-2.4489621754450916,1653898007,87,1960,62,Female,Y,78,Turriff,Aberdeenshire,AB53,"North East (Aberdeen)"
1,57.6059842925584,-2.9078547226364404,1653899045,92,1961,61,Female,Y,89,Dufftown,Moray,AB55,"North East (Aberdeen)"
1,56.48070929066538,-3.0279168573373583,1653903906,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,57.64271983121537,-3.3355373641485357,1653928725,132,1958,64,Male,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
1,56.897321810073784,-3.101429494135784,1653939716,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,0,0,1654608805,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,0,0,1654768001,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,57.661717174391235,-2.4885851752588835,1655113132,204,2007,15,Male,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
1,57.60636735531201,-2.5640370529873455,1655113140,196,2005,17,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.62414174633428,-2.4955209973085033,1655113149,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.36908810820123,-3.014111479336675,1655113286,193,2006,16,Female,School,79,Aberchirder,Aberdeenshire,AB54,"North East (Aberdeen)"
1,57.55911296454135,-2.5695607796759514,1655113286,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.644364224900436,-2.8507140338618457,1655213782,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.67148451493612,-2.7770263828452113,1655213789,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.62882934432134,-2.9031508779084767,1655213858,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.64799443034323,-2.9452208368329478,1655213870,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.67082986201962,-2.9140017811080554,1655213911,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.628535396214644,-2.828340023949504,1655215389,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.66717111378608,-2.8416860523924266,1655291081,250,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.656516292602845,-2.8301843042017936,1655291127,247,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.685607114938435,-2.919007443033753,1655291130,245,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.62774883840294,-2.8764980415749593,1655291140,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.66718888783575,-2.7682942016196432,1655291180,238,2008,14,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.660031943442405,-2.9848834235893222,1655291184,253,2008,14,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.61500012254743,-2.810901629123456,1655291199,248,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.68901076286371,-2.839984030697319,1655293474,261,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64125333440095,-2.8711457171760397,1655293631,271,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.61284747694464,-2.853946676820561,1655294000,269,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.63341980009611,-2.983851509350633,1655294006,266,2005,17,Female,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.65929941537957,-2.8771257410438325,1655300099,282,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.6267724731455,-2.816823506584954,1655300231,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.617999146285804,-2.892082242144915,1655300567,279,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64375954566756,-2.9405479729599726,1655300713,295,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.66053151697795,-2.881127786212317,1655300717,292,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.66358618297067,-3.000009007122975,1655301569,280,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,60.341351537091384,-1.0147908849773901,1663158945,334,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
1,59.962301357289064,-1.2831776605803664,1663162038,365,2008,14,Male,School,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
1,60.45218867042484,-1.2332753921768824,1663162586,361,2008,14,Female,N,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
1,60.14109794231912,-1.0725064446448969,1663162655,354,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
1,60.35461083608809,-1.260558515291681,1663162768,352,2008,14,Male,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
1,60.16034460697807,-1.291248239357216,1663162882,351,2008,14,Male,School,1500,Lerwick,"Shetland Isles",ZE1,"Shetland Islands"
1,60.58943876228396,-0.8104930486881528,1663162889,356,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
1,55.78413728321874,-4.274816294751065,1664779465,454,1955,67,Male,Y,648,"Shawlands, Glasgow",Glasgow,"Glasgow South",Glasgow
1,54.86462997517015,-5.144422142332317,1664797117,516,1988,34,Male,Y,230,Sandhead,"Dumfries and Galloway",DG9,"Dumfries and Galloway"
1,55.8339954901988,-4.039500573722402,1664800914,538,1964,58,Female,Y,1186,Bellshill,"North Lanarkshire",ML4,Glasgow
1,55.84708078991226,-3.357178014683838,1664801906,514,1973,49,Female,Y,308,"Liberton, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
1,55.84287929326197,-4.423848818994483,1664803551,561,1971,51,Female,N,1220,"Paisley (central, east and north east: Ferguslie, Oldhall, Seedhill, Williamsburgh, Whitehaugh)",Renfrewshire,PA1,Glasgow
1,58.91665465141638,-2.8968380165669116,1664806535,564,1956,66,Female,N,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,56.86491457283267,-3.268306852619377,1664809972,608,1975,47,Male,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
1,57.385887143622256,-2.662153479015329,1664817578,662,2003,19,Female,Y,68,Auchleven,Aberdeenshire,AB52,"North East (Aberdeen)"
1,55.9381155898514,-3.2577208360734797,1664817663,663,1982,40,Female,Y,287,"Corstorphine, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
1,57.628959717765476,-4.498159757337866,1664823830,714,2004,18,Female,Y,704,Strathpeffer,Highland,IV14,"Highlands (Inverness)"
1,57.3589407778678,-4.19871391222238,1664824858,723,2004,18,Female,Y,714,"Inverness (east: Culcabock, Crown, Culduthel, Drummond, Haugh, Hilton, Holm, Lochardil, Millburn, Raigmore)",Highland,IV2,"Highlands (Inverness)"
1,58.48092188303273,-4.066140447376425,1664828572,741,1944,78,Male,N,931,Borgie,Highland,KW14,"Highlands (Inverness)"
1,56.124434127881145,-3.67111257459497,1664845397,796,1957,65,Female,N,391,Alloa,Clackmannanshire,FK10,"Stirling and Falkirk"
1,60.71369853145434,-0.9606429164545824,1664865733,801,1992,30,Female,Y,1595,Sandwick,"Shetland Isles",ZE2,"Shetland Islands"
1,57.59748156309434,-4.202948662832556,1664866964,808,1983,39,Female,Y,700,Fortrose,Highland,IV10,"Highlands (Inverness)"
1,55.91285511876459,-4.365009317193963,1664871135,838,1960,62,Male,Y,641,"Knightswood, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
1,57.161398043670175,-2.0902495831203214,1664871267,827,1947,75,Female,Y,107,"Rosemount, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
1,57.66356435801938,-2.4933307164427485,1664873798,927,1968,54,Female,N,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
1,55.637316966491206,-4.175537608348067,1664874051,935,1973,49,Female,Y,1160,Strathaven,"North Lanarkshire",ML10,Glasgow
1,60.164287048253584,-1.508897491974705,1664874327,940,1995,27,Male,Y,1555,Hamnavoe,"Shetland Isles",ZE2,"Shetland Islands"
1,56.15691140689823,-3.225635939234602,1664876129,1004,1970,52,Female,N,1117,"Kirkcaldy (west: Hayfield, Templehall, Newliston, Chapel, Dunnikier, Bennochy)",Fife,KY2,Fife
1,56.10706731922869,-4.758939476025878,1664878322,1144,1943,79,Female,Y,557,Alexandria,"West Dunbartonshire",G83,"Argyll and Bute"
1,57.762756482815064,-4.185183414940775,1664879829,1218,1970,52,Female,Y,708,Invergordon,Highland,IV18,"Highlands (Inverness)"
1,57.11064539752687,-2.3209309819606823,1664880466,1225,1958,64,Female,N,133,"Bieldside, Aberdeen",Aberdeen,"Aberdeen Southwest","North East (Aberdeen)"
1,55.72332933750371,-4.488150486201766,1664880582,1236,1961,61,Female,Y,837,"Kilmarnock (north: Onthank, Townholm, Altonhill, Longpark, Beansburn, New Farm Loch, Knockinlaw, Hillhead, Crookedholm)","East Ayrshire",KA3,Ayrshire
1,55.82330448279435,-4.057788688333179,1664880839,1244,1995,27,Female,Y,525,Uddingston,"South Lanarkshire",G71,Glasgow
1,57.18174436476696,-2.2816884806561863,1664880840,1265,1960,62,Female,Y,112,"Dyce, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,56.03527240302722,-3.885811138813809,1664881817,1305,1985,37,Male,Y,456,"Head of Muir",Falkirk,FK6,"Stirling and Falkirk"
1,56.100421337986816,-3.3492757536554736,1664882292,1125,1978,44,Female,Y,1121,Cowdenbeath,Fife,KY4,Fife
1,55.02537664044084,-3.522042525701758,1664882799,1282,1981,41,Male,Y,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
1,57.085808836440954,-2.241717654937154,1664883558,1348,1977,45,Male,Y,5,"Cove Bay",Aberdeenshire,AB12,"North East (Aberdeen)"
1,56.83170276268933,-2.8666962744747235,1664884438,1399,1993,29,Male,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,55.87698928542105,-3.31698590264954,1664884695,1376,1990,32,Female,Y,308,"Liberton, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
1,56.68863619521495,-3.17081043943261,1664885089,1400,1990,32,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
1,56.20849590425133,-4.130262453302908,1664886721,1471,1967,55,Male,N,410,Callander,Stirlingshire,FK17,"Stirling and Falkirk"
1,56.89557123483413,-2.7868215995986563,1664887681,1519,1991,31,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
