answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,55.840361637505026,-4.086733497015296,1653845668,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
1,55.09414413981278,-3.477203469725353,1653852077,26,1978,44,Female,N,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
1,55.78838646518158,-4.178667665080122,1653855383,31,1962,60,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
1,57.27138800722887,-2.1468891223122792,1653857968,43,1955,67,Female,Y,115,"Grandholm, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,57.540508949243645,-2.2689372402703314,1653898220,87,1960,62,Female,Y,78,Turriff,Aberdeenshire,AB53,"North East (Aberdeen)"
1,55.34741270711379,-4.520630921301938,1653899353,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
1,56.464762722426244,-3.0092876300535942,1653904092,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,57.68510500930608,-3.233577475050113,1653910452,110,1984,38,Female,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
1,55.955847069530115,-3.2173917151133637,1653915900,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
1,55.897328558367356,-4.288316556473105,1654107832,169,1961,61,Female,Y,609,"Garthamlock, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,0,0,1654768445,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,57.56473296689736,-2.534676130756891,1655113404,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
