answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,55.7666231628413,-4.236473107677264,1653855396,31,1962,60,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
1,56.473628715734606,-2.9057388748187707,1653861054,52,1958,64,Female,N,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
1,57.25420164309094,-2.162005426202545,1653864758,61,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,55.94743298571851,-3.086549876720423,1653886385,75,1986,36,Female,Y,280,"Duddingston, Edinburgh",Edinburgh,"Edinburgh Duddingston","Lothian (Edinburgh)"
1,56.728434025340526,-2.610026053310461,1653940009,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,55.85376281386416,-4.154386039571819,1654107839,169,1961,61,Female,Y,609,"Garthamlock, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,57.497952830183166,-2.7445506838772893,1654295598,180,1985,37,Male,Y,83,Huntly,Aberdeenshire,AB54,"North East (Aberdeen)"
1,0,0,1654515744,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,0,0,1654768447,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,57.65074921980976,-2.335637148649002,1655113407,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.66287361014449,-2.9260748008435833,1655291295,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.63588691220042,-2.8788371884597077,1655293990,270,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,0,0,1655978432,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,60.69187064514443,-0.8639539285826714,1663162063,365,2008,14,Male,School,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
1,60.51173367126364,-1.1419586082333177,1663162791,352,2008,14,Male,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
1,56.46797723437185,-3.0250133630175946,1664715044,448,1953,69,Female,Y,239,"Charleston, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,55.83126088523476,-4.309978788583688,1664779491,454,1955,67,Male,Y,648,"Shawlands, Glasgow",Glasgow,"Glasgow South",Glasgow
1,56.46840979333739,-3.0254500286344546,1664795554,479,1957,65,Male,N,238,"Menzieshill, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,55.79165443815621,-4.305342311207478,1664795948,512,1941,81,Female,N,656,"Croftfoot, Glasgow",Glasgow,"Glasgow South",Glasgow
1,59.29694619025239,-2.993519812917535,1664798288,527,1947,75,Female,Y,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,60.60924580684821,-1.1974554682218561,1664799338,531,1966,56,Female,Y,1581,"Mid Yell","Shetland Isles",ZE2,"Shetland Islands"
1,55.92758290649103,-4.659130551948623,1664799715,534,1952,70,Male,Y,1229,"Port Glasgow",Inverclyde,PA14,Glasgow
1,58.85208072493074,-2.864802588257587,1664800275,539,1949,73,Female,Y,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,55.81373880144326,-4.019356142538168,1664800940,538,1964,58,Female,Y,1186,Bellshill,"North Lanarkshire",ML4,Glasgow
1,56.841655218476305,-2.8013497755330787,1664801991,550,1980,42,Female,Y,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,56.48125514689403,-3.030421164896091,1664803857,562,1952,70,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,59.11468674932016,-2.9661563488045277,1664806564,564,1956,66,Female,N,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,56.46693978580124,-3.6178498129895504,1664806590,589,1963,59,Female,Y,1313,"Perth (north and west: Burghmuir, Cherrybank, Hillyland, Inveralmond, Lethom, Muirton, North Muirton, Tulloch)","Perth and Kinross",PH1,Fife
1,55.38944052474895,-4.75611957954871,1664806767,592,1959,63,Female,Y,856,"Ayr (Centre)","South Ayrshire",KA7,Ayrshire
1,59.32045253499614,-3.023373366314691,1664806961,593,1957,65,Female,N,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,55.918933431079274,-4.2426745350099395,1664807477,569,1970,52,Female,Y,502,Bishopbriggs,"East Dunbartonshire",G64,Glasgow
1,56.28874280960617,-5.100181107859024,1664807936,597,1970,52,Male,Y,1255,Inveraray,"Argyll and Bute",PA32,"Argyll and Bute"
1,55.90726403495836,-4.4112140006002605,1664809773,605,1975,47,Female,Y,546,Clydebank,"West Dunbartonshire",G81,Glasgow
1,55.66418682115985,-4.2290896544946515,1664809787,609,1968,54,Male,Y,1160,Strathaven,"North Lanarkshire",ML10,Glasgow
