answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,56.686696362952496,-3.1914020742544635,1653855601,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
1,56.496396697605554,-2.7926369948156107,1653861070,52,1958,64,Female,N,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
1,57.18379289318228,-2.1679542574465454,1653864780,61,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,57.56624486270093,-2.492186140526369,1653898249,87,1960,62,Female,Y,78,Turriff,Aberdeenshire,AB53,"North East (Aberdeen)"
1,57.08119792170828,-4.567655594849629,1653910268,53,1991,31,Male,Y,1376,"Fort Augustus",Highland,PH32,"Highlands (Inverness)"
1,57.57432333797957,-3.37262582699364,1653910471,110,1984,38,Female,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
1,55.95320743594814,-3.274425901796592,1653915916,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
1,56.77216254337011,-2.7740932143295454,1653940021,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,55.887248479830824,-2.8386927185963886,1653996971,158,1998,24,Other,Y,350,Pencaitland,"East Lothian",EH34,"Lothian (Edinburgh)"
1,57.40958246977043,-2.7484251549776526,1654295610,180,1985,37,Male,Y,83,Huntly,Aberdeenshire,AB54,"North East (Aberdeen)"
1,0,0,1654768460,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,57.60847262663465,-2.682334124101383,1655112956,187,2005,17,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.65156211211802,-2.4152787398331053,1655113335,198,2006,16,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.639087714310214,-2.575065869263015,1655113371,196,2005,17,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.57499808433124,-2.550624016195629,1655113413,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.623695538748194,-3.0352229504744965,1655213942,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.67715990398383,-2.948643832339345,1655213965,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.651989234616444,-2.023147585711263,1655213997,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
1,57.674889225147986,-2.86667587906327,1655213999,221,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.61189352589736,-2.8295448187910512,1655214021,220,2007,15,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.66121374870416,-2.9708770771785376,1655214131,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.67171631704806,-2.8450940358685264,1655214171,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.63862913137601,-2.9024074589909437,1655214295,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.662259214921804,-2.838978056310665,1655291239,236,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.66949261169984,-2.832033793677451,1655291245,255,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.68844088301659,-2.885329985899717,1655291276,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.615522930513556,-3.013211995746652,1655291278,237,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.676101049384236,-2.7919361173682797,1655291309,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64924891410644,-2.8889639338938466,1655291315,241,2008,14,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64541203775476,-2.923535196028557,1655291345,245,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.63664391619025,-2.8869111156651983,1655291347,238,2008,14,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.668308890005356,-2.8577711289827525,1655291411,248,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.652917775867515,-2.8139565876032755,1655291424,251,2009,13,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.644375324771126,-2.9012918345187417,1655291631,253,2008,14,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.61320790859187,-2.812051442763269,1655293801,271,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.63557345645065,-2.849510429947496,1655293814,268,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.6611686647446,-3.0164559192881715,1655294001,270,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.65910898661647,-2.8691697220236434,1655300040,288,2006,16,Female,School,93,Portessie,Moray,AB56,"North East (Aberdeen)"
1,57.61981407326492,-2.925935877762926,1655300142,283,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.687529632283734,-2.9085068827093044,1655300271,282,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.60426229947522,-2.8303431711882068,1655300334,294,2005,17,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.60938864000324,-2.827400472040205,1655300383,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.66593617792442,-2.8650166095782614,1655300539,296,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.63039047321336,-2.9781275719606475,1655300752,279,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.63608383594617,-2.8829838842216913,1655300822,290,2006,16,Female,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.63744462188005,-2.9089325992731117,1655301608,293,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.63021576954406,-2.742441106000474,1655301695,298,2006,16,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.61584531000619,-2.8023165838295747,1655301839,280,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.688343754754094,-3.4773825015779747,1655301840,281,2006,16,Female,School,737,Elgin,Moray,IV30,"North East (Aberdeen)"
1,60.247804447462165,-1.6358029537156082,1663158827,333,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
1,60.33921156766657,-1.728414732741407,1663158983,334,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
1,60.601810720559016,-1.3463006144591345,1663159318,338,2008,14,Female,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
1,60.26043574102562,-1.232175286214252,1663162069,365,2008,14,Male,School,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
1,60.7489436185053,-0.9394936453932539,1663162187,364,2008,14,Other,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
1,60.45724124974275,-1.2616077004840904,1663162233,359,2008,14,Female,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
1,60.17253754751865,-1.2668519150542354,1663162489,350,2008,14,Male,Y,1622,Voe,"Shetland Isles",ZE2,"Shetland Islands"
1,60.36563572486881,-1.394622750012359,1663162625,361,2008,14,Female,N,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
1,60.49089622992977,-1.3833718038265024,1663162802,352,2008,14,Male,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
1,60.170710696024415,-1.2598882993112446,1663162933,351,2008,14,Male,School,1500,Lerwick,"Shetland Isles",ZE1,"Shetland Islands"
1,60.40787396639924,-1.315474401087061,1663163067,356,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
1,56.22652453450342,-3.231542508595701,1663172988,369,1967,55,Male,Y,1129,"Glenrothes (west: Caskieberran, Rimbleton, Macedonia, Tanshall)",Fife,KY6,Fife
1,55.949390528425035,-3.2622568263934597,1663177983,382,1993,29,Female,Y,287,"Corstorphine, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
1,55.486057546675724,-2.3442566596273036,1663179588,391,1972,50,Female,N,1451,Kelso,"Scottish Borders",TD5,Borders
1,59.876064960826945,-1.2881727516152128,1663232113,414,1992,30,Other,Y,1638,Virkie,"Shetland Isles",ZE3,"Shetland Islands"
1,56.187473894072596,-3.1323633895327974,1663259587,427,1990,32,Male,Y,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
1,59.89955559616692,-1.2903693505365077,1663752106,433,1992,30,Other,Y,1638,Virkie,"Shetland Isles",ZE3,"Shetland Islands"
1,57.66965738741525,-2.964220029514868,1663771037,435,1964,58,Female,Y,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,55.79632522367323,-4.3511231743391745,1663845504,436,1984,38,Male,Y,540,Barrhead,"East Renfrewshire",G78,Glasgow
1,56.20705713781477,-3.2931772795169474,1663861647,369,1967,55,Male,Y,1129,"Glenrothes (west: Caskieberran, Rimbleton, Macedonia, Tanshall)",Fife,KY6,Fife
1,55.057611797665345,-4.46286547151117,1664647348,447,1952,70,Female,Y,225,"Newton Stewart","Dumfries and Galloway",DG8,"Dumfries and Galloway"
1,55.81373745672965,-4.290137357249632,1664779499,454,1955,67,Male,Y,648,"Shawlands, Glasgow",Glasgow,"Glasgow South",Glasgow
1,56.17707128986453,-4.4262454603133605,1664791466,470,1995,27,Female,Y,470,Kippen,Stirlingshire,FK8,"Stirling and Falkirk"
1,57.40071906363101,-2.1995739844120066,1664797719,519,1999,23,Male,Y,49,Ellon,Aberdeenshire,AB41,"North East (Aberdeen)"
1,59.16594816448786,-2.64875137225877,1664798295,527,1947,75,Female,Y,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,59.367114612914094,-2.8956938455255923,1664800283,539,1949,73,Female,Y,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,56.12932120488949,-3.8495365357633182,1664801913,545,1971,51,Female,Y,390,Kincardine,Fife,FK10,"Stirling and Falkirk"
1,55.91230574126865,-3.2161754416899724,1664801934,514,1973,49,Female,Y,308,"Liberton, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
1,56.537732417763124,-2.640288563249153,1664803576,560,1968,54,Female,N,141,Arbroath,Angus,DD11,"Tayside and Angus (Dundee)"
1,57.728407645016375,-3.9508216206575786,1664803592,557,1958,64,Male,Y,717,"Hill of Fearn",Highland,IV20,"Highlands (Inverness)"
1,59.066591610808985,-3.2478207157521437,1664806574,564,1956,66,Female,N,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,59.169044984017674,-2.7851937604277204,1664806969,593,1957,65,Female,N,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,55.73644445383649,-2.96464488191408,1664807339,591,1961,61,Female,Y,1415,Stow,"Scottish Borders",TD1,Borders
1,56.66831951775643,-3.115931959387089,1664809999,608,1975,47,Male,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
1,58.58723529225849,-3.141340822185478,1664811705,622,1982,40,Female,Y,899,Wick,Highland,KW1,"Highlands (Inverness)"
1,56.27747795146234,-2.759916439421262,1664813762,629,1993,29,Male,Y,1114,"St Andrews",Fife,KY16,Fife
1,55.944079809232356,-3.160517108854239,1664816652,650,1993,29,Male,Y,281,"Portobello, Edinburgh",Edinburgh,"Edinburgh Duddingston","Lothian (Edinburgh)"
1,60.81285621921123,-0.8047225379806011,1664817478,660,1982,40,Female,N,1543,Girlsta,"Shetland Isles",ZE2,"Shetland Islands"
1,55.86049169881583,-4.059070121888826,1664817591,664,1980,42,Female,N,1189,Coatbridge,"North Lanarkshire",ML5,Glasgow
1,57.35908113979776,-2.670701481188493,1664817605,662,2003,19,Female,Y,68,Auchleven,Aberdeenshire,AB52,"North East (Aberdeen)"
1,56.15521460181602,-4.688108468042752,1664819301,676,1994,28,Female,Y,553,Arrochar,"Argyll and Bute",G83,"Argyll and Bute"
1,55.81214729840315,-4.434510363186602,1664819461,680,2004,18,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
1,57.242848687658146,-2.354544774268862,1664819600,682,1958,64,Female,Y,64,Inverurie,Aberdeenshire,AB51,"North East (Aberdeen)"
1,60.52085902492049,-1.5104987441247837,1664820449,684,1981,41,Female,N,1596,Scousburgh,"Shetland Isles",ZE2,"Shetland Islands"
1,55.85847410946391,-4.430133605288771,1664821291,695,2004,18,Male,School,1249,"Paisley (north west: Ferguslie Park, Gallowhill, Gockston, Shortroods, )",Renfrewshire,PA3,Glasgow
1,56.49009549195932,-2.8250197129795533,1664822455,709,1994,28,Female,Y,248,"Barnhill, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
1,57.610587566915584,-4.554041799434896,1664823868,714,2004,18,Female,Y,704,Strathpeffer,Highland,IV14,"Highlands (Inverness)"
