answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,56.72315156728504,-3.11578422897228,1653855613,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
1,55.946951825620616,-3.1419245570689487,1653886407,75,1986,36,Female,Y,280,"Duddingston, Edinburgh",Edinburgh,"Edinburgh Duddingston","Lothian (Edinburgh)"
1,56.4819870800138,-3.023829375147043,1653904128,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,57.44329274510239,-3.0092597080677734,1654295618,180,1985,37,Male,Y,83,Huntly,Aberdeenshire,AB54,"North East (Aberdeen)"
1,0,0,1654515849,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,0,0,1654768464,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,57.65285667549785,-2.361361825003208,1655113419,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.67637173004131,-2.829814650037224,1655213948,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.65298620190978,-2.822943402995794,1655213987,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.62710417995266,-2.805023023566572,1655214049,220,2007,15,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.61416053568295,-2.8783463926431723,1655214093,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.68789745156138,-2.8631365397380355,1655291256,255,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.646078662764175,-2.8101767221700356,1655291287,242,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.6532901287446,-2.8043007946860423,1655300056,288,2006,16,Female,School,93,Portessie,Moray,AB56,"North East (Aberdeen)"
1,57.68200989021224,-2.8972889668760184,1655300291,286,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.62758986376838,-2.7991368551584905,1655300546,296,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.63155043776287,-3.014200075809832,1655300756,279,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,0,0,1655978553,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,60.01466495648494,-1.2296792203532017,1663162439,365,2008,14,Male,School,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
