answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,57.63034604530281,-2.6996478746777934,1655113357,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.69263890133925,-2.8909933135235892,1655213855,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
1,57.621568859641336,-2.8260040220997977,1655300698,290,2006,16,Female,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,60.6863367516121,-1.0194789016600152,1663161879,365,2008,14,Male,School,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
1,55.944164207503015,-4.754371105091958,1663178970,387,1991,31,Female,Y,1230,"Greenock (central and east: Bogston, Bridgend, Cartsdyke, Gibshill, Greenock Central, Ladyburn, Upper Ingleston)",Inverclyde,PA15,Glasgow
1,55.838001652216505,-4.349423050620273,1663225161,413,1991,31,Female,Y,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,55.82396662097852,-4.2159436772643,1663271840,428,1963,59,Male,Y,646,"Burnside, Glasgow",Glasgow,"Glasgow South",Glasgow
1,55.851175113762544,-4.324132370715357,1664775911,449,1957,65,Male,N,678,"Cardonald, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,59.37355096631006,-2.4317381017310176,1664804114,564,1956,66,Female,N,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,55.69535330412989,-4.787075961682554,1664829501,743,1952,70,Female,Y,813,Ardrossan,"North Ayrshire",KA22,Ayrshire
1,55.85637569341977,-4.370357989658155,1664840279,789,1971,51,Male,Y,672,"Govan, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,56.48975678330703,-2.9687939884778394,1664875250,978,1956,66,Female,N,255,"Fintry, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
1,57.137436069619504,-2.07580760507493,1664875708,981,1961,61,Female,Y,127,"Torry, Aberdeen",Aberdeen,"Aberdeen Southeast","North East (Aberdeen)"
1,57.63881789503864,-2.1903099265562966,1664876374,1021,1968,54,Female,Y,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
1,55.80776441097816,-3.8896216592681707,1664878393,1155,1972,50,Male,Y,1151,Motherwell,"North Lanarkshire",ML1,Glasgow
1,56.06949200200127,-3.4183587700686497,1664883062,1363,1975,47,Male,N,1094,Rosyth,Fife,KY11,Fife
1,55.91272294138127,-3.5810894304708256,1664887039,1500,1979,43,Male,Y,367,Armadale,"West Lothian",EH48,"Lothian (Edinburgh)"
1,55.58661845406403,-4.356716461025755,1664900993,1876,1992,30,Female,N,843,Galston,"East Ayrshire",KA4,Ayrshire
1,56.45955930971764,-3.026692009736336,1664903801,1941,1957,65,Female,N,260,"City centre, Dundee",Dundee,"Dundee West","Tayside and Angus (Dundee)"
1,55.964305909898485,-3.168048212111913,1664950488,2464,1973,49,Female,N,285,"Leith, Edinburgh",Edinburgh,"Edinburgh Leith","Lothian (Edinburgh)"
1,56.471194301691106,-2.913047102741175,1664953828,2482,1948,74,Female,N,250,"Downfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
1,57.245823452048725,-2.0990486684532774,1664958659,2526,1966,56,Male,N,121,Blackburn,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
1,57.347165334241694,-2.5927660006317765,1664971127,2743,1978,44,Male,N,70,Insch,Aberdeenshire,AB52,"North East (Aberdeen)"
1,55.89861991960551,-3.6521960558978246,1664976053,3012,1967,55,Male,Y,367,Armadale,"West Lothian",EH48,"Lothian (Edinburgh)"
1,55.95190502396072,-4.761352991879251,1664976488,3033,1969,53,Male,N,1230,"Greenock (central and east: Bogston, Bridgend, Cartsdyke, Gibshill, Greenock Central, Ladyburn, Upper Ingleston)",Inverclyde,PA15,Glasgow
1,55.82337632134555,-4.51426054296761,1664979726,3164,1965,57,Female,Y,1276,Johnstone,Renfrewshire,PA5,Glasgow
1,55.85243536462726,-3.88793245029917,1664985451,3377,1987,35,Female,Y,1147,Carfin,"North Lanarkshire",ML1,Glasgow
1,55.913869617430805,-3.284997218391298,1664995269,3736,1997,25,Female,Y,269,"Gorgie, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,55.774484462008324,-3.9424825180592493,1664996279,3788,1976,46,Other,Y,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
1,55.87069013446863,-4.113707392345179,1665039444,4208,1977,45,Male,Y,634,"Maryhill, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,55.781926038304114,-4.601789466230313,1665053029,4618,1998,24,Female,N,1226,Lochwinnoch,Renfrewshire,PA12,Glasgow
1,57.63592454881717,-3.2818803636703886,1665086642,4907,1967,55,Female,N,737,Elgin,Moray,IV30,"North East (Aberdeen)"
1,55.95809420169575,-4.461605889777872,1665095693,5016,1970,52,Female,N,543,Duntocher,"West Dunbartonshire",G81,Glasgow
1,57.24985458366242,-2.244386087041267,1665137182,5190,2007,15,Other,School,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,57.64551925344235,-2.992527488079787,1665177244,5361,1981,41,Male,Y,91,Cullen,Moray,AB56,"North East (Aberdeen)"
1,55.82876280283671,-4.22277297547148,1678106962,6318,1939,84,Other,School,603,"Carntyne, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,56.179099172361134,-3.1776932611753486,1679056886,6370,2008,15,Female,N,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
1,56.178803128560475,-3.109277788128729,1679056955,6400,2009,14,Male,School,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
1,56.214108954456975,-3.1731069633095856,1679057058,6383,2008,15,Female,School,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
1,55.76888652257914,-4.395474564917089,1680010067,6426,2007,16,Female,School,539,"Newton Mearns","East Renfrewshire",G77,Glasgow
1,55.79466877279167,-4.074123242199575,1695208637,6598,2011,12,Male,School,529,Cambuslang,"South Lanarkshire",G72,Glasgow
1,55.911927712627694,-3.705173628690597,1703979034,6704,1999,24,Female,Y,368,Bathgate,"West Lothian",EH48,"Lothian (Edinburgh)"
1,57.740554976376444,-4.18199610380768,1739445050,7296,2011,14,Male,N,708,Invergordon,Highland,IV18,"Highlands (Inverness)"
1,57.778073981281224,-4.112540795272728,1739452247,7317,2010,15,Male,School,708,Invergordon,Highland,IV18,"Highlands (Inverness)"
1,55.84294913042459,-4.451251453613752,1770211196,7497,2011,15,Female,School,1221,Ralston,Renfrewshire,PA1,Glasgow
2,57.31484870051933,-2.745150615234504,1653864306,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
2,0,0,1654514827,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
2,0,0,1654767676,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
2,0,0,1654768085,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
2,57.645100120154495,-2.8725826591049044,1655291207,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
2,57.6185235172629,-2.8076605802857326,1655291207,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
2,57.63810041661234,-2.8362140345679983,1655301239,284,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
2,0,0,1655978101,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
2,59.899950615445846,-1.3522879673117014,1663162673,365,2008,14,Male,School,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
2,60.33577059125418,-0.9895163141170207,1663162685,358,2008,14,Female,School,1561,Hillswick,"Shetland Isles",ZE2,"Shetland Islands"
2,60.18764082222915,-1.4505629548154515,1664799145,531,1966,56,Female,Y,1581,"Mid Yell","Shetland Isles",ZE2,"Shetland Islands"
2,58.937450237005315,-2.9134485650188737,1664806404,564,1956,66,Female,N,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
2,55.88299535923381,-4.246938620803617,1664811427,619,1957,65,Male,Y,600,"Garrowhill, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
2,57.3305408183732,-2.727728644321768,1664817464,662,2003,19,Female,Y,68,Auchleven,Aberdeenshire,AB52,"North East (Aberdeen)"
2,58.94505604196372,-3.091920686461791,1664830614,755,1958,64,Female,Y,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
2,56.62579518856077,-3.0741047773840613,1664831081,753,1955,67,Male,N,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
2,55.85026877467098,-4.275582205201316,1664868346,816,1954,68,Male,N,672,"Govan, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
2,57.66831635573815,-2.5021957638403354,1664873660,927,1968,54,Female,N,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
2,55.90796969811595,-4.355819920900028,1664881265,1281,1982,40,Male,N,644,"Partick, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
2,57.194797930526875,-7.405933486010112,1664887422,1023,1978,44,Female,Y,695,"Isle of South Uist","Western Isles",HS8,"Western Isles"
2,56.66436371639197,-3.068210957302608,1664887528,1502,1995,27,Female,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
2,56.57706573826001,-2.7337936250277486,1664890010,1578,1953,69,Female,N,141,Arbroath,Angus,DD11,"Tayside and Angus (Dundee)"
2,55.934660200131525,-3.137202568612665,1664893695,1672,1949,73,Female,N,322,"Gilmerton, Edinburgh",Edinburgh,"Edinburgh Southeast","Lothian (Edinburgh)"
2,55.49537850059823,-4.144675202251049,1664895197,1720,1968,54,Female,Y,798,Cumnock,"East Ayrshire",KA18,Ayrshire
2,56.212278681478224,-3.421024601167635,1664898758,1823,1988,34,Male,Y,1098,Kinross,"Perth and Kinross",KY13,Fife
