answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,56.83557090646628,-2.6340302068764654,1653940054,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,0,0,1654768468,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,57.661473788306296,-2.2964532315177357,1655113422,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.64789621989355,-2.8955261083634216,1655291436,251,2009,13,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.61966513591335,-2.799976739373871,1655300725,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,60.06589312728701,-1.2332015089868227,1663162447,365,2008,14,Male,School,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
1,58.973635426189446,-2.8151032339906887,1664806607,564,1956,66,Female,N,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,57.26724643510516,-2.2416911979684024,1664880874,1265,1960,62,Female,Y,112,"Dyce, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,56.86215888429877,-3.0114699776787166,1664896518,1742,1964,58,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,56.67097638225589,-2.6862949126767055,1664947568,2447,1994,28,Female,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
1,56.84941768510406,-3.514728778124152,1664986447,3406,1987,35,Male,N,1318,Blairgowrie,"Perth and Kinross",PH10,Fife
1,55.967666254880996,-4.2632557820033385,1664991420,3557,1994,28,Female,Y,509,Lenzie,"East Dunbartonshire",G66,Glasgow
1,55.86859350936764,-4.098377552474265,1678107080,6318,1939,84,Other,School,603,"Carntyne, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,55.83960694897384,-4.333115704810974,1686577495,6509,2007,16,Male,N,682,"Darnley, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,56.477360709845925,-3.0489784293255306,1733782993,7152,1949,75,Male,Y,245,"Law, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
2,57.48947900145456,-1.8203329561055663,1653838424,5,1973,49,Female,Y,54,Peterhead,Aberdeenshire,AB42,"North East (Aberdeen)"
2,55.80439934717342,-4.483638328135223,1653843891,13,1961,61,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
2,56.19197930982197,-3.993009526799785,1653845789,19,1949,73,Female,Y,406,Kinbuck,Stirlingshire,FK15,"Stirling and Falkirk"
2,57.25800790328655,-2.2047264510550635,1653858013,43,1955,67,Female,Y,115,"Grandholm, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
2,57.40853360001865,-2.7172792457575308,1653864397,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
2,57.13901545486755,-2.177847451426724,1653864821,61,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
2,57.42197606944819,-2.3599326258747757,1653898278,87,1960,62,Female,Y,78,Turriff,Aberdeenshire,AB53,"North East (Aberdeen)"
2,56.46953763354753,-2.9921162519942244,1653904139,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
2,57.66593683197444,-3.291445361281665,1653910487,110,1984,38,Female,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
2,0,0,1654515860,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
2,0,0,1654767795,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
2,57.66601525548593,-2.966340763007323,1655291293,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
2,60.14428379504981,-1.174907587565232,1663088992,331,1985,37,Male,Y,1501,Scalloway,"Shetland Isles",ZE1,"Shetland Islands"
2,60.71973213712712,-0.8950274804336251,1663159007,334,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
2,60.11822672338801,-2.0744204368359647,1663159182,342,2007,15,Male,School,1622,Voe,"Shetland Isles",ZE2,"Shetland Islands"
2,60.26224477136529,-1.597952814468101,1663162822,352,2008,14,Male,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
2,55.94888844263846,-3.273036849478067,1663177993,382,1993,29,Female,Y,287,"Corstorphine, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
2,56.63933593121511,-3.121635160379486,1663184671,404,1990,32,Female,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
2,59.89632989217391,-1.308034863333148,1663232131,414,1992,30,Other,Y,1638,Virkie,"Shetland Isles",ZE3,"Shetland Islands"
2,55.81053263335535,-4.261060475561481,1663689349,432,1986,36,Male,N,651,"Cathcart, Glasgow",Glasgow,"Glasgow South",Glasgow
2,59.86932729006417,-1.2767489738598568,1663752117,433,1992,30,Other,Y,1638,Virkie,"Shetland Isles",ZE3,"Shetland Islands"
2,54.761555321907956,-4.4517878769796875,1664647363,447,1952,70,Female,Y,225,"Newton Stewart","Dumfries and Galloway",DG8,"Dumfries and Galloway"
2,60.14404920646997,-1.2002681680893765,1664794109,465,1990,32,Male,Y,1501,Scalloway,"Shetland Isles",ZE1,"Shetland Islands"
2,55.64763371274506,-4.777767995316773,1664795710,506,1981,41,Female,Y,812,Saltcoats,"East Ayrshire",KA21,Ayrshire
2,55.82367986322072,-4.255472445754634,1664795982,512,1941,81,Female,N,656,"Croftfoot, Glasgow",Glasgow,"Glasgow South",Glasgow
2,59.1314692942986,-3.2860516080607445,1664798312,527,1947,75,Female,Y,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
