answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,56.82266383203227,-2.7913359580210173,1653940068,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,0,0,1654768472,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,57.64250444007161,-2.3382017355065976,1655113426,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.62951514465953,-2.9110604679160534,1655213964,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64575892290853,-2.996427202332401,1655214011,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.69746755859336,-2.893090475191039,1655214130,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.64837991511699,-2.835198514079946,1655214182,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.629531741473826,-2.8116171347462617,1655291381,243,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.68732861374778,-2.82058009686345,1655293831,271,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.61491505288985,-2.8624838189289905,1655300117,288,2006,16,Female,School,93,Portessie,Moray,AB56,"North East (Aberdeen)"
1,57.65839208603107,-2.874723095554031,1655300320,286,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.65622617050689,-3.0107868437883485,1655300365,294,2005,17,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.61831810362146,-2.8080012293632994,1655300729,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,60.245304010832946,-1.5594117751110272,1663159016,334,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
1,59.928544248022,-1.310314468157299,1663162463,365,2008,14,Male,School,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
1,60.24788661096224,-1.5078246677213647,1663162529,350,2008,14,Male,Y,1622,Voe,"Shetland Isles",ZE2,"Shetland Islands"
1,60.132650256648624,-2.09736401244653,1663162737,355,2008,14,Female,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
1,60.080420955358115,-1.2490473756955893,1663162829,352,2008,14,Male,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
1,54.94488100669156,-4.7824778406450665,1664647368,447,1952,70,Female,Y,225,"Newton Stewart","Dumfries and Galloway",DG8,"Dumfries and Galloway"
1,55.7931922574435,-4.296667195656022,1664779530,454,1955,67,Male,Y,648,"Shawlands, Glasgow",Glasgow,"Glasgow South",Glasgow
1,55.83018930055303,-4.253610569978632,1664789495,457,1953,69,Male,Y,677,"Hillington, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,59.08944759121177,-3.3465827797396765,1664806616,564,1956,66,Female,N,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,56.89612001233082,-3.152633140865726,1664831239,753,1955,67,Male,N,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
1,55.857546205300544,-4.293045360752752,1664840488,789,1971,51,Male,Y,672,"Govan, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,55.90151031079262,-4.358580047450439,1664871194,838,1960,62,Male,Y,641,"Knightswood, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
1,57.667341813813906,-2.4899600465931075,1664873872,927,1968,54,Female,N,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
1,60.69093702128523,-0.9619995794681229,1664874361,940,1995,27,Male,Y,1555,Hamnavoe,"Shetland Isles",ZE2,"Shetland Islands"
1,56.08553508417284,-4.681321561254102,1664878371,1144,1943,79,Female,Y,557,Alexandria,"West Dunbartonshire",G83,"Argyll and Bute"
1,57.27591425563079,-2.1447133216149203,1664880879,1265,1960,62,Female,Y,112,"Dyce, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,56.08106134006646,-3.3789597319736098,1664882338,1125,1978,44,Female,Y,1121,Cowdenbeath,Fife,KY4,Fife
1,56.71720045870471,-2.687463893309948,1664884480,1399,1993,29,Male,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,56.48573654738726,-2.997310392233433,1664888043,1517,1949,73,Female,Y,234,"Baxter Park, Dundee",Dundee,"Dundee Bluebelt","Tayside and Angus (Dundee)"
1,57.59292716805885,-4.1477840578348895,1664890941,1611,1980,42,Male,Y,700,Fortrose,Highland,IV10,"Highlands (Inverness)"
1,55.55573324922159,-4.21233252436463,1664891525,1593,1960,62,Male,N,1160,Strathaven,"North Lanarkshire",ML10,Glasgow
1,56.71540770633457,-3.9793750771231693,1664895764,1723,1957,65,Male,Y,1329,Pitlochry,"Perth and Kinross",PH16,Fife
