answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,57.23180328961356,-2.101250034561157,1653864849,61,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,56.969013911409945,-2.997116191952036,1653940080,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,55.882525785444564,-2.842370083527565,1653997090,158,1998,24,Other,Y,350,Pencaitland,"East Lothian",EH34,"Lothian (Edinburgh)"
1,57.53091270011127,-2.8351659636724045,1654295657,180,1985,37,Male,Y,83,Huntly,Aberdeenshire,AB54,"North East (Aberdeen)"
1,0,0,1654515885,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,0,0,1654768475,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,57.640716358485605,-2.6356779657390996,1655112980,187,2005,17,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.6415304143046,-2.755147751500409,1655113433,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.643804510395626,-2.873244172913617,1655213995,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
1,57.62930445587369,-2.98557500550025,1655214266,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.659064600466294,-2.7904369515720635,1655214424,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.68858069448367,-2.840918246587082,1655291262,236,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64269963090533,-2.9505210773320942,1655291274,255,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.646723917614885,-3.001624361830386,1655291340,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.65005038021723,-3.01421328617316,1655294080,270,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64531600075424,-2.9380537757474916,1655300310,282,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.68023100646275,-2.8102026124380353,1655300369,294,2005,17,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.63697331010543,-3.0370618211764375,1655300731,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.63286063270606,-2.918870514978908,1655301650,293,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,60.70041817609048,-0.9610242040011521,1663159030,334,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
1,60.271665407646,-1.4793384992092395,1663162477,365,2008,14,Male,School,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
1,60.4595878551301,-1.2391895759577176,1663162840,352,2008,14,Male,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
1,56.034701928406506,-3.749044001068577,1663240222,421,1992,30,Female,Y,425,Polmont, Falkirk,FK2,"Stirling and Falkirk"
1,55.80299998818603,-4.206246325089643,1663346765,430,1960,62,Female,N,571,"Castlemilk, Glasgow",Glasgow,"Glasgow Castlemilk",Glasgow
1,57.67695303513688,-2.838125727409548,1663771069,435,1964,58,Female,Y,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,54.98826869028186,-4.728384324743383,1664647377,447,1952,70,Female,Y,225,"Newton Stewart","Dumfries and Galloway",DG8,"Dumfries and Galloway"
1,59.085780784128175,-2.675084059687709,1664798330,527,1947,75,Female,Y,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,56.59076137503201,-2.766827021914351,1664803630,560,1968,54,Female,N,141,Arbroath,Angus,DD11,"Tayside and Angus (Dundee)"
1,56.484844238546145,-3.0077714942070055,1664803916,562,1952,70,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,59.32971517290544,-2.968012258734491,1664806634,564,1956,66,Female,N,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,55.8330888172179,-4.121380180194928,1664813596,632,1959,63,Female,Y,623,"Shettleston, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,55.76190153443022,-4.207745461147936,1664817146,661,1983,39,Female,Y,534,"East Kilbride (south: Hairmyres, Westwood, The Murray, Murray East, Whitehills, Greenhill, Newlandsmuir, Gardenhall, Crosshouse, Newlands, Lindsayfield, Mossneuk)","South Lanarkshire",G75,Glasgow
1,60.50799523488566,-1.4225392971461996,1664817523,660,1982,40,Female,N,1543,Girlsta,"Shetland Isles",ZE2,"Shetland Islands"
1,55.938480073270526,-4.143786055378822,1664819198,631,1953,69,Female,N,508,Lennoxtown,"East Dunbartonshire",G66,Glasgow
1,55.859995558315205,-4.441026925371554,1664821322,695,2004,18,Male,School,1249,"Paisley (north west: Ferguslie Park, Gallowhill, Gockston, Shortroods, )",Renfrewshire,PA3,Glasgow
1,57.21957212095265,-4.276546853424909,1664824902,723,2004,18,Female,Y,714,"Inverness (east: Culcabock, Crown, Culduthel, Drummond, Haugh, Hilton, Holm, Lochardil, Millburn, Raigmore)",Highland,IV2,"Highlands (Inverness)"
1,60.149753173414986,-1.173409651925641,1664827605,735,1982,40,Female,Y,1500,Lerwick,"Shetland Isles",ZE1,"Shetland Islands"
1,60.1601082329815,-1.1807861291283952,1664837715,783,1952,70,Female,Y,1500,Lerwick,"Shetland Isles",ZE1,"Shetland Islands"
