answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,55.83451692294703,-4.052172565761481,1653845712,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
1,56.69570143882979,-3.1116169830163103,1653855637,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
1,57.5754226101011,-2.3586730647744063,1653898311,87,1960,62,Female,Y,78,Turriff,Aberdeenshire,AB53,"North East (Aberdeen)"
1,55.38254711392983,-4.404372636447272,1653899386,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
1,56.49630056780808,-3.0024065198529346,1653904162,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,57.12679240197148,-4.347131327391416,1653910307,53,1991,31,Male,Y,1376,"Fort Augustus",Highland,PH32,"Highlands (Inverness)"
1,57.64261649367104,-3.2847127503978233,1653910517,110,1984,38,Female,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
1,55.84751545424872,-4.221098370078449,1654107875,169,1961,61,Female,Y,609,"Garthamlock, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,57.614278601466246,-2.6751921756470822,1655113439,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.64153805729001,-3.0256989753073698,1655214029,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.61052804005301,-1.9659165097723263,1655214032,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
1,57.617819507860744,-2.8959491058687625,1655214034,221,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.61844190097133,-2.8238315254950193,1655214154,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.62964460483122,-2.8528870205340393,1655214209,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.670215424534135,-2.861118303484034,1655291384,245,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.659760005038635,-2.862219315223941,1655300733,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64695444456538,-2.9211226994414448,1655300836,279,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,55.9377908672107,-4.365432430353112,1655566994,302,1991,31,Female,Y,488,Bearsden,"East Dunbartonshire",G61,Glasgow
1,60.38753785497992,-1.2425633285853799,1663159037,334,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
1,60.71155290251095,-0.8830015518198933,1663162484,365,2008,14,Male,School,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
1,60.000582645691495,-1.289605733667218,1663162761,355,2008,14,Female,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
1,60.57803912487019,-1.1514345545608964,1663162849,352,2008,14,Male,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
1,55.841366985876206,-4.35578622902575,1663174131,370,1971,51,Female,Y,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,57.54236190884173,-7.314739506296142,1663179020,386,1988,34,Female,Y,693,"Isle of North Uist","Western Isles",HS6,"Western Isles"
1,55.58313942024484,-2.4772371186404274,1663179680,391,1972,50,Female,N,1451,Kelso,"Scottish Borders",TD5,Borders
1,56.02579096583037,-3.7837653545477985,1663240228,421,1992,30,Female,Y,425,Polmont, Falkirk,FK2,"Stirling and Falkirk"
1,56.23733292267074,-3.12415526741991,1663259621,427,1990,32,Male,Y,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
1,56.156197674909805,-4.69414897038835,1664388346,444,1989,33,Female,Y,557,Alexandria,"West Dunbartonshire",G83,"Argyll and Bute"
1,60.15718771043137,-1.2519120949100624,1664794124,465,1990,32,Male,Y,1501,Scalloway,"Shetland Isles",ZE1,"Shetland Islands"
1,56.496463173420146,-2.999733208257763,1664795513,504,1964,58,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,54.86156846330194,-4.919249757162311,1664797185,516,1988,34,Male,Y,230,Sandhead,"Dumfries and Galloway",DG9,"Dumfries and Galloway"
1,55.939606861222266,-3.2621919785498616,1664799136,529,1995,27,Female,Y,287,"Corstorphine, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
1,56.06148127952938,-4.059242983218984,1664801620,547,1996,26,Male,Y,464,"Stirling (south and east: Braehead, Borestone, Broomridge, Torbrex)",Stirlingshire,FK7,"Stirling and Falkirk"
1,55.86147667546674,-3.3095812320997657,1664801984,514,1973,49,Female,Y,308,"Liberton, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
1,56.60278298413743,-2.6170779284673964,1664803643,560,1968,54,Female,N,141,Arbroath,Angus,DD11,"Tayside and Angus (Dundee)"
1,55.94020112825838,-3.2897956261851715,1664804594,109,1954,68,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
1,55.99539988066208,-5.474574440223897,1664806392,585,1994,28,Female,Y,1250,Ardrishaig,"Argyll and Bute",PA30,"Argyll and Bute"
1,59.242417580296525,-2.5595261901214106,1664806643,564,1956,66,Female,N,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,56.18832694323461,-5.162926518743221,1664808006,597,1970,52,Male,Y,1255,Inveraray,"Argyll and Bute",PA32,"Argyll and Bute"
1,56.612263056537245,-3.0840494095372275,1664810038,608,1975,47,Male,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
1,55.882406697140226,-4.2208020104880575,1664813372,630,1987,35,Female,N,623,"Shettleston, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,55.88066858633916,-4.21039339895524,1664813618,632,1959,63,Female,Y,623,"Shettleston, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,55.84109568973151,-4.1105240022954055,1664813917,637,1989,33,Male,N,623,"Shettleston, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,54.83033073637076,-5.037672040887756,1664815745,651,1980,42,Female,N,231,Stranraer,"Dumfries and Galloway",DG9,"Dumfries and Galloway"
1,55.7459643038417,-4.2299004362849475,1664817154,661,1983,39,Female,Y,534,"East Kilbride (south: Hairmyres, Westwood, The Murray, Murray East, Whitehills, Greenhill, Newlandsmuir, Gardenhall, Crosshouse, Newlands, Lindsayfield, Mossneuk)","South Lanarkshire",G75,Glasgow
1,55.90867122818178,-4.363533899517839,1664817278,639,1984,38,Female,Y,644,"Partick, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
1,55.90330249002252,-3.561492354786172,1664817653,665,1969,53,Male,N,375,Livingston,"West Lothian",EH54,"Lothian (Edinburgh)"
1,55.93268582722087,-4.097861940252412,1664819218,631,1953,69,Female,N,508,Lennoxtown,"East Dunbartonshire",G66,Glasgow
1,56.147812959427846,-3.8851845881595692,1664821142,694,2000,22,Male,Y,479,"Stirling (north: Causewayhead, Cornton)",Stirlingshire,FK9,"Stirling and Falkirk"
1,55.85897606423864,-4.453965690473111,1664821331,695,2004,18,Male,School,1249,"Paisley (north west: Ferguslie Park, Gallowhill, Gockston, Shortroods, )",Renfrewshire,PA3,Glasgow
1,55.90313313807587,-4.031363163037932,1664822602,696,1987,35,Female,Y,1189,Coatbridge,"North Lanarkshire",ML5,Glasgow
1,56.28986166043128,-2.7983715752245915,1664823153,711,1960,62,Female,Y,1113,Kingsbarns,Fife,KY16,Fife
1,56.48404388375077,-3.025978506107617,1664823989,712,1956,66,Female,Y,239,"Charleston, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,57.43200657504508,-3.6159103925305933,1664824501,719,1977,45,Female,Y,1371,Grantown-On-Spey,Highland,PH26,"Highlands (Inverness)"
1,57.30629040973821,-4.2143505551348985,1664824909,723,2004,18,Female,Y,714,"Inverness (east: Culcabock, Crown, Culduthel, Drummond, Haugh, Hilton, Holm, Lochardil, Millburn, Raigmore)",Highland,IV2,"Highlands (Inverness)"
1,55.74942251068949,-4.119319492354506,1664828626,737,1994,28,Male,Y,1183,Hamilton,"South Lanarkshire",ML3,Glasgow
1,59.027974587675835,-3.3420647028017827,1664829432,742,1977,45,Female,Y,982,Stromness,Orkney,KW16,"Orkney Islands"
1,56.635727455103066,-2.6086333614826076,1664829981,750,1997,25,Female,Y,141,Arbroath,Angus,DD11,"Tayside and Angus (Dundee)"
1,55.87444195040736,-4.33612498533241,1664831028,756,1998,24,Male,Y,638,"Drumchapel, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
1,55.745527619467474,-4.201682852271048,1664833047,768,1984,38,Female,Y,534,"East Kilbride (south: Hairmyres, Westwood, The Murray, Murray East, Whitehills, Greenhill, Newlandsmuir, Gardenhall, Crosshouse, Newlands, Lindsayfield, Mossneuk)","South Lanarkshire",G75,Glasgow
1,60.14118474951747,-1.1686643819521607,1664837727,783,1952,70,Female,Y,1500,Lerwick,"Shetland Isles",ZE1,"Shetland Islands"
1,55.80886228517483,-4.771034712808704,1664840201,790,2004,18,Male,Y,817,Kilbirnie,"North Ayrshire",KA25,Ayrshire
1,55.82523809057525,-4.357496775113097,1664840503,789,1971,51,Male,Y,672,"Govan, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,56.08383338202748,-3.7397656412644076,1664845463,796,1957,65,Female,N,391,Alloa,Clackmannanshire,FK10,"Stirling and Falkirk"
1,60.22373577036074,-1.5630162566751138,1664865790,801,1992,30,Female,Y,1595,Sandwick,"Shetland Isles",ZE2,"Shetland Islands"
