answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,57.592944896398784,-1.8422026689876871,1653838457,5,1973,49,Female,Y,54,Peterhead,Aberdeenshire,AB42,"North East (Aberdeen)"
1,57.181296886461205,-2.2966610614018834,1653839843,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
1,55.79868374925262,-4.499745218614084,1653843950,13,1961,61,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
1,56.28094914003297,-3.832634080503584,1653845836,19,1949,73,Female,Y,406,Kinbuck,Stirlingshire,FK15,"Stirling and Falkirk"
1,56.857733581987134,-3.014353035418512,1653855645,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
1,57.26994122883589,-2.1968473549347554,1653858085,43,1955,67,Female,Y,115,"Grandholm, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,57.4900360983987,-5.142967462461867,1653860827,55,1975,47,Female,Y,767,Applecross,Highland,IV54,"Highlands (Inverness)"
1,56.4782979600996,-2.8297794152975424,1653861136,52,1958,64,Female,N,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
1,57.191999437558124,-2.0748011320494766,1653864881,61,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,55.94799536934359,-3.159385956146895,1653886444,75,1986,36,Female,Y,280,"Duddingston, Edinburgh",Edinburgh,"Edinburgh Duddingston","Lothian (Edinburgh)"
1,57.58230082183622,-2.2749583451954796,1653898330,87,1960,62,Female,Y,78,Turriff,Aberdeenshire,AB53,"North East (Aberdeen)"
1,55.45645716672004,-4.5683517430540705,1653899393,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
1,57.174415044182815,-2.0830397416805377,1653899630,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
1,56.47348359944713,-3.0056698246032925,1653904170,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,57.11252174274313,-4.587080738651409,1653910315,53,1991,31,Male,Y,1376,"Fort Augustus",Highland,PH32,"Highlands (Inverness)"
1,57.61365635535569,-3.4357111253725505,1653910528,110,1984,38,Female,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
1,55.964985388770046,-3.1924725956077142,1653915473,112,1988,34,Female,Y,293,"Comely Bank, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
1,55.94883824986856,-3.2285952739199693,1653915963,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
1,56.68166114800157,-2.7039018723047876,1653940106,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,55.84989165547379,-4.106940808387064,1654107882,169,1961,61,Female,Y,609,"Garthamlock, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,57.43455789950788,-2.7031685614279977,1654295684,180,1985,37,Male,Y,83,Huntly,Aberdeenshire,AB54,"North East (Aberdeen)"
1,57.65490096440336,-2.7446306701279934,1655112991,187,2005,17,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.6804615215425,-2.3122995436555227,1655113349,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.587814287794934,-2.54664933934679,1655113395,198,2006,16,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
