answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,57.26671854525139,-2.079918584029606,1653839849,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
1,55.8175452993616,-4.462187826060562,1653843965,13,1961,61,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
1,55.819801122490524,-4.0637022317076665,1653845724,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
1,56.24189720911539,-3.911462539370353,1653845849,19,1949,73,Female,Y,406,Kinbuck,Stirlingshire,FK15,"Stirling and Falkirk"
1,55.171857929379044,-3.58167703492844,1653852141,26,1978,44,Female,N,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
1,55.77583817996346,-4.151321676008501,1653855505,31,1962,60,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
1,56.85073914382474,-3.0325840415572474,1653855650,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
1,57.30074612905995,-2.2409598902555987,1653858101,43,1955,67,Female,Y,115,"Grandholm, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,57.373655853460946,-5.460188959889984,1653860833,55,1975,47,Female,Y,767,Applecross,Highland,IV54,"Highlands (Inverness)"
1,55.94829170178264,-3.1259137158293897,1653886452,75,1986,36,Female,Y,280,"Duddingston, Edinburgh",Edinburgh,"Edinburgh Duddingston","Lothian (Edinburgh)"
1,55.37990859722542,-4.531254697568907,1653899402,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
1,57.16813233261254,-4.715732130755636,1653910323,53,1991,31,Male,Y,1376,"Fort Augustus",Highland,PH32,"Highlands (Inverness)"
1,55.95554964305879,-3.2179860388341845,1653915969,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
1,56.80552479265819,-2.865097991686957,1653940113,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,55.88045522524415,-4.2553425244004055,1654107889,169,1961,61,Female,Y,609,"Garthamlock, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,57.60196569720446,-2.518586765644033,1655113456,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.66587047643781,-2.48301765684426,1655113608,204,2007,15,Male,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
1,57.619122729367405,-2.8765536703586427,1655213988,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64107092334795,-2.9662008121701664,1655214030,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
1,57.64916881749294,-2.805955889052837,1655214045,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.63371420738392,-2.273261753943883,1655214049,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
1,57.60566961251,-2.848647289064389,1655214135,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64779656210741,-2.8233846404356973,1655214158,220,2007,15,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.688262844891284,-2.9185111975852904,1655214292,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.65429767489809,-2.8261176452595587,1655291320,237,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.668491877676125,-2.9595826804782237,1655291337,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64369235595988,-2.8327910975627,1655291369,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.66529060864246,-2.837253474966722,1655291423,245,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.659179248024316,-2.925618407213497,1655300168,288,2006,16,Female,School,93,Portessie,Moray,AB56,"North East (Aberdeen)"
1,57.68647678477841,-2.8060425203081767,1655300600,296,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.6673890737034,-2.942904434858451,1655300738,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.665715842239685,-2.9816278215498673,1655300890,290,2006,16,Female,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,55.923791245688975,-4.35476034456756,1655567009,302,1991,31,Female,Y,488,Bearsden,"East Dunbartonshire",G61,Glasgow
