answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,57.63861476462744,-3.331217919221561,1653910553,110,1984,38,Female,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
1,57.671532850069966,-2.9302660376843885,1655213993,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.644741314626785,-2.9883091323008575,1655214296,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.67027078334517,-2.88610745011446,1655214304,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.69502635557598,-2.9039252063513277,1655300741,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,60.521182670738185,-1.3610969443067562,1663158884,333,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
1,60.45888937302105,-1.2173233514040969,1663162778,355,2008,14,Female,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
1,60.62816430485972,-1.1233222998795018,1663162796,354,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
1,60.47936537715403,-1.429479020392474,1663162880,352,2008,14,Male,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
1,55.858030778315076,-4.37179109135058,1663174174,370,1971,51,Female,Y,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,57.68490555760521,-7.218101399027406,1663179046,386,1988,34,Female,Y,693,"Isle of North Uist","Western Isles",HS6,"Western Isles"
1,55.84630786307467,-4.252228015760468,1663225363,413,1991,31,Female,Y,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,55.98344499530893,-4.455634564474637,1664796317,511,1987,35,Female,Y,549,Dumbarton,"West Dunbartonshire",G82,Glasgow
1,55.84452350316251,-4.403636875843327,1664803687,561,1971,51,Female,N,1220,"Paisley (central, east and north east: Ferguslie, Oldhall, Seedhill, Williamsburgh, Whitehaugh)",Renfrewshire,PA1,Glasgow
1,55.41580163280881,-4.692260593093581,1664806842,592,1959,63,Female,Y,856,"Ayr (Centre)","South Ayrshire",KA7,Ayrshire
1,56.30275815271006,-5.025227666468562,1664808054,597,1970,52,Male,Y,1255,Inveraray,"Argyll and Bute",PA32,"Argyll and Bute"
1,56.48974886991273,-2.8510468812588763,1664822528,709,1994,28,Female,Y,248,"Barnhill, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
1,55.788365041187426,-4.289838876940706,1664822540,708,1958,64,Female,Y,658,"Giffnock, Glasgow",Glasgow,"Glasgow South",Glasgow
1,57.65767204121001,-4.532877131647997,1664823913,714,2004,18,Female,Y,704,Strathpeffer,Highland,IV14,"Highlands (Inverness)"
1,55.81981906119155,-4.3534413427871215,1664840533,789,1971,51,Male,Y,672,"Govan, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,55.82293413185669,-4.156002158927593,1664872921,902,1995,27,Male,Y,529,Cambuslang,"South Lanarkshire",G72,Glasgow
1,57.57266893377747,-1.892695278865209,1664874323,932,1991,31,Female,Y,54,Peterhead,Aberdeenshire,AB42,"North East (Aberdeen)"
1,58.06754185498097,-6.574151321215478,1664875340,923,1997,25,Male,Y,688,"Isle of Lewis","Western Isles (outside of Stornoway)",HS2,"Western Isles"
1,54.89145550756235,-4.174067410270238,1664875882,994,1979,43,Male,N,220,"Castle Douglas","Dumfries and Galloway",DG7,"Dumfries and Galloway"
1,55.678850681252385,-3.154645365501099,1664876720,1048,1960,62,Male,N,362,Peebles,"Scottish Borders",EH45,Borders
