answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,57.512313911686896,-1.89179422617827,1653838488,5,1973,49,Female,Y,54,Peterhead,Aberdeenshire,AB42,"North East (Aberdeen)"
1,57.27420324096627,-2.2020221910898226,1653839871,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
1,55.8047642650317,-4.476733552549192,1653844001,13,1961,61,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
1,56.21933758143499,-4.012905318809214,1653845898,19,1949,73,Female,Y,406,Kinbuck,Stirlingshire,FK15,"Stirling and Falkirk"
1,55.13852879730018,-3.6083200883630946,1653852159,26,1978,44,Female,N,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
1,55.772460266352574,-4.156481712626212,1653855537,31,1962,60,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
1,56.64556050918222,-2.869359312963522,1653855669,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
1,57.213321146348854,-2.303776914548232,1653858132,43,1955,67,Female,Y,115,"Grandholm, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,56.49499024940773,-2.816818179232991,1653861182,52,1958,64,Female,N,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
1,57.551153782254836,-2.7276752332149248,1653864445,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
1,57.2801476176899,-2.0638559222138,1653864949,61,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,55.947402748544576,-3.1323927078034,1653886472,75,1986,36,Female,Y,280,"Duddingston, Edinburgh",Edinburgh,"Edinburgh Duddingston","Lothian (Edinburgh)"
1,57.56796102000492,-2.471546860713602,1653898389,87,1960,62,Female,Y,78,Turriff,Aberdeenshire,AB53,"North East (Aberdeen)"
1,57.169011733165846,-2.156277049851843,1653899672,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
1,56.46322472649443,-2.994808111800743,1653904204,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,57.11722331093275,-4.773968203438482,1653910342,53,1991,31,Male,Y,1376,"Fort Augustus",Highland,PH32,"Highlands (Inverness)"
1,55.94774352089146,-3.2485404513706615,1653915987,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
1,56.745960453159476,-2.860037187228653,1653940141,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,57.47646211652381,-2.8043710641831727,1654295737,180,1985,37,Male,Y,83,Huntly,Aberdeenshire,AB54,"North East (Aberdeen)"
1,0,0,1654516953,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,57.66069914315157,-2.763833605329147,1655113469,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.623495229134136,-2.901439288422315,1655214003,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.616636703344014,-1.9186299781818885,1655214067,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
1,57.62368906287891,-2.9545724953069246,1655214070,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.68800286791379,-2.885200613384104,1655214146,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.641002561489394,-2.9098649298771484,1655214215,220,2007,15,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.669691913414084,-2.869269476782576,1655214310,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.66962159592205,-2.8753828884908814,1655214323,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.64104057069777,-2.915191840601182,1655214513,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.70087750873759,-2.886042350107524,1655291311,255,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.63245531176014,-2.87132855218147,1655291391,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.63467587263577,-3.0269021887092094,1655291392,250,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.6751306814137,-2.798429912942859,1655291409,241,2008,14,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.6805962402442,-2.9300242046754312,1655291420,238,2008,14,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.615760555150146,-2.8762101715812842,1655291511,251,2009,13,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.6478916936783,-2.808515473709962,1655293670,261,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.62844597736133,-2.912521437318474,1655293884,271,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.60927170726186,-2.8665220410060903,1655300189,288,2006,16,Female,School,93,Portessie,Moray,AB56,"North East (Aberdeen)"
1,57.60813974378052,-2.9297121697068604,1655300480,294,2005,17,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.607942271275775,-2.828109841526791,1655300624,296,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.651030433534764,-3.0093711977967157,1655300754,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.65204859773683,-2.9396380023873676,1655300871,279,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.65141932359945,-2.5016216315330664,1655301977,298,2006,16,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
1,60.154557105109554,-1.2360399000988476,1663089046,331,1985,37,Male,Y,1501,Scalloway,"Shetland Isles",ZE1,"Shetland Islands"
1,60.144973225759635,-2.102384526577373,1663158889,333,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
1,60.60355704343591,-1.174496099743449,1663159109,334,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
1,60.43038743411934,-1.2649523676068182,1663162564,365,2008,14,Male,School,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
1,60.34599259332149,-1.1917451876458127,1663162611,350,2008,14,Male,Y,1622,Voe,"Shetland Isles",ZE2,"Shetland Islands"
1,60.01858075760966,-1.2852206102844972,1663162784,355,2008,14,Female,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
1,60.72571090739218,-1.030776107595247,1663162801,354,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
1,60.79748355261064,-0.8427578996903784,1663162888,352,2008,14,Male,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
1,56.23473788273225,-3.269463132570625,1663173063,369,1967,55,Male,Y,1129,"Glenrothes (west: Caskieberran, Rimbleton, Macedonia, Tanshall)",Fife,KY6,Fife
1,59.87926152482798,-1.2835381586632288,1663232184,414,1992,30,Other,Y,1638,Virkie,"Shetland Isles",ZE3,"Shetland Islands"
1,55.81382638020034,-4.2191173593688145,1663346841,430,1960,62,Female,N,571,"Castlemilk, Glasgow",Glasgow,"Glasgow Castlemilk",Glasgow
1,59.89825819677005,-1.2936482807783853,1663752164,433,1992,30,Other,Y,1638,Virkie,"Shetland Isles",ZE3,"Shetland Islands"
1,57.627363086631924,-2.802533818851802,1663771113,435,1964,58,Female,Y,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,56.193568507631404,-3.199887348259187,1663861718,369,1967,55,Male,Y,1129,"Glenrothes (west: Caskieberran, Rimbleton, Macedonia, Tanshall)",Fife,KY6,Fife
1,54.9199852597656,-4.330363618580132,1664647415,447,1952,70,Female,Y,225,"Newton Stewart","Dumfries and Galloway",DG8,"Dumfries and Galloway"
1,56.46390502607052,-3.003255514005175,1664715175,448,1953,69,Female,Y,239,"Charleston, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,55.805428010336925,-4.289196380155369,1664779601,454,1955,67,Male,Y,648,"Shawlands, Glasgow",Glasgow,"Glasgow South",Glasgow
1,56.1250535400249,-3.426901794617494,1664791062,469,1965,57,Male,Y,1121,Cowdenbeath,Fife,KY4,Fife
1,55.81001159041115,-4.411649277675709,1664794721,486,1955,67,Female,N,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
