answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,57.612898610075256,-2.8947090903899313,1655214079,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,55.86677398125151,-4.212270267752884,1655217644,214,1999,23,Female,Y,634,"Maryhill, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,55.88805967566049,-4.2088641732548036,1655221044,214,1999,23,Female,Y,634,"Maryhill, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,57.60210163566311,-2.975755723827984,1655291517,251,2009,13,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.62467479722928,-2.834025001147359,1655300636,296,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.6783682035904,-2.806116704331391,1655300763,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,60.66569896089679,-1.01946413751618,1663159129,334,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
1,60.277324924524116,-1.4376763662855598,1663162578,365,2008,14,Male,School,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
1,60.309977949781896,-1.4092913774626683,1663162909,352,2008,14,Male,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
1,55.70535144147736,-4.187672771925119,1663172704,371,1984,38,Male,Y,534,"East Kilbride (south: Hairmyres, Westwood, The Murray, Murray East, Whitehills, Greenhill, Newlandsmuir, Gardenhall, Crosshouse, Newlands, Lindsayfield, Mossneuk)","South Lanarkshire",G75,Glasgow
1,56.20497743556985,-3.232679824969633,1663173096,369,1967,55,Male,Y,1129,"Glenrothes (west: Caskieberran, Rimbleton, Macedonia, Tanshall)",Fife,KY6,Fife
1,55.853762610102606,-4.33087385819037,1663178972,384,1971,51,Female,N,673,"Drumoyne, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,55.82677229092533,-4.235503724895836,1663225374,413,1991,31,Female,Y,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,59.86615665329248,-1.2756003317400453,1663232193,414,1992,30,Other,Y,1638,Virkie,"Shetland Isles",ZE3,"Shetland Islands"
1,55.8503924132466,-3.3302997814140354,1663232704,415,1987,35,Male,Y,319,"Blackford, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
1,56.00634699351948,-3.791549118705047,1663240257,421,1992,30,Female,Y,425,Polmont, Falkirk,FK2,"Stirling and Falkirk"
1,55.816039899475975,-4.233287661505769,1663250494,425,1982,40,Female,Y,645,Clarkston,"East Renfrewshire","Glasgow South",Glasgow
1,55.81983213332207,-4.248301081412431,1663272270,428,1963,59,Male,Y,646,"Burnside, Glasgow",Glasgow,"Glasgow South",Glasgow
1,55.81388980978224,-4.21352693627993,1663346872,430,1960,62,Female,N,571,"Castlemilk, Glasgow",Glasgow,"Glasgow Castlemilk",Glasgow
1,59.87082826938218,-1.2823173254916815,1663752173,433,1992,30,Other,Y,1638,Virkie,"Shetland Isles",ZE3,"Shetland Islands"
1,57.674086745287696,-2.935402040921852,1663771122,435,1964,58,Female,Y,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,56.21724450567878,-3.244927946313801,1663861730,369,1967,55,Male,Y,1129,"Glenrothes (west: Caskieberran, Rimbleton, Macedonia, Tanshall)",Fife,KY6,Fife
1,56.46233309341247,-3.0513586953564222,1664364901,443,1993,29,Male,Y,261,"Westend, Dundee",Dundee,"Dundee West","Tayside and Angus (Dundee)"
1,56.45480843238392,-3.0401339466562516,1664365169,443,1993,29,Male,Y,261,"Westend, Dundee",Dundee,"Dundee West","Tayside and Angus (Dundee)"
1,56.27564396830235,-4.731466597795709,1664388383,444,1989,33,Female,Y,557,Alexandria,"West Dunbartonshire",G83,"Argyll and Bute"
1,55.85952370180103,-4.320008092105086,1664776213,449,1957,65,Male,N,678,"Cardonald, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,55.82808026486804,-4.2067570470444995,1664779644,454,1955,67,Male,Y,648,"Shawlands, Glasgow",Glasgow,"Glasgow South",Glasgow
1,55.86930635402708,-4.1724818294148385,1664792135,472,1999,23,Female,Y,601,Bargeddie,"North Lanarkshire","Glasgow Northeast",Glasgow
1,60.15612717029651,-1.2053329236283472,1664794165,465,1990,32,Male,Y,1501,Scalloway,"Shetland Isles",ZE1,"Shetland Islands"
1,56.47700656446959,-3.0339401581856893,1664795563,504,1964,58,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,56.474300598236916,-3.001215027259609,1664795650,479,1957,65,Male,N,238,"Menzieshill, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
