answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,57.66211662490695,-2.7556951121456823,1655113294,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.65818400136187,-2.81138750193722,1655291156,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,0,0,1655977864,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,55.63251500498079,-4.56902839028924,1664880477,1236,1961,61,Female,Y,837,"Kilmarnock (north: Onthank, Townholm, Altonhill, Longpark, Beansburn, New Farm Loch, Knockinlaw, Hillhead, Crookedholm)","East Ayrshire",KA3,Ayrshire
1,57.62610343342335,-4.140537892799823,1664890749,1611,1980,42,Male,Y,700,Fortrose,Highland,IV10,"Highlands (Inverness)"
1,57.83880490633182,-6.926024054268809,1664977021,3059,2002,20,Female,Y,689,"Isle of Harris","Western Isles (excluding Leverburgh and Rodel areas)",HS3,"Western Isles"
1,55.647072080502156,-2.47412059594903,1664986885,2868,1977,45,Female,Y,1451,Kelso,"Scottish Borders",TD5,Borders
1,55.96769657707047,-3.223354510390574,1664993450,3670,1968,54,Male,Y,287,"Corstorphine, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
1,55.940405788516635,-3.225758210830232,1665010372,4295,1967,55,Female,Y,270,"Meadows and Southside, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,56.46005281515476,-3.041350420169148,1665054381,4647,2004,18,Other,Y,260,"City centre, Dundee",Dundee,"Dundee West","Tayside and Angus (Dundee)"
1,56.06812784123749,-4.3987171518647665,1665075840,4761,1967,55,Female,N,499,Killearn,Stirlingshire,G63,"Stirling and Falkirk"
1,57.19870213260969,-2.0940091712739046,1665137186,5190,2007,15,Other,School,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,57.15622265858201,-2.1731652326065585,1665137399,5195,2006,16,Male,School,103,"Woodside, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
1,57.17333579450047,-2.088822884900818,1665138176,5194,2006,16,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
1,55.83806176985298,-4.797748220825219,1667215703,6034,2007,15,Male,School,842,Largs,"North Ayrshire",KA30,Ayrshire
1,55.967979490378035,-3.212524936372157,1675696137,6214,2009,14,Female,School,292,"Craigleith, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
1,55.85913146796562,-4.111353971359605,1678106966,6318,1939,84,Other,School,603,"Carntyne, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
