answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,57.14132743285795,-2.1979045776571065,1653839531,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
1,56.946367231890626,-2.7994113593275265,1653939783,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,0,0,1654514738,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,0,0,1654768038,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,57.65041000999098,-2.5796969808720673,1655112813,187,2005,17,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.665330702398315,-2.4833672289000703,1655113213,204,2007,15,Male,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
1,57.65518497625024,-2.555178860139258,1655113319,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.66196984562784,-2.7933247093824303,1655213819,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.650903993411916,-1.9845897733974613,1655213851,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
1,57.677774254952915,-2.9070482958972366,1655214010,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,55.832577061683324,-4.102422035567626,1655217222,214,1999,23,Female,Y,634,"Maryhill, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,55.851617817271126,-4.072281435214743,1655220745,214,1999,23,Female,Y,634,"Maryhill, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,57.69084513881087,-2.9043173519171908,1655291173,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.620636502780876,-2.890339195882769,1655291190,237,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.6871362318355,-2.7932782318568425,1655291246,248,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.649460276563296,-2.9981448804808077,1655291254,253,2008,14,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.6131954593746,-2.9070161521007836,1655291325,251,2009,13,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.661502707592334,-2.9720904641520844,1655293517,261,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.62241890330749,-2.796634972896735,1655293673,276,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.65002057526379,-2.931278015239629,1655293678,271,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.66587209644887,-2.8481421344379405,1655293954,272,2005,17,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64091073121806,-2.966751395088691,1655299892,288,2006,16,Female,School,93,Portessie,Moray,AB56,"North East (Aberdeen)"
1,57.64041607295415,-3.005485265666629,1655300042,283,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.67605086511787,-2.8202518172127977,1655300239,294,2005,17,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.63321405587453,-2.787914465771398,1655300267,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.607412661681686,-2.899595603476879,1655300660,290,2006,16,Female,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.62545136158924,-2.9361413180429756,1655300746,292,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.626289488129956,-3.3192434768630523,1655301640,281,2006,16,Female,School,737,Elgin,Moray,IV30,"North East (Aberdeen)"
1,60.70536114893179,-1.1187877261433197,1663161898,365,2008,14,Male,School,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
1,59.926821459518145,-1.3203666848317386,1663162569,356,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
1,60.13397103136219,-1.2919814719525664,1663162702,351,2008,14,Male,School,1500,Lerwick,"Shetland Isles",ZE1,"Shetland Islands"
1,60.4857134584046,-1.5972313866972896,1663162723,358,2008,14,Female,School,1561,Hillswick,"Shetland Isles",ZE2,"Shetland Islands"
1,55.840087390162296,-4.284940117189417,1663271876,428,1963,59,Male,Y,646,"Burnside, Glasgow",Glasgow,"Glasgow South",Glasgow
1,56.46389238443048,-2.9978231754340254,1664795430,479,1957,65,Male,N,238,"Menzieshill, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,56.58111577120396,-2.6904269950557826,1664803352,560,1968,54,Female,N,141,Arbroath,Angus,DD11,"Tayside and Angus (Dundee)"
1,59.12753168075651,-3.1903239989497063,1664804154,564,1956,66,Female,N,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,59.18300190879279,-3.1023503269163406,1664806421,564,1956,66,Female,N,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,57.318203682564935,-2.6714254262028487,1664817483,662,2003,19,Female,Y,68,Auchleven,Aberdeenshire,AB52,"North East (Aberdeen)"
1,59.11187982905475,-3.3043634923377767,1664821031,689,1963,59,Female,N,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,55.844675374164424,-4.459921143175543,1664821168,695,2004,18,Male,School,1249,"Paisley (north west: Ferguslie Park, Gallowhill, Gockston, Shortroods, )",Renfrewshire,PA3,Glasgow
1,55.8856482957824,-4.046531903825381,1664821978,702,1996,26,Male,Y,1189,Coatbridge,"North Lanarkshire",ML5,Glasgow
1,55.87313486159328,-4.071722716962533,1664822429,696,1987,35,Female,Y,1189,Coatbridge,"North Lanarkshire",ML5,Glasgow
1,58.75665643239965,-2.9213626611256434,1664830671,755,1958,64,Female,Y,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,56.612325326326996,-3.09694003559556,1664831098,753,1955,67,Male,N,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
1,55.8460133655686,-4.254796107605056,1664840311,789,1971,51,Male,Y,672,"Govan, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,56.367323053902,-3.7916916541092083,1664873319,44,1958,64,Male,N,1402,Crieff,"Perth and Kinross",PH7,Fife
1,55.32051696760756,-3.8090683733232975,1664873502,921,1965,57,Male,Y,209,Moniaive,"Dumfries and Galloway",DG3,"Dumfries and Galloway"
1,55.84526438058432,-4.377698602276194,1664876115,956,1994,28,Male,Y,1220,"Paisley (central, east and north east: Ferguslie, Oldhall, Seedhill, Williamsburgh, Whitehaugh)",Renfrewshire,PA1,Glasgow
1,57.107334516744295,-2.305265500176621,1664877171,1059,1954,68,Male,N,129,"Ruthrieston, Aberdeen",Aberdeen,"Aberdeen Southwest","North East (Aberdeen)"
1,55.83913976034253,-4.352689334062816,1664877708,1123,1989,33,Female,Y,664,"Toryglen, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,55.80243462577899,-3.875576197553309,1664879035,1181,1980,42,Female,Y,1151,Motherwell,"North Lanarkshire",ML1,Glasgow
1,55.96559180175834,-3.9881982031055334,1664879401,1224,1970,52,Male,Y,517,"Cumbernauld (north: Balloch, Eastfield, Carrickstone, Smithstone, Blackwood, Westfield)","North Lanarkshire",G68,Glasgow
1,55.8572089367707,-4.199804427073182,1664880502,1228,1984,38,Female,Y,629,"Barmulloch, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,55.02144141396938,-3.2655797505427815,1664881065,1275,1957,65,Male,Y,197,Annan,"Dumfries and Galloway",DG12,"Dumfries and Galloway"
1,56.48859235511553,-2.955966852254251,1664882067,1339,1961,61,Female,N,252,"Linlathen and Midcraigie, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
1,55.7968842813831,-3.852790932659733,1664882188,1253,1995,27,Other,Y,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
1,55.90947701294004,-3.1331690041630984,1664882232,1326,1976,46,Male,N,322,"Gilmerton, Edinburgh",Edinburgh,"Edinburgh Southeast","Lothian (Edinburgh)"
1,56.040637749222874,-3.4919148647959752,1664883082,1363,1975,47,Male,N,1094,Rosyth,Fife,KY11,Fife
1,55.85156697868935,-4.278923322112285,1664886903,1476,1994,28,Female,Y,678,"Cardonald, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,55.877271734758374,-3.799946566654362,1664887064,1500,1979,43,Male,Y,367,Armadale,"West Lothian",EH48,"Lothian (Edinburgh)"
1,57.678133777630656,-2.0236634116051726,1664887636,1501,1988,34,Female,Y,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
1,55.63304195954825,-4.6684119552715515,1664888552,1542,1984,38,Female,N,787,"Irvine (centre: Castlepark, Tarryholme)","North Ayrshire",KA12,Ayrshire
1,55.82919139399493,-4.317388681826819,1664888770,1532,1966,56,Female,N,660,"Arden, Glasgow",Glasgow,"Glasgow South",Glasgow
1,55.845791706123435,-4.0701307921071255,1664890029,1598,1981,41,Male,Y,623,"Shettleston, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,55.92766585577795,-4.300453589198981,1664893877,1690,1973,49,Female,Y,488,Bearsden,"East Dunbartonshire",G61,Glasgow
1,56.116036887719716,-3.779989354264336,1664894699,1696,1965,57,Female,N,391,Alloa,Clackmannanshire,FK10,"Stirling and Falkirk"
1,56.47199061455875,-2.9707730839907116,1664895465,1695,1956,66,Male,N,238,"Menzieshill, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,55.76948708023121,-4.115193566027559,1664896084,1745,1972,50,Female,Y,529,Cambuslang,"South Lanarkshire",G72,Glasgow
1,56.08906195352555,-3.1799756141466586,1664897129,1773,1991,31,Female,N,1117,"Kirkcaldy (west: Hayfield, Templehall, Newliston, Chapel, Dunnikier, Bennochy)",Fife,KY2,Fife
1,56.06565381096865,-4.010780122247695,1664897891,1803,1978,44,Male,N,457,Bannockburn,Stirlingshire,FK7,"Stirling and Falkirk"
1,56.49409274623665,-3.0074331981164244,1664900045,1855,1976,46,Male,Y,245,"Law, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
