answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,56.472063867601356,-3.0021942099640166,1653903978,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,57.6460647438611,-2.659754744983799,1655112832,187,2005,17,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.648498459807634,-2.594074138074008,1655113212,198,2006,16,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.61368436526298,-2.489498248482332,1655113348,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.68983515022247,-2.846806730916038,1655213827,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
1,57.63194648944104,-2.2752882937282815,1655213867,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
1,57.60717938844525,-2.874732275662582,1655213922,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.65191900747312,-2.9430271831705084,1655213923,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.6052315577884,-2.841225444520266,1655213954,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.69188614572812,-2.8217749185174377,1655213966,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.67264483595478,-2.89418055756256,1655214048,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.6045313865976,-3.000716690360214,1655214112,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.60799121277303,-2.8358964369639335,1655291190,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.65066857206404,-2.8080126316085097,1655291195,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.661256945403984,-2.8803694570972134,1655293887,270,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.65814088773719,-2.944530656907253,1655293976,272,2005,17,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.64501048570086,-3.0213219855700832,1655299907,288,2006,16,Female,School,93,Portessie,Moray,AB56,"North East (Aberdeen)"
1,57.68188950398366,-2.8364669026335783,1655300142,286,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.678949895742754,-2.9246965136530534,1655300161,282,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.65394122516247,-2.936768646736799,1655300251,294,2005,17,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.62380510995889,-2.9965513748627255,1655300386,296,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.6904461609443,-2.835933032023949,1655300671,279,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.69454250598333,-2.912804212676814,1655300853,292,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.70263737728953,-2.8805321542777924,1655301136,284,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.5983744469834,-3.25174303967085,1655301718,281,2006,16,Female,School,737,Elgin,Moray,IV30,"North East (Aberdeen)"
1,60.55324314199025,-1.4715445845236297,1663158831,334,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
1,60.14239746121545,-1.2019578446718533,1663161942,365,2008,14,Male,School,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
1,60.57997031600398,-1.3797098729435913,1663162028,359,2008,14,Female,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
1,60.6785526687069,-0.9988307444118927,1663162301,350,2008,14,Male,Y,1622,Voe,"Shetland Isles",ZE2,"Shetland Islands"
1,60.31243096434726,-1.2865259180490307,1663162435,361,2008,14,Female,N,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
1,60.52204097808699,-1.0490706964316663,1663162537,354,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
1,60.51456084196892,-1.3613954889162074,1663162597,356,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
1,60.55488788475531,-1.3462131174867271,1663162628,352,2008,14,Male,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
1,60.14451170998014,-1.280571075009685,1663162725,351,2008,14,Male,School,1500,Lerwick,"Shetland Isles",ZE1,"Shetland Islands"
1,60.649477147528536,-1.042378078857115,1663162729,365,2008,14,Male,School,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
1,60.53279680500404,-1.4490759671116717,1663162760,358,2008,14,Female,School,1561,Hillswick,"Shetland Isles",ZE2,"Shetland Islands"
1,59.95151740550646,-1.3085076544760321,1663163079,366,2008,14,Male,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
