answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,56.70060949615928,-3.053482098643633,1653855511,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
1,57.40802137680052,-5.535035937277787,1653860722,55,1975,47,Female,Y,767,Applecross,Highland,IV54,"Highlands (Inverness)"
1,57.17118331251099,-4.682630018783996,1653910144,53,1991,31,Male,Y,1376,"Fort Augustus",Highland,PH32,"Highlands (Inverness)"
1,57.60795446275247,-2.5307776443025,1655113352,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.65372269027806,-2.9824228685774985,1655213852,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.611952066939324,-2.9258611813004403,1655213911,228,2006,16,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.64815667097054,-2.967179558957909,1655213942,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.62891619511933,-2.887558985508876,1655213974,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,55.868925420291504,-4.192611642636285,1655217254,214,1999,23,Female,Y,634,"Maryhill, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,55.907768004046254,-4.1788960915289515,1655220776,214,1999,23,Female,Y,634,"Maryhill, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,57.63672140236774,-2.823131522470619,1655291200,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.68096421635176,-2.9010605186475953,1655291234,245,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.65905565061544,-2.790536336577639,1655291236,238,2008,14,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.61821976393783,-2.9977419680850406,1655293724,276,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.56709702588715,-2.0238257736535274,1655300212,289,2006,16,Female,School,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
1,57.61720720494753,-2.871208377259502,1655300259,294,2005,17,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.57301492216919,-3.344464987903422,1655301740,281,2006,16,Female,School,737,Elgin,Moray,IV30,"North East (Aberdeen)"
1,60.598105137972794,-0.8396826789372911,1663162640,352,2008,14,Male,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
1,55.824893093919094,-4.254213844870565,1663250295,425,1982,40,Female,Y,645,Clarkston,"East Renfrewshire","Glasgow South",Glasgow
1,57.660830781088954,-3.039044517607487,1663770943,435,1964,58,Female,Y,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,55.81735246196314,-4.250212710925389,1664779396,454,1955,67,Male,Y,648,"Shawlands, Glasgow",Glasgow,"Glasgow South",Glasgow
1,56.855783554446326,-2.8180249515178515,1664801916,550,1980,42,Female,Y,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,59.07319718261243,-3.118788744640355,1664804222,564,1956,66,Female,N,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
1,56.57504273768362,-2.891470602856548,1664808236,598,1962,60,Female,N,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
1,55.982336038888654,-4.145645869267116,1664818792,631,1953,69,Female,N,508,Lennoxtown,"East Dunbartonshire",G66,Glasgow
1,55.79695162168322,-4.287449372047288,1664822250,708,1958,64,Female,Y,658,"Giffnock, Glasgow",Glasgow,"Glasgow South",Glasgow
1,57.587213028534634,-4.598289278686406,1664823782,714,2004,18,Female,Y,704,Strathpeffer,Highland,IV14,"Highlands (Inverness)"
1,55.83702063758856,-3.197283254700559,1664848324,797,1980,42,Male,Y,341,Bilston,Midlothian,EH25,"Lothian (Edinburgh)"
1,55.943437125978576,-3.2187805079115206,1664868052,815,1958,64,Male,N,272,"New Town, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,55.89426201075104,-3.7038824763812213,1664871804,858,1984,38,Female,Y,368,Bathgate,"West Lothian",EH48,"Lothian (Edinburgh)"
1,55.87173599321848,-2.94691894660291,1664871962,852,1971,51,Female,Y,353,Pathhead,Midlothian,EH37,"Lothian (Edinburgh)"
1,56.12962062004192,-3.636401035165794,1664872265,891,1992,30,Female,Y,1096,"Dunfermline (centre, north, west: Abbey Parks, Lady's Mill, Garvock, Headwell, Kingseathill, Wellwood, Milesmark, Baldridge, Pittencrieff, Baldridgeburn)",Fife,KY12,Fife
1,56.62462175772888,-2.9898975656384645,1664872706,886,1974,48,Male,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
1,55.846933988114394,-4.343131275323145,1664873120,908,1949,73,Male,Y,663,"Mount Florida, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,57.66661808243776,-2.4928251580994685,1664873715,927,1968,54,Female,N,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
1,60.56569742048868,-1.447716231271907,1664874276,940,1995,27,Male,Y,1555,Hamnavoe,"Shetland Isles",ZE2,"Shetland Islands"
1,55.817626655981066,-4.403956348332274,1664876150,992,1967,55,Male,N,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
1,55.66371799854705,-2.7641111421734776,1664876700,1052,1968,54,Male,Y,1413,Galashiels,"Scottish Borders",TD1,Borders
1,55.66207132406248,-3.64173430638003,1664876855,1070,1968,54,Male,N,1167,Lanark,"South Lanarkshire",ML11,Glasgow
1,55.81648201599686,-4.350155666427321,1664877399,1080,1988,34,Male,Y,661,"Govanhill, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
1,55.759398467943555,-4.236279368392211,1664878159,1146,1957,65,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
1,56.21638344931263,-4.834412819307456,1664878254,1144,1943,79,Female,Y,557,Alexandria,"West Dunbartonshire",G83,"Argyll and Bute"
1,55.76586291604201,-3.910861878365534,1664878378,1107,1957,65,Female,Y,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
1,55.800571797580545,-4.316551059379815,1664878659,1134,1965,57,Female,Y,660,"Arden, Glasgow",Glasgow,"Glasgow South",Glasgow
1,55.79543255103021,-3.974830715467407,1664879067,1181,1980,42,Female,Y,1151,Motherwell,"North Lanarkshire",ML1,Glasgow
1,55.88426133472623,-4.208814404207352,1664879890,1221,1995,27,Male,Y,615,"Bridgeton, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,55.78112220184486,-3.8997449314291948,1664880042,1094,1990,32,Male,Y,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
1,55.79708578682532,-3.9220553840204793,1664880961,1278,1997,25,Female,Y,1151,Motherwell,"North Lanarkshire",ML1,Glasgow
1,55.89987953517797,-4.337715482072628,1664881328,1281,1982,40,Male,N,644,"Partick, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
1,55.43920898274437,-4.633715021605076,1664881451,1288,1956,66,Female,Y,856,"Ayr (Centre)","South Ayrshire",KA7,Ayrshire
1,58.21158160380358,-6.377482999976866,1664882211,1316,1997,25,Male,Y,686,"Stornoway, Isle of Lewis","Western Isles",HS1,"Western Isles"
1,56.151637891294676,-3.4026596611285447,1664882234,1125,1978,44,Female,Y,1121,Cowdenbeath,Fife,KY4,Fife
1,56.98627668723599,-2.4038962660843883,1664882379,1310,1976,46,Male,Y,48,Stonehaven,Aberdeenshire,AB39,"North East (Aberdeen)"
1,56.20046372818464,-3.2376319095548824,1664885811,1442,1970,52,Male,N,1129,"Glenrothes (west: Caskieberran, Rimbleton, Macedonia, Tanshall)",Fife,KY6,Fife
1,55.77761807775322,-4.186359253986009,1664886273,1470,1982,40,Male,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
1,57.82672676919383,-3.9329301592226593,1664886938,1449,1958,64,Female,N,711,Tain,Highland,IV19,"Highlands (Inverness)"
1,55.64990919989619,-4.718594880750238,1664887264,1232,1970,52,Female,Y,788,Kilwinning,"North Ayrshire",KA13,Ayrshire
1,55.96440115094255,-3.158874418427529,1664887678,1489,1956,66,Male,Y,285,"Leith, Edinburgh",Edinburgh,"Edinburgh Leith","Lothian (Edinburgh)"
1,55.831988894240666,-4.268606475058275,1664888843,1532,1966,56,Female,N,660,"Arden, Glasgow",Glasgow,"Glasgow South",Glasgow
1,55.96163230897681,-3.2257302335027287,1664889047,1573,1986,36,Female,Y,278,"Granton, Edinburgh",Edinburgh,"Edinburgh Clermiston Granton","Lothian (Edinburgh)"
1,55.82943879513541,-4.222795270893926,1664890066,1598,1981,41,Male,Y,623,"Shettleston, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
1,55.57947390860927,-4.071111133945659,1664891198,1593,1960,62,Male,N,1160,Strathaven,"North Lanarkshire",ML10,Glasgow
1,56.77750998811685,-2.838819084936079,1664893388,1664,1982,40,Female,Y,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,55.82471259954257,-3.9753003335634167,1664893848,1328,1978,44,Female,Y,1151,Motherwell,"North Lanarkshire",ML1,Glasgow
1,57.400653484438564,-6.603069616300569,1664894034,1701,1994,28,Female,Y,768,"Dunvegan, Isle of Skye",Highland,IV55,"Highlands (Inverness)"
1,55.50667570282959,-3.0312771647544454,1664894322,1697,1983,39,Female,Y,1479,Selkirk,"Scottish Borders",TD7,Borders
1,56.07430071156803,-3.709305682714661,1664894776,1696,1965,57,Female,N,391,Alloa,Clackmannanshire,FK10,"Stirling and Falkirk"
1,56.3276174142869,-5.482850711880798,1664894865,1716,1985,37,Female,Y,1257,Oban,"Argyll and Bute",PA34,"Argyll and Bute"
1,55.347824242394665,-4.1207658590432334,1664895262,1720,1968,54,Female,Y,798,Cumnock,"East Ayrshire",KA18,Ayrshire
1,56.916330825038635,-2.979223770470887,1664896390,1742,1964,58,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,56.24622731725403,-3.545778985167794,1664897388,1776,1963,59,Female,Y,1100,Scotlandwell,"Perth and Kinross",KY13,Fife
1,56.167075708763484,-3.5951185645823625,1664898795,1823,1988,34,Male,Y,1098,Kinross,"Perth and Kinross",KY13,Fife
1,55.81029601272166,-4.096185629706918,1664901641,1881,1962,60,Male,Y,525,Uddingston,"South Lanarkshire",G71,Glasgow
1,57.21598545314266,-2.5438376103033513,1664903523,1914,1967,55,Female,Y,64,Inverurie,Aberdeenshire,AB51,"North East (Aberdeen)"
1,56.459222325724575,-3.044782696289206,1664903879,1941,1957,65,Female,N,260,"City centre, Dundee",Dundee,"Dundee West","Tayside and Angus (Dundee)"
1,56.0152771680661,-2.8256691036629484,1664904700,1963,1976,46,Female,Y,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
1,55.99517805795332,-4.2377500433373685,1664906369,1999,1991,31,Female,Y,510,"Milton of Campsie","East Dunbartonshire",G66,Glasgow
1,55.97409235294909,-3.1535463200235765,1664906786,1489,1956,66,Male,Y,285,"Leith, Edinburgh",Edinburgh,"Edinburgh Leith","Lothian (Edinburgh)"
1,56.46489746966033,-2.9581831205446534,1664907185,2024,1968,54,Male,Y,256,"Whitfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
1,55.62191252628845,-4.395726575811171,1664907464,2015,1978,44,Female,Y,843,Galston,"East Ayrshire",KA4,Ayrshire
1,55.8385713653878,-2.9539683163074306,1664907605,1994,1980,42,Male,Y,353,Pathhead,Midlothian,EH37,"Lothian (Edinburgh)"
