answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,57.58552899555576,-2.704409793043898,1655112850,187,2005,17,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.62438841760345,-2.5298597402486744,1655113369,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.63331329661456,-2.8214304083300807,1655293744,276,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.66688242690243,-2.7843179880691435,1655301243,284,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,60.5114262749708,-1.0715936809933222,1663159201,338,2008,14,Female,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
1,60.405885529453165,-1.3813858429068866,1663162682,352,2008,14,Male,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
1,55.819534168740354,-4.29796252732329,1664778845,454,1955,67,Male,Y,648,"Shawlands, Glasgow",Glasgow,"Glasgow South",Glasgow
1,55.8180149697938,-4.293873655312565,1664779056,454,1955,67,Male,Y,648,"Shawlands, Glasgow",Glasgow,"Glasgow South",Glasgow
1,55.828602594219696,-4.2014669950788015,1664779402,454,1955,67,Male,Y,648,"Shawlands, Glasgow",Glasgow,"Glasgow South",Glasgow
1,55.947854291451655,-4.833489341998012,1664807251,590,1995,27,Female,Y,1235,Gourock,Inverclyde,PA19,Glasgow
1,56.17745006491177,-4.06318446612723,1664897260,1752,1975,47,Female,Y,479,"Stirling (north: Causewayhead, Cornton)",Stirlingshire,FK9,"Stirling and Falkirk"
1,55.931664747069725,-4.700764633050859,1664981238,3207,1963,59,Female,Y,1229,"Port Glasgow",Inverclyde,PA14,Glasgow
1,55.824658507776576,-4.220440594268039,1664981371,3203,1988,34,Female,Y,653,"Netherlee, Glasgow",Glasgow,"Glasgow South",Glasgow
1,55.48697743383012,-2.215116752290396,1664986974,2868,1977,45,Female,Y,1451,Kelso,"Scottish Borders",TD5,Borders
