answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
1,57.226852635381924,-2.1140694669014004,1653839509,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
1,56.47052601063928,-2.98433201800051,1653843718,14,1987,35,Male,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,56.583708575812835,-2.9042870592418972,1653847244,21,1952,70,Female,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
1,56.67278273995331,-3.2084851339988196,1653855460,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
1,57.242116456938305,-2.1452473096896214,1653864417,61,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
1,55.93996299048019,-3.128277093539516,1653886167,75,1986,36,Female,Y,280,"Duddingston, Edinburgh",Edinburgh,"Edinburgh Duddingston","Lothian (Edinburgh)"
1,57.5183994188246,-3.0083507829284355,1653899057,92,1961,61,Female,Y,89,Dufftown,Moray,AB55,"North East (Aberdeen)"
1,57.15002635655888,-2.1885102808404056,1653899132,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
1,57.15393364140322,-2.1260859580667004,1653899280,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
1,56.48180711667615,-3.0250065328153557,1653903920,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
1,57.643788988469936,-3.377629262614478,1653910276,110,1984,38,Female,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
1,55.95363591780114,-3.1999070136643297,1653914702,112,1988,34,Female,Y,293,"Comely Bank, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
1,55.954192623616436,-3.2650798645725088,1653915011,112,1988,34,Female,Y,293,"Comely Bank, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
1,57.6098251632195,-3.4705371776332226,1653928747,132,1958,64,Male,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
1,56.940071452826906,-2.759841155140631,1653939743,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
1,57.53549221879889,-2.7949392522206167,1654295324,180,1985,37,Male,Y,83,Huntly,Aberdeenshire,AB54,"North East (Aberdeen)"
1,0,0,1654514695,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,0,0,1654608809,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
1,57.651589442504886,-2.482348307442032,1655112787,187,2005,17,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.66572677113768,-2.4135524872806617,1655113116,194,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.605590397691316,-2.4834430495782485,1655113123,188,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.577644937743884,-2.5798766452474493,1655113152,196,2005,17,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.60469963350044,-2.692575970749429,1655113291,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
1,57.62069246483471,-2.909062003936969,1655213782,225,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.66019559453819,-2.786431385159057,1655213795,220,2007,15,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.611269897425814,-2.8771381585003177,1655213802,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.624685929022895,-2.9755933822494693,1655213805,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.59516295301602,-2.100418738026431,1655213806,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
1,57.660969205642516,-2.933439272111608,1655213818,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.654303833244725,-2.814250069799059,1655213862,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
1,57.63612714360617,-3.005273967951774,1655213878,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.68810140670886,-2.8915535105967707,1655213961,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.68396380463963,-2.8994796689120403,1655214064,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.69474051852306,-2.8022550857614434,1655291140,245,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
1,57.68304562209699,-2.9256815173004593,1655291150,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.674221315082974,-2.8593575797732855,1655291151,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
1,57.664190073176975,-2.8175593875176688,1655291154,244,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
