answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
knock,56.39520541286753,-3.2252258971319137,1653836099,3,1965,57,Male,Y,1342,Forgandenny,"Perth and Kinross",PH2,Fife
knock,57.24019879588015,-2.2292042611236997,1653838469,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
knock,60.22458134759014,-1.3596284592881103,1653843902,15,1995,27,Male,Y,1561,Hillswick,"Shetland Isles",ZE2,"Shetland Islands"
knock,55.83945918099404,-4.105410104229622,1653844654,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
knock,55.78377980288069,-4.188285377766136,1653847334,22,1963,59,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
knock,56.47220249979341,-2.889362500060116,1653850777,23,1963,59,Female,N,248,"Barnhill, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
knock,56.49889114782823,-2.8050643661361048,1653850810,23,1963,59,Female,N,248,"Barnhill, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
knock,56.378044210587305,-3.803033637621967,1653853544,30,1979,43,Female,Y,1402,Crieff,"Perth and Kinross",PH7,Fife
knock,55.75576683108046,-4.273138300176581,1653853600,31,1962,60,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
knock,55.82703012860834,-4.068558427838025,1653855542,37,1987,35,Female,Y,525,Uddingston,"South Lanarkshire",G71,Glasgow
knock,55.88703120345917,-4.333794790559949,1653856209,40,2002,20,Female,Y,590,"Hyndland, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
knock,57.17371089469594,-2.2060356411649362,1653856581,43,1955,67,Female,Y,115,"Grandholm, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
knock,55.81624046179538,-4.443524276957482,1653856845,45,1980,42,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
knock,55.691486518152594,-3.153919444239886,1653859187,47,2000,22,Male,Y,362,Peebles,"Scottish Borders",EH45,Borders
knock,55.712553868022056,-4.271868085565203,1653859225,49,1980,42,Male,Y,535,Busby,"East Renfrewshire",G76,Glasgow
knock,57.43676566963657,-5.7906325982578455,1653860206,55,1975,47,Female,Y,767,Applecross,Highland,IV54,"Highlands (Inverness)"
knock,55.9856184133945,-2.83827323717525,1653862494,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
knock,55.93658970696354,-3.246187664306521,1653863851,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
knock,57.12108404907736,-2.142583184804785,1653865409,66,1971,51,Female,Y,127,"Torry, Aberdeen",Aberdeen,"Aberdeen Southeast","North East (Aberdeen)"
