answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
tea,56.47195641381978,-2.9015974212825686,1653835779,2,1986,36,Male,Y,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
tea,56.487594399256,-3.2826339416755164,1653836256,3,1965,57,Male,Y,1342,Forgandenny,"Perth and Kinross",PH2,Fife
tea,56.00189339761368,-3.5964695362863335,1653836697,4,2000,22,Male,Y,370,Bo'ness,Falkirk,EH51,"Lothian (Edinburgh)"
tea,56.497164068715975,-2.9556476254131185,1653838083,6,1991,31,Female,Y,256,"Whitfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
tea,55.905822431649774,-3.647387995097303,1653842827,12,1956,66,Female,Y,368,Bathgate,"West Lothian",EH48,"Lothian (Edinburgh)"
tea,56.71129734714605,-2.9817243914122917,1653846287,20,1958,64,Female,N,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
tea,56.71819434201573,-2.8850319057004246,1653846668,21,1952,70,Female,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
tea,55.76262430834127,-4.197407578396327,1653847554,22,1963,59,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
tea,56.463974757171265,-2.866626850973507,1653850950,23,1963,59,Female,N,248,"Barnhill, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
tea,55.17872833749034,-3.5264500892369792,1653851454,26,1978,44,Female,N,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
tea,55.982799449167,-3.162366155129685,1653851630,24,1950,72,Female,N,285,"Leith, Edinburgh",Edinburgh,"Edinburgh Leith","Lothian (Edinburgh)"
tea,55.93985593440981,-4.845539917057404,1653851711,27,1975,47,Male,Y,1235,Gourock,Inverclyde,PA19,Glasgow
tea,56.47839871740437,-2.981314152125272,1653852054,29,1945,77,Male,N,233,"Fairmuir, Dundee",Dundee,"Dundee Bluebelt","Tayside and Angus (Dundee)"
tea,56.66346994675953,-2.9151350299222387,1653854002,33,1966,56,Female,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
tea,57.19717396175711,-2.124762857192854,1653855528,35,1959,63,Male,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
tea,56.232483929360825,-3.0756252830276036,1653855788,38,1980,42,Male,N,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
tea,56.7575361807331,-2.9784883565227807,1653855836,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
tea,55.972330662663246,-2.633367344258131,1653856073,39,1958,64,Male,Y,359,Dunbar,"East Lothian",EH42,"Lothian (Edinburgh)"
tea,57.28478697461643,-2.0260543901284414,1653856761,43,1955,67,Female,Y,115,"Grandholm, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
tea,56.35287206633537,-3.8941815064207628,1653857024,44,1958,64,Male,N,1402,Crieff,"Perth and Kinross",PH7,Fife
tea,56.46913871082792,-2.8888013659849983,1653859865,52,1958,64,Female,N,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
tea,55.87171719608283,-3.048905960147214,1653861366,57,1939,83,Other,Y,334,Dalkeith,Midlothian,EH22,"Lothian (Edinburgh)"
tea,56.644326491620795,-2.6993240838514505,1653862184,58,1964,58,Female,N,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
tea,57.27073660416469,-2.139111251743597,1653863146,61,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
tea,55.79995849687833,-4.266296016651863,1653863977,63,1962,60,Female,Y,658,"Giffnock, Glasgow",Glasgow,"Glasgow South",Glasgow
tea,56.201433444482234,-3.1446345847919606,1653872845,71,1952,70,Other,N,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
tea,57.66781433097536,-2.374710044650834,1653883772,74,1958,64,Female,Y,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
tea,55.66491192949878,-4.363531591196536,1653883779,73,1955,67,Male,N,837,"Kilmarnock (north: Onthank, Townholm, Altonhill, Longpark, Beansburn, New Farm Loch, Knockinlaw, Hillhead, Crookedholm)","East Ayrshire",KA3,Ayrshire
tea,55.94512609754985,-3.1342405248925918,1653885791,75,1986,36,Female,Y,280,"Duddingston, Edinburgh",Edinburgh,"Edinburgh Duddingston","Lothian (Edinburgh)"
tea,55.861569058262766,-4.319091511141277,1653886835,76,1959,63,Female,Y,677,"Hillington, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
tea,57.2813498246385,-2.2100308792461174,1653888518,77,1976,46,Female,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
