answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
remember,55.79970129817639,-4.073891336671573,1653844764,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
remember,56.41576847890269,-3.728144618821574,1653853670,30,1979,43,Female,Y,1402,Crieff,"Perth and Kinross",PH7,Fife
remember,55.94380110875945,-4.0062019941206914,1653856306,41,1981,41,Female,Y,514,"Cumbernauld (south: Condorrat, Lenziemill, Carbrain, Kildrum, Cumbernauld Village, Abronhill, Seafar)","North Lanarkshire",G67,Glasgow
remember,55.86128634694479,-4.286961824321514,1653856323,40,2002,20,Female,Y,590,"Hyndland, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
remember,55.823406458133945,-4.45925790518967,1653856984,45,1980,42,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
remember,56.00927191824145,-2.863950197249954,1653862779,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
remember,55.81927629284111,-4.246060290025727,1653864000,63,1962,60,Female,Y,658,"Giffnock, Glasgow",Glasgow,"Glasgow South",Glasgow
remember,56.055035933586694,-3.699842276811075,1653866289,67,1985,37,Female,Y,386,Clackmannan,Clackmannanshire,FK10,"Stirling and Falkirk"
remember,55.94972385831919,-3.1675712754449545,1653885815,75,1986,36,Female,Y,280,"Duddingston, Edinburgh",Edinburgh,"Edinburgh Duddingston","Lothian (Edinburgh)"
remember,55.861189866494676,-3.3685875138251236,1653895326,86,1950,72,Female,Y,320,"Newington, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
remember,55.74361849699916,-4.035326999981062,1653897400,90,1947,75,Female,Y,1183,Hamilton,"South Lanarkshire",ML3,Glasgow
remember,55.35099573664524,-4.479220115625299,1653898498,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
remember,57.58156206742375,-2.8611325956821925,1653898665,92,1961,61,Female,Y,89,Dufftown,Moray,AB55,"North East (Aberdeen)"
remember,55.829912689073495,-4.466721581400024,1653900946,97,1972,50,Male,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
remember,55.96736887480607,-3.2271261432118044,1653906392,108,1984,38,Male,Y,294,"Stockbridge, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
remember,57.59853194093596,-3.4017005596405134,1653909035,110,1984,38,Female,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
remember,55.97520699159902,-3.1982484936369926,1653910763,112,1988,34,Female,Y,293,"Comely Bank, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
remember,57.19038283493024,-2.247549116155684,1653914556,122,1955,67,Female,Y,124,Newmachar,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
remember,55.90239084736485,-4.4476034108586555,1653925860,129,1986,36,Female,Y,1306,Erskine,Renfrewshire,PA8,Glasgow
remember,55.931278961859896,-3.282884923956957,1653933363,141,1980,42,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
remember,56.34114599973005,-3.295912055214103,1653936808,145,1955,67,Female,Y,1101,Gateside,Fife,KY14,Fife
remember,56.49343133243699,-2.95130241909528,1653947267,154,1972,50,Female,Y,250,"Downfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
remember,56.48372946256282,-2.812166875715432,1654031319,163,1968,54,Female,Y,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
remember,55.87253018489205,-4.257662122274365,1654057592,166,1978,44,Female,Y,585,"Kelvindale, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
remember,57.564587299899,-3.682297606918975,1654123964,170,2000,22,Male,Y,740,Forres,Moray,IV36,"North East (Aberdeen)"
remember,55.761987500022485,-4.035386983978425,1654168989,173,1972,50,Female,Y,1183,Hamilton,"South Lanarkshire",ML3,Glasgow
remember,55.753078926922505,-3.9265471284827154,1654213913,175,2005,17,Male,School,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
remember,55.61761495885051,-4.658633508786134,1654289610,179,1972,50,Male,Y,787,"Irvine (centre: Castlepark, Tarryholme)","North Ayrshire",KA12,Ayrshire
remember,0,0,1654513103,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
