answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
boy,56.475445700649,-2.838020886201022,1653835790,2,1986,36,Male,Y,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
boy,55.95936132221242,-4.377666987287151,1653842720,10,1995,27,Female,Y,489,Milngavie,"East Dunbartonshire",G62,Glasgow
boy,55.60995411393788,-4.575601948424586,1653844445,16,1948,74,Female,Y,808,Crosshouse,"East Ayrshire",KA2,Ayrshire
boy,55.832256183252966,-4.06642802207202,1653844769,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
boy,56.474982290831576,-2.8907522341956513,1653850968,23,1963,59,Female,N,248,"Barnhill, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
boy,55.939973861874044,-4.843428580140064,1653851723,27,1975,47,Male,Y,1235,Gourock,Inverclyde,PA19,Glasgow
boy,55.764138658144624,-4.269794609359022,1653853801,31,1962,60,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
boy,55.83674483655637,-4.067751624065643,1653855697,37,1987,35,Female,Y,525,Uddingston,"South Lanarkshire",G71,Glasgow
boy,56.775832698022796,-3.00241650969305,1653855857,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
boy,55.91709512622305,-4.021782958207096,1653856311,41,1981,41,Female,Y,514,"Cumbernauld (south: Condorrat, Lenziemill, Carbrain, Kildrum, Cumbernauld Village, Abronhill, Seafar)","North Lanarkshire",G67,Glasgow
boy,55.88593352549146,-4.323742710692376,1653856330,40,2002,20,Female,Y,590,"Hyndland, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
boy,57.31989743817646,-2.249401133040965,1653856789,43,1955,67,Female,Y,115,"Grandholm, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
boy,55.82202251433871,-4.412597170984882,1653856994,45,1980,42,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
boy,55.70623395834095,-4.30439970432133,1653859401,49,1980,42,Male,Y,535,Busby,"East Renfrewshire",G76,Glasgow
boy,56.46603901447096,-2.865880805774355,1653859901,52,1958,64,Female,N,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
boy,57.502298374350026,-5.64305726838094,1653860359,55,1975,47,Female,Y,767,Applecross,Highland,IV54,"Highlands (Inverness)"
boy,56.07365309572676,-4.801738756339135,1653862268,59,1973,49,Female,Y,565,Garelochhead,"Argyll and Bute",G84,"Argyll and Bute"
boy,55.953674562302524,-3.1689016793154945,1653863977,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
boy,56.11535041990207,-3.7236374330726445,1653866298,67,1985,37,Female,Y,386,Clackmannan,Clackmannanshire,FK10,"Stirling and Falkirk"
boy,55.83511610702341,-4.207169677482194,1653868120,70,1958,64,Female,Y,612,"Easterhouse, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
boy,55.7189559349107,-4.544517094014794,1653883800,73,1955,67,Male,N,837,"Kilmarnock (north: Onthank, Townholm, Altonhill, Longpark, Beansburn, New Farm Loch, Knockinlaw, Hillhead, Crookedholm)","East Ayrshire",KA3,Ayrshire
boy,55.945047353499156,-3.146496486331486,1653885825,75,1986,36,Female,Y,280,"Duddingston, Edinburgh",Edinburgh,"Edinburgh Duddingston","Lothian (Edinburgh)"
boy,55.83488711689719,-4.266874332681506,1653886854,76,1959,63,Female,Y,677,"Hillington, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
boy,55.87625680047985,-3.317783418151652,1653895333,86,1950,72,Female,Y,320,"Newington, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
boy,55.75370734284283,-4.0975627241209915,1653897417,90,1947,75,Female,Y,1183,Hamilton,"South Lanarkshire",ML3,Glasgow
boy,55.23159067997451,-4.388752981572047,1653898508,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
boy,55.63594329138713,-4.696581304927064,1653899382,93,1979,43,Female,Y,787,"Irvine (centre: Castlepark, Tarryholme)","North Ayrshire",KA12,Ayrshire
boy,55.880987654405686,-4.301317160475375,1653899654,94,1964,58,Male,Y,587,"Jordanhill, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
boy,55.81125131022065,-4.450837033231716,1653900973,97,1972,50,Male,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
boy,55.976204910680494,-3.2072866208340702,1653906400,108,1984,38,Male,Y,294,"Stockbridge, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
boy,55.77265094917794,-3.933088460007457,1653909884,115,1966,56,Female,Y,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
boy,55.95357286517221,-3.2214233967429347,1653910768,112,1988,34,Female,Y,293,"Comely Bank, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
boy,55.93697455769115,-3.2707709116120856,1653911231,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
boy,57.2530703039145,-2.254137760628982,1653914565,122,1955,67,Female,Y,124,Newmachar,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
boy,55.55777718199786,-4.557320862220597,1653924435,128,1996,26,Female,Y,779,"Kilmarnock (centre and south: Bonnyton, Grange, Bellfield, Shortlees, Caprington, Riccarton, Hurlford)","East Ayrshire",KA1,Ayrshire
boy,55.825737342998394,-4.885044106511205,1653924509,127,1989,33,Female,Y,842,Largs,"North Ayrshire",KA30,Ayrshire
boy,55.893427481037726,-4.445271850057497,1653925869,129,1986,36,Female,Y,1306,Erskine,Renfrewshire,PA8,Glasgow
boy,55.884837613492984,-4.173460459379852,1653926601,130,1982,40,Female,Y,483,Stepps,"North Lanarkshire",G33,Glasgow
boy,55.93272649993327,-4.878449388058466,1653929414,134,1958,64,Female,Y,1235,Gourock,Inverclyde,PA19,Glasgow
boy,55.92018850765837,-3.3027974005192453,1653933372,141,1980,42,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
boy,55.75562839327527,-3.1667656639423725,1653934598,143,1970,52,Male,N,362,Peebles,"Scottish Borders",EH45,Borders
boy,55.884060804052325,-4.3458318008935635,1653935626,144,1982,40,Female,Y,591,"Hillhead, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
boy,55.45706443673383,-4.629213856973683,1653942445,150,1962,60,Male,N,856,"Ayr (Centre)","South Ayrshire",KA7,Ayrshire
boy,56.482889125039186,-2.9654329615067363,1653947273,154,1972,50,Female,Y,250,"Downfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
boy,55.69256017563583,-4.597345437870316,1653949167,155,1989,33,Female,Y,788,Kilwinning,"North Ayrshire",KA13,Ayrshire
boy,55.87051835627793,-4.289534114090082,1654057597,166,1978,44,Female,Y,585,"Kelvindale, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
boy,55.719141405107635,-4.023112339091034,1654168993,173,1972,50,Female,Y,1183,Hamilton,"South Lanarkshire",ML3,Glasgow
boy,55.770364428990824,-3.828952835150523,1654213931,175,2005,17,Male,School,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
boy,55.62099387896474,-4.6776975410432495,1654289616,179,1972,50,Male,Y,787,"Irvine (centre: Castlepark, Tarryholme)","North Ayrshire",KA12,Ayrshire
boy,55.96055499283415,-3.9676760145708743,1654592412,184,2002,20,Other,School,514,"Cumbernauld (south: Condorrat, Lenziemill, Carbrain, Kildrum, Cumbernauld Village, Abronhill, Seafar)","North Lanarkshire",G67,Glasgow
boy,0,0,1654767283,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
boy,57.639927642662485,-2.9897403775842304,1655212957,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
boy,57.66589991322751,-2.7724863386795153,1655214572,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
boy,57.6111151515728,-2.8760153607555456,1655214602,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
boy,57.65924773180369,-3.009924381336789,1655214634,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
boy,57.6467154613619,-2.939982960356707,1655214674,234,2006,16,Female,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
boy,57.6873552691658,-2.8984362842780973,1655214706,233,2005,17,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
boy,57.6163538181121,-2.9795325354642372,1655214763,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
boy,55.86447625648349,-4.205124473091549,1655215607,214,1999,23,Female,Y,634,"Maryhill, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
boy,55.82821809978466,-4.173846054008295,1655219209,214,1999,23,Female,Y,634,"Maryhill, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
boy,57.59753013187736,-2.963762639180211,1655290616,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
boy,57.67804383508446,-2.958107472126277,1655290644,247,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
boy,57.673150835976756,-2.819395953676872,1655290662,243,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
boy,57.629275642964146,-2.8205668916833155,1655290668,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
boy,57.66617975155198,-2.8541098752952556,1655290684,255,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
boy,57.679005029351664,-2.8442697153623087,1655290690,250,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
boy,57.67880127067868,-2.8394106428755954,1655290730,240,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
boy,57.66913273798986,-2.928680715864861,1655293094,261,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
boy,57.62509631660668,-2.9716353522851704,1655293111,264,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
boy,57.69217346902927,-2.871614635820669,1655293164,269,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
boy,55.78973482772129,-4.18354466717686,1655293219,277,2006,16,Female,School,571,"Castlemilk, Glasgow",Glasgow,"Glasgow Castlemilk",Glasgow
boy,57.58524307580919,-3.0753719997020106,1655293232,274,2006,16,Female,N,88,Keith, Moray,AB55,"North East (Aberdeen)"
boy,57.64821534184865,-2.937139147653221,1655293258,275,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
boy,57.66393141659328,-2.869791132673719,1655299304,288,2006,16,Female,School,93,Portessie,Moray,AB56,"North East (Aberdeen)"
boy,57.679021480204916,-2.9293422444685278,1655299319,285,2006,16,Female,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
boy,57.63121875400112,-2.837460245628006,1655299344,292,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
boy,57.6443462515661,-2.9712282522105755,1655299353,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
boy,57.68060619459808,-2.817231843467274,1655299514,297,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
boy,57.616136278604685,-2.913124694254961,1655299576,293,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
boy,55.656461394868664,-4.497490525706848,1655324587,301,1957,65,Female,Y,837,"Kilmarnock (north: Onthank, Townholm, Altonhill, Longpark, Beansburn, New Farm Loch, Knockinlaw, Hillhead, Crookedholm)","East Ayrshire",KA3,Ayrshire
boy,55.937463571409666,-4.344059353742295,1655565745,302,1991,31,Female,Y,488,Bearsden,"East Dunbartonshire",G61,Glasgow
boy,0,0,1655819955,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
boy,60.14301705476939,-1.2884133040814076,1663062734,331,1985,37,Male,Y,1501,Scalloway,"Shetland Isles",ZE1,"Shetland Islands"
boy,60.37386988270427,-1.4512676333153758,1663158163,333,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
boy,60.38080617536035,-1.348520651850143,1663158210,339,2008,14,Male,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
boy,60.22874870823911,-1.6496506062149194,1663158302,344,2008,14,Female,School,1521,Busta,"Shetland Isles",ZE2,"Shetland Islands"
boy,60.2012771420398,-1.5222788562375529,1663158662,341,2008,14,Male,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
boy,60.56136741248517,-1.4220735054722389,1663159254,343,2008,14,Female,School,1622,Voe,"Shetland Isles",ZE2,"Shetland Islands"
