answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
Aye,56.47166958404689,-2.8473708670323172,1653835798,2,1986,36,Male,Y,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
Aye,56.30567244474207,-3.4657254873047765,1653836273,3,1965,57,Male,Y,1342,Forgandenny,"Perth and Kinross",PH2,Fife
Aye,56.004214515496415,-3.5401869516608877,1653836763,4,2000,22,Male,Y,370,Bo'ness,Falkirk,EH51,"Lothian (Edinburgh)"
Aye,57.55727788576729,-1.9094057887895461,1653837654,5,1973,49,Female,Y,54,Peterhead,Aberdeenshire,AB42,"North East (Aberdeen)"
Aye,56.48274630164934,-2.946369185976135,1653838101,6,1991,31,Female,Y,256,"Whitfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
Aye,57.14621569321335,-2.265482381701476,1653838575,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
Aye,55.940097019984584,-3.617555956300415,1653842852,12,1956,66,Female,Y,368,Bathgate,"West Lothian",EH48,"Lothian (Edinburgh)"
Aye,55.588839147551916,-4.610909138120702,1653844457,16,1948,74,Female,Y,808,Crosshouse,"East Ayrshire",KA2,Ayrshire
Aye,56.38997248630583,-3.394527872469589,1653845407,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
Aye,56.88639815685003,-3.230671592593959,1653846334,20,1958,64,Female,N,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
Aye,55.76324738265993,-4.253847721691277,1653847597,22,1963,59,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
Aye,55.14457061691334,-3.5473980002035166,1653851474,26,1978,44,Female,N,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
Aye,55.98664786699251,-3.1899342885239497,1653851685,24,1950,72,Female,N,285,"Leith, Edinburgh",Edinburgh,"Edinburgh Leith","Lothian (Edinburgh)"
Aye,55.94082191404611,-4.854660997782411,1653851729,27,1975,47,Male,Y,1235,Gourock,Inverclyde,PA19,Glasgow
Aye,56.483465439340414,-2.9998754381264954,1653852097,29,1945,77,Male,N,233,"Fairmuir, Dundee",Dundee,"Dundee Bluebelt","Tayside and Angus (Dundee)"
Aye,55.7658208090858,-4.231789797498688,1653853811,31,1962,60,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
Aye,56.65602883794842,-2.7166147285706645,1653854025,33,1966,56,Female,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
Aye,57.16891558839041,-2.26791818988809,1653855541,35,1959,63,Male,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
Aye,56.19034173053232,-3.094807410760431,1653855816,38,1980,42,Male,N,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
Aye,55.93935347734853,-2.4228670782972643,1653856095,39,1958,64,Male,Y,359,Dunbar,"East Lothian",EH42,"Lothian (Edinburgh)"
Aye,57.13907602917011,-2.269229413352402,1653856798,43,1955,67,Female,Y,115,"Grandholm, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
Aye,56.407364733663464,-3.9036143412476334,1653857062,44,1958,64,Male,N,1402,Crieff,"Perth and Kinross",PH7,Fife
Aye,55.96123949874837,-3.767302753633559,1653858983,46,1961,61,Male,Y,377,"Falkirk (centre and south: Arnothill, Bantaskin, Callendar Park, Glen Village, Hallglen, Lionthorn, Tamfourhill, Woodlands)",Falkirk,FK1,"Stirling and Falkirk"
Aye,57.144890720971134,-2.1554447469027678,1653859403,48,1969,53,Female,N,98,"Northfield, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
Aye,55.780967879308086,-4.256718223961589,1653859407,49,1980,42,Male,Y,535,Busby,"East Renfrewshire",G76,Glasgow
Aye,57.47305812923245,-5.719004385019,1653860366,55,1975,47,Female,Y,767,Applecross,Highland,IV54,"Highlands (Inverness)"
Aye,57.149555151307254,-2.1761286375446525,1653861062,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
Aye,55.8652176100594,-3.0589632769843513,1653861398,57,1939,83,Other,Y,334,Dalkeith,Midlothian,EH22,"Lothian (Edinburgh)"
Aye,56.79086853095345,-3.1193797913140346,1653862209,58,1964,58,Female,N,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
Aye,56.09013740275228,-4.853112446918956,1653862274,59,1973,49,Female,Y,565,Garelochhead,"Argyll and Bute",G84,"Argyll and Bute"
Aye,57.20130235029136,-2.272215191671305,1653863202,61,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
Aye,55.94793710685539,-3.193517268954165,1653863982,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
Aye,57.26435068354472,-2.9630591374474338,1653864564,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
Aye,57.14405460112163,-2.065502211308852,1653865531,66,1971,51,Female,Y,127,"Torry, Aberdeen",Aberdeen,"Aberdeen Southeast","North East (Aberdeen)"
Aye,56.1416202302936,-3.679479071464399,1653866304,67,1985,37,Female,Y,386,Clackmannan,Clackmannanshire,FK10,"Stirling and Falkirk"
Aye,55.850874656587145,-4.122565759751764,1653868140,70,1958,64,Female,Y,612,"Easterhouse, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
