answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
mad,0,0,1654767305,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
mad,57.62379362223392,-2.8159167344840323,1655212980,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
mad,57.6572300502567,-2.254912083050826,1655214390,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
mad,57.61699055616647,-2.1018105335767956,1655214551,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
mad,57.65729831585252,-2.870746302545692,1655214588,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
mad,57.60815944978189,-2.9872633640444044,1655214622,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
mad,57.62394226378871,-2.944222180270695,1655214653,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
mad,57.66366165457978,-2.966788330471205,1655214723,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
mad,57.64041158294176,-2.8482580931379684,1655214749,233,2005,17,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
mad,57.655196353088705,-2.9233471683058516,1655214781,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
mad,57.68578323454898,-2.860083498193174,1655290623,238,2008,14,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
mad,57.61153195417957,-2.820425337277283,1655290643,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
mad,57.62266559289789,-2.8825486743177895,1655290681,243,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
mad,57.642549730814,-2.8821729063355597,1655290697,239,2008,14,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
mad,57.60766116894516,-2.982958570946052,1655290720,250,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
mad,57.65439526684507,-2.8424313381963184,1655290721,255,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
mad,57.6970949237372,-2.860783949200662,1655290741,248,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
mad,57.67005611892726,-2.92699358317912,1655293117,261,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
mad,57.64404335491546,-2.9063274117945292,1655293125,259,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
