answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
yirdit,56.44201800484936,-3.3324733336435615,1653836317,3,1965,57,Male,Y,1342,Forgandenny,"Perth and Kinross",PH2,Fife
yirdit,57.571560332511424,-1.944695369298044,1653837691,5,1973,49,Female,Y,54,Peterhead,Aberdeenshire,AB42,"North East (Aberdeen)"
yirdit,55.75981388986978,-4.148585486777538,1653847643,22,1963,59,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
yirdit,57.1729058110811,-2.1496850727281305,1653859438,48,1969,53,Female,N,98,"Northfield, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
yirdit,57.16305043407788,-2.1602455946167285,1653861140,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
yirdit,55.90264709317576,-3.078174380156667,1653861525,57,1939,83,Other,Y,334,Dalkeith,Midlothian,EH22,"Lothian (Edinburgh)"
yirdit,57.26637420531044,-2.117317799025907,1653863295,61,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
yirdit,57.64844817443122,-2.4869355665408808,1653868670,69,1967,55,Female,N,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
yirdit,57.65720620284904,-2.706789285602491,1653883826,74,1958,64,Female,Y,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
yirdit,57.25008789628226,-2.158836979314377,1653888561,77,1976,46,Female,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
yirdit,57.381805074370824,-3.140112216411423,1653892377,82,1974,48,Female,N,88,Keith, Moray,AB55,"North East (Aberdeen)"
yirdit,57.595068830844944,-2.232173381871393,1653896695,88,1953,69,Male,N,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
yirdit,57.60798210406781,-3.434437342230355,1653911966,120,1968,54,Male,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
