answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
crying,55.94544716322147,-4.344982762609995,1653842794,10,1995,27,Female,Y,489,Milngavie,"East Dunbartonshire",G62,Glasgow
crying,55.80739004809998,-4.058072280364215,1653844809,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
crying,55.8838876206663,-4.3342706809228,1653856367,40,2002,20,Female,Y,590,"Hyndland, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
crying,55.81823081090858,-4.455093262916758,1653857044,45,1980,42,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
crying,56.47597797457635,-2.8541029100407025,1653859974,52,1958,64,Female,N,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
crying,57.49791875358805,-5.516645206773891,1653860402,55,1975,47,Female,Y,767,Applecross,Highland,IV54,"Highlands (Inverness)"
crying,56.08920692716637,-4.813575914391831,1653862307,59,1973,49,Female,Y,565,Garelochhead,"Argyll and Bute",G84,"Argyll and Bute"
crying,56.026567554897944,-2.850466356408215,1653862884,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
crying,55.82095519638465,-4.292995008297675,1653864119,63,1962,60,Female,Y,658,"Giffnock, Glasgow",Glasgow,"Glasgow South",Glasgow
crying,56.123350247709034,-3.694606260658937,1653866342,67,1985,37,Female,Y,386,Clackmannan,Clackmannanshire,FK10,"Stirling and Falkirk"
crying,55.944203842140666,-3.1312290687242914,1653885862,75,1986,36,Female,Y,280,"Duddingston, Edinburgh",Edinburgh,"Edinburgh Duddingston","Lothian (Edinburgh)"
crying,56.0056213982032,-3.657392944328658,1653891921,81,1963,59,Female,Y,370,Bo'ness,Falkirk,EH51,"Lothian (Edinburgh)"
crying,55.88454150491354,-4.292792352632509,1653899697,94,1964,58,Male,Y,587,"Jordanhill, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
crying,55.837472562468044,-4.458438889235416,1653901049,97,1972,50,Male,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
crying,55.942457640170375,-3.2378885942496223,1653906439,108,1984,38,Male,Y,294,"Stockbridge, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
crying,57.15473139001763,-2.1828571561389487,1653909756,114,1997,25,Female,Y,107,"Rosemount, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
crying,55.77294158056977,-3.8743233501041665,1653910012,115,1966,56,Female,Y,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
crying,55.967647119074584,-3.206030502373236,1653910813,112,1988,34,Female,Y,293,"Comely Bank, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
crying,55.965175597540615,-3.2022135229924347,1653911330,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
crying,57.21632999892139,-2.11402393889797,1653914613,122,1955,67,Female,Y,124,Newmachar,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
crying,55.82573050139065,-4.770910364967192,1653924539,127,1989,33,Female,Y,842,Largs,"North Ayrshire",KA30,Ayrshire
crying,55.91118334534316,-4.467309502584276,1653925942,129,1986,36,Female,Y,1306,Erskine,Renfrewshire,PA8,Glasgow
crying,55.60285792042203,-3.1685239077774647,1653934658,143,1970,52,Male,N,362,Peebles,"Scottish Borders",EH45,Borders
crying,57.68229939509846,-3.452506437306705,1653973218,159,1983,39,Male,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
crying,55.86676957477483,-4.292793161324963,1654057637,166,1978,44,Female,Y,585,"Kelvindale, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
crying,57.52903553040164,-3.6535120439636604,1654124012,170,2000,22,Male,Y,740,Forres,Moray,IV36,"North East (Aberdeen)"
crying,55.735524599728436,-4.009514405385975,1654169026,173,1972,50,Female,Y,1183,Hamilton,"South Lanarkshire",ML3,Glasgow
crying,55.768128372924565,-3.850953002261588,1654213971,175,2005,17,Male,School,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
crying,55.607834773789456,-4.672706279765611,1654289683,179,1972,50,Male,Y,787,"Irvine (centre: Castlepark, Tarryholme)","North Ayrshire",KA12,Ayrshire
crying,0,0,1654513203,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
