answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
stour,56.49815624744105,-2.8155546346936,1653835828,2,1986,36,Male,Y,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
stour,56.009651096548566,-3.5858548674743598,1653836801,4,2000,22,Male,Y,370,Bo'ness,Falkirk,EH51,"Lothian (Edinburgh)"
stour,57.45249075785377,-2.023025471002209,1653837706,5,1973,49,Female,Y,54,Peterhead,Aberdeenshire,AB42,"North East (Aberdeen)"
stour,56.49659102509587,-2.9577988276125833,1653838141,6,1991,31,Female,Y,256,"Whitfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
stour,57.23009053991038,-2.113999287659435,1653838613,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
stour,55.91961252557865,-3.5685647162601706,1653842896,12,1956,66,Female,Y,368,Bathgate,"West Lothian",EH48,"Lothian (Edinburgh)"
stour,55.57846484026344,-4.578534943825285,1653844501,16,1948,74,Female,Y,808,Crosshouse,"East Ayrshire",KA2,Ayrshire
stour,55.84319761532987,-4.082271036267022,1653844814,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
stour,56.402682085612135,-3.383531679023875,1653845472,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
stour,56.78537346025288,-3.001946534480218,1653846381,20,1958,64,Female,N,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
stour,55.755716742044626,-4.24397109994823,1653847659,22,1963,59,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
stour,56.497209269405744,-2.7962129416297303,1653851062,23,1963,59,Female,N,248,"Barnhill, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
stour,55.05423815559876,-3.4819716525036046,1653851503,26,1978,44,Female,N,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
stour,55.981483859251625,-3.18949177553459,1653851781,24,1950,72,Female,N,285,"Leith, Edinburgh",Edinburgh,"Edinburgh Leith","Lothian (Edinburgh)"
stour,55.95514259177346,-4.823504512030403,1653851786,27,1975,47,Male,Y,1235,Gourock,Inverclyde,PA19,Glasgow
stour,56.467671203826306,-2.946154239543856,1653852174,29,1945,77,Male,N,233,"Fairmuir, Dundee",Dundee,"Dundee Bluebelt","Tayside and Angus (Dundee)"
stour,55.757653781094376,-4.264427642286949,1653853863,31,1962,60,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
stour,56.86820418507322,-3.2782010111027318,1653854078,33,1966,56,Female,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
stour,56.19877222139176,-3.1270153653798043,1653855858,38,1980,42,Male,N,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
stour,56.7975939397235,-2.891795795328102,1653855894,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
stour,55.92435959901778,-2.532082967110702,1653856145,39,1958,64,Male,Y,359,Dunbar,"East Lothian",EH42,"Lothian (Edinburgh)"
stour,57.20013178348009,-2.1553128621978064,1653856852,43,1955,67,Female,Y,115,"Grandholm, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
stour,56.413902639791246,-3.8778294291837,1653857135,44,1958,64,Male,N,1402,Crieff,"Perth and Kinross",PH7,Fife
