answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
church,56.48234250028176,-2.8316577802262066,1653835838,2,1986,36,Male,Y,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
church,55.96210934860406,-4.314894810683291,1653842816,10,1995,27,Female,Y,489,Milngavie,"East Dunbartonshire",G62,Glasgow
church,55.57126316873081,-4.612079890951272,1653844508,16,1948,74,Female,Y,808,Crosshouse,"East Ayrshire",KA2,Ayrshire
church,55.81048874047247,-4.044224202893267,1653844819,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
church,56.69173304453902,-3.0215430038864506,1653846394,20,1958,64,Female,N,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
church,56.70481257923019,-3.0472290253684955,1653846755,21,1952,70,Female,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
church,56.47431518736071,-2.8590657006011106,1653851073,23,1963,59,Female,N,248,"Barnhill, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
church,55.94099289566519,-4.846579673154353,1653851791,27,1975,47,Male,Y,1235,Gourock,Inverclyde,PA19,Glasgow
church,55.96771531857529,-3.1557913894366116,1653851801,24,1950,72,Female,N,285,"Leith, Edinburgh",Edinburgh,"Edinburgh Leith","Lothian (Edinburgh)"
church,55.7704106958948,-4.18090949414701,1653853872,31,1962,60,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
church,56.90698167124375,-3.227773449202184,1653855901,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
church,55.92728373104476,-4.002647314778541,1653856358,41,1981,41,Female,Y,514,"Cumbernauld (south: Condorrat, Lenziemill, Carbrain, Kildrum, Cumbernauld Village, Abronhill, Seafar)","North Lanarkshire",G67,Glasgow
church,55.877251561897005,-4.253902362235138,1653856377,40,2002,20,Female,Y,590,"Hyndland, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
church,55.82307391895294,-4.452206381807614,1653857064,45,1980,42,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
church,55.70629546900433,-4.2477949657429726,1653859461,49,1980,42,Male,Y,535,Busby,"East Renfrewshire",G76,Glasgow
church,56.49853930293676,-2.7923274558101303,1653859994,52,1958,64,Female,N,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
church,57.45088006627659,-5.8542236455437635,1653860414,55,1975,47,Female,Y,767,Applecross,Highland,IV54,"Highlands (Inverness)"
church,56.0806598275965,-4.736574358378565,1653862316,59,1973,49,Female,Y,565,Garelochhead,"Argyll and Bute",G84,"Argyll and Bute"
church,56.11701317149864,-3.6640586246332916,1653866360,67,1985,37,Female,Y,386,Clackmannan,Clackmannanshire,FK10,"Stirling and Falkirk"
church,55.71766982033231,-4.561160698233305,1653883872,73,1955,67,Male,N,837,"Kilmarnock (north: Onthank, Townholm, Altonhill, Longpark, Beansburn, New Farm Loch, Knockinlaw, Hillhead, Crookedholm)","East Ayrshire",KA3,Ayrshire
church,55.94843387813268,-3.1128521680564667,1653885877,75,1986,36,Female,Y,280,"Duddingston, Edinburgh",Edinburgh,"Edinburgh Duddingston","Lothian (Edinburgh)"
church,55.830062587055664,-4.254423861193832,1653891789,76,1959,63,Female,Y,677,"Hillington, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
church,55.85953085287034,-3.31567061677606,1653895401,86,1950,72,Female,Y,320,"Newington, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
church,55.73989256086537,-4.003405489956855,1653897528,90,1947,75,Female,Y,1183,Hamilton,"South Lanarkshire",ML3,Glasgow
church,55.438974699681246,-4.448913617670261,1653898575,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
