answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
tube,56.487080609355715,-2.813363037925483,1653835852,2,1986,36,Male,Y,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
tube,56.47817311986071,-2.9468148577989637,1653838162,6,1991,31,Female,Y,256,"Whitfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
tube,57.17730410571797,-2.142154051324469,1653838646,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
tube,55.936566202566326,-3.6718504049956833,1653842922,12,1956,66,Female,Y,368,Bathgate,"West Lothian",EH48,"Lothian (Edinburgh)"
tube,55.812496090920845,-4.054081796948674,1653844832,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
tube,56.8010547339479,-3.2032378061562268,1653846797,21,1952,70,Female,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
tube,55.03346711674304,-3.5848535929560095,1653851532,26,1978,44,Female,N,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
tube,56.680209027412744,-3.1645294134594524,1653855914,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
tube,55.94769360831676,-2.4545180310338224,1653856173,39,1958,64,Male,Y,359,Dunbar,"East Lothian",EH42,"Lothian (Edinburgh)"
tube,55.95218755993035,-3.9207055521968424,1653856369,41,1981,41,Female,Y,514,"Cumbernauld (south: Condorrat, Lenziemill, Carbrain, Kildrum, Cumbernauld Village, Abronhill, Seafar)","North Lanarkshire",G67,Glasgow
tube,56.361189611547196,-3.825531810537657,1653857173,44,1958,64,Male,N,1402,Crieff,"Perth and Kinross",PH7,Fife
tube,55.932394271540545,-3.7146500144712076,1653859103,46,1961,61,Male,Y,377,"Falkirk (centre and south: Arnothill, Bantaskin, Callendar Park, Glen Village, Hallglen, Lionthorn, Tamfourhill, Woodlands)",Falkirk,FK1,"Stirling and Falkirk"
tube,57.473845080770154,-5.793116683952758,1653860426,55,1975,47,Female,Y,767,Applecross,Highland,IV54,"Highlands (Inverness)"
tube,57.156541374989395,-2.1153208494584894,1653861225,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
tube,56.68621054409112,-3.210560366717106,1653862286,58,1964,58,Female,N,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
tube,55.992764431155415,-4.835986367113227,1653862335,59,1973,49,Female,Y,565,Garelochhead,"Argyll and Bute",G84,"Argyll and Bute"
tube,55.932214140672464,-3.2603659971501617,1653864059,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
tube,55.82013768240417,-4.228902033113533,1653864163,63,1962,60,Female,Y,658,"Giffnock, Glasgow",Glasgow,"Glasgow South",Glasgow
tube,55.84156808758141,-4.14543630700162,1653868337,70,1958,64,Female,Y,612,"Easterhouse, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
tube,55.85540323639608,-4.300323598579403,1653891863,76,1959,63,Female,Y,677,"Hillington, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
tube,56.000461994933936,-3.6565463656231874,1653891968,81,1963,59,Female,Y,370,Bo'ness,Falkirk,EH51,"Lothian (Edinburgh)"
tube,55.7802385692262,-4.074984500237004,1653897571,90,1947,75,Female,Y,1183,Hamilton,"South Lanarkshire",ML3,Glasgow
tube,55.88119162605242,-4.308089871957304,1653899742,94,1964,58,Male,Y,587,"Jordanhill, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
tube,55.86699700889639,-3.4939239433269393,1653900446,95,1955,67,Female,Y,375,Livingston,"West Lothian",EH54,"Lothian (Edinburgh)"
tube,55.81449426438535,-4.4630622370886215,1653901152,97,1972,50,Male,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
tube,57.64061836424616,-3.444697099146694,1653902277,99,1942,80,Male,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
tube,56.463751064661786,-2.982340789113086,1653903139,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
tube,55.93852655754174,-3.257159398229225,1653906464,108,1984,38,Male,Y,294,"Stockbridge, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
tube,57.15569691753642,-2.1065380053534986,1653909797,114,1997,25,Female,Y,107,"Rosemount, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
tube,57.650181007099434,-3.2982915324879496,1653912007,120,1968,54,Male,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
tube,56.48692784199805,-3.048371139796842,1653913102,121,1954,68,Female,Y,239,"Charleston, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
tube,56.12950420921029,-3.4241395594903254,1653919119,125,1994,28,Male,Y,1121,Cowdenbeath,Fife,KY4,Fife
tube,55.59832513808369,-4.508851482499977,1653924519,128,1996,26,Female,Y,779,"Kilmarnock (centre and south: Bonnyton, Grange, Bellfield, Shortlees, Caprington, Riccarton, Hurlford)","East Ayrshire",KA1,Ayrshire
tube,55.831526218604864,-4.855652440705928,1653924562,127,1989,33,Female,Y,842,Largs,"North Ayrshire",KA30,Ayrshire
tube,55.898564926826054,-4.441058043947567,1653925999,129,1986,36,Female,Y,1306,Erskine,Renfrewshire,PA8,Glasgow
tube,55.94102073846115,-4.861530187700785,1653929603,134,1958,64,Female,Y,1235,Gourock,Inverclyde,PA19,Glasgow
tube,55.845012427138506,-3.1088021564920885,1653930041,135,1981,41,Female,N,328,Bonnyrigg,Midlothian,EH19,"Lothian (Edinburgh)"
tube,56.85285896480007,-2.7706706326338493,1653938207,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
tube,56.84473236216647,-2.8813220116378533,1653938572,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
tube,56.885367345764216,-2.8645795022070475,1653938763,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
tube,56.847065088630586,-2.9113071830144714,1653938967,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
tube,57.719487523419716,-3.382536118366447,1653939464,148,1950,72,Male,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
tube,57.68204081177924,-3.3925817416417074,1653981582,160,1977,45,Female,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
tube,55.607252990504804,-4.670397983923386,1654289737,179,1972,50,Male,Y,787,"Irvine (centre: Castlepark, Tarryholme)","North Ayrshire",KA12,Ayrshire
tube,0,0,1654785075,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
tube,57.66559080161919,-2.494747879972746,1655113841,204,2007,15,Male,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
tube,57.60881351628952,-2.703411694534168,1655158494,194,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
tube,57.66815247943551,-1.9454511477714642,1655214582,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
tube,57.63483649917984,-3.0423059189779185,1655214684,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
tube,57.64451632698847,-3.0349406087535176,1655214747,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tube,57.68135408094788,-2.9173704258586137,1655214755,228,2006,16,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
tube,57.6630411422471,-2.978699523932742,1655290618,236,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tube,57.62431155927606,-3.0146511535563687,1655290662,238,2008,14,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tube,57.647088207713644,-2.8460853531251264,1655290685,241,2008,14,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tube,57.621418760070455,-2.863415517548929,1655290693,237,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tube,57.67347050759037,-2.8839601973127005,1655290712,247,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
tube,57.604264929110904,-2.969021945183344,1655290750,239,2008,14,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tube,57.678680847377045,-2.9020436694830116,1655290807,242,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tube,57.70100069660059,-2.8846137790888466,1655293153,258,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tube,57.65134572855057,-2.9920914919203496,1655293184,261,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tube,57.61268304404473,-2.836149995661871,1655293187,264,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tube,57.649446640930876,-2.9631341575568957,1655293220,268,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tube,57.69386906390662,-2.893078989031072,1655293246,272,2005,17,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tube,57.61280269665208,-2.8551961337906118,1655293270,276,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tube,57.60943758731435,-2.8151271845552412,1655293365,275,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
tube,57.68037276643121,-2.7828980940448558,1655293392,278,2006,16,Male,N,91,Cullen,Moray,AB56,"North East (Aberdeen)"
tube,57.61882353444362,-3.0130696193574957,1655299417,292,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tube,57.64498621328652,-2.9786013832011076,1655299482,282,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tube,57.690429938521575,-2.804341364948253,1655299700,287,2006,16,Female,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
