answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
jumper,56.49753321324653,-2.8229111404084497,1653835703,2,1986,36,Male,Y,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
jumper,56.01015313640221,-3.6393218439640216,1653836616,4,2000,22,Male,Y,370,Bo'ness,Falkirk,EH51,"Lothian (Edinburgh)"
jumper,57.50330426546438,-1.8040878931485993,1653837527,5,1973,49,Female,Y,54,Peterhead,Aberdeenshire,AB42,"North East (Aberdeen)"
jumper,56.4797826625523,-2.9257232022145896,1653837992,6,1991,31,Female,Y,256,"Whitfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
jumper,57.1968505203443,-2.219272925825258,1653838481,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
jumper,55.94750384647677,-4.294057284642829,1653842500,10,1995,27,Female,Y,489,Milngavie,"East Dunbartonshire",G62,Glasgow
jumper,55.90847096671012,-3.698423170828522,1653842734,12,1956,66,Female,Y,368,Bathgate,"West Lothian",EH48,"Lothian (Edinburgh)"
jumper,55.61505414763677,-4.574752934429139,1653844293,16,1948,74,Female,Y,808,Crosshouse,"East Ayrshire",KA2,Ayrshire
jumper,55.80563045505219,-4.0851047286787825,1653844664,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
jumper,56.77658320301092,-2.9325620678462445,1653846129,20,1958,64,Female,N,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
jumper,56.71050766865594,-3.172704841942171,1653846568,21,1952,70,Female,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
jumper,55.75376770841693,-4.25938715357873,1653847352,22,1963,59,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
jumper,56.499014550927114,-2.7993582761518145,1653850788,23,1963,59,Female,N,248,"Barnhill, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
jumper,56.473194319482594,-2.909455732195779,1653850815,23,1963,59,Female,N,248,"Barnhill, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
jumper,55.95633275081449,-3.1519173741143995,1653851339,24,1950,72,Female,N,285,"Leith, Edinburgh",Edinburgh,"Edinburgh Leith","Lothian (Edinburgh)"
jumper,55.186742517818395,-3.5628609539285527,1653851360,26,1978,44,Female,N,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
jumper,55.94864308485832,-4.831135978306642,1653851617,27,1975,47,Male,Y,1235,Gourock,Inverclyde,PA19,Glasgow
jumper,56.48656062502021,-2.9851525859512007,1653851884,29,1945,77,Male,N,233,"Fairmuir, Dundee",Dundee,"Dundee Bluebelt","Tayside and Angus (Dundee)"
jumper,56.38614360068466,-3.721811779999749,1653853562,30,1979,43,Female,Y,1402,Crieff,"Perth and Kinross",PH7,Fife
jumper,55.75271588276661,-4.2579660982148875,1653853638,31,1962,60,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
jumper,56.73453904448069,-2.922838552654558,1653853909,33,1966,56,Female,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
jumper,57.25419548329321,-2.110301634775353,1653855389,35,1959,63,Male,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
jumper,57.31246280542779,-2.2736602147698233,1653855445,35,1959,63,Male,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
jumper,55.82143569676825,-4.0671634109973125,1653855551,37,1987,35,Female,Y,525,Uddingston,"South Lanarkshire",G71,Glasgow
jumper,56.20970675822974,-3.1117329951970025,1653855697,38,1980,42,Male,N,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
jumper,56.6314166394071,-2.744320251099855,1653855768,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
jumper,55.94696152975521,-2.458225924890591,1653855956,39,1958,64,Male,Y,359,Dunbar,"East Lothian",EH42,"Lothian (Edinburgh)"
jumper,55.881614027366325,-4.324291146011116,1653856221,40,2002,20,Female,Y,590,"Hyndland, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
jumper,55.95512958766187,-3.9472205130964078,1653856225,41,1981,41,Female,Y,514,"Cumbernauld (south: Condorrat, Lenziemill, Carbrain, Kildrum, Cumbernauld Village, Abronhill, Seafar)","North Lanarkshire",G67,Glasgow
jumper,57.260695542669,-2.161569865718115,1653856604,43,1955,67,Female,Y,115,"Grandholm, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
jumper,56.34443395767973,-3.887475759839007,1653856824,44,1958,64,Male,N,1402,Crieff,"Perth and Kinross",PH7,Fife
jumper,55.80039807698366,-4.488531485732057,1653856859,45,1980,42,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
jumper,56.408448084573386,-3.9395271959365448,1653856879,44,1958,64,Male,N,1402,Crieff,"Perth and Kinross",PH7,Fife
jumper,55.92731919873432,-3.878451361338486,1653858733,46,1961,61,Male,Y,377,"Falkirk (centre and south: Arnothill, Bantaskin, Callendar Park, Glen Village, Hallglen, Lionthorn, Tamfourhill, Woodlands)",Falkirk,FK1,"Stirling and Falkirk"
jumper,55.630940505503474,-3.2606245474030136,1653859200,47,2000,22,Male,Y,362,Peebles,"Scottish Borders",EH45,Borders
jumper,57.15473580234251,-2.1502426156496854,1653859240,48,1969,53,Female,N,98,"Northfield, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
jumper,56.56737869246195,-3.5233404517485414,1653859365,50,2015,7,Other,Y,1407,Dunkeld,"Perth and Kinross",PH8,Fife
jumper,56.47116061944012,-2.849962409764219,1653859695,52,1958,64,Female,N,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
jumper,57.4822647102982,-5.282824617492372,1653860220,55,1975,47,Female,Y,767,Applecross,Highland,IV54,"Highlands (Inverness)"
jumper,57.151473381000294,-2.1797968634903055,1653860842,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
jumper,56.039677307484524,-4.86307407871141,1653862160,59,1973,49,Female,Y,565,Garelochhead,"Argyll and Bute",G84,"Argyll and Bute"
jumper,56.0021804119949,-2.8810710598578795,1653862533,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
jumper,57.167637925002495,-2.214717474758096,1653862888,61,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
jumper,55.9121989828042,-3.280436407385756,1653863859,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
jumper,57.34059461116999,-2.936420879013565,1653864470,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
jumper,57.130562045941026,-2.108078006409378,1653865419,66,1971,51,Female,Y,127,"Torry, Aberdeen",Aberdeen,"Aberdeen Southeast","North East (Aberdeen)"
jumper,56.12065792017855,-3.7381812306607167,1653866161,67,1985,37,Female,Y,386,Clackmannan,Clackmannanshire,FK10,"Stirling and Falkirk"
jumper,55.853237879194715,-4.106819746539418,1653867871,70,1958,64,Female,Y,612,"Easterhouse, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
jumper,56.21462366049675,-3.087717634151744,1653872665,71,1952,70,Other,N,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
jumper,57.62960442871669,-2.515391384900135,1653883661,74,1958,64,Female,Y,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
