answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
girl,56.48345307343038,-2.820855505524422,1653835856,2,1986,36,Male,Y,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
girl,55.96943484408672,-4.3727466906217805,1653842861,10,1995,27,Female,Y,489,Milngavie,"East Dunbartonshire",G62,Glasgow
girl,55.58317937933866,-4.525852758761724,1653844536,16,1948,74,Female,Y,808,Crosshouse,"East Ayrshire",KA2,Ayrshire
girl,55.79612116561526,-4.063626266695267,1653844840,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
girl,55.77400965777721,-4.1878519733393995,1653853900,31,1962,60,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
girl,56.75901072275001,-3.0752558476001144,1653855920,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
girl,55.914687394321675,-4.0181336503584415,1653856375,41,1981,41,Female,Y,514,"Cumbernauld (south: Condorrat, Lenziemill, Carbrain, Kildrum, Cumbernauld Village, Abronhill, Seafar)","North Lanarkshire",G67,Glasgow
girl,55.86100261649641,-4.279470796379497,1653856396,40,2002,20,Female,Y,590,"Hyndland, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
girl,55.787269022267274,-4.504314532615835,1653857112,45,1980,42,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
girl,55.72694845772311,-4.342402713426336,1653859535,49,1980,42,Male,Y,535,Busby,"East Renfrewshire",G76,Glasgow
girl,56.491473830749676,-2.798937043026689,1653860031,52,1958,64,Female,N,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
girl,57.44004756107727,-5.510443419963282,1653860433,55,1975,47,Female,Y,767,Applecross,Highland,IV54,"Highlands (Inverness)"
girl,56.02258235166179,-4.7361090766860094,1653862341,59,1973,49,Female,Y,565,Garelochhead,"Argyll and Bute",G84,"Argyll and Bute"
girl,56.010909424280975,-2.828456148317603,1653862990,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
girl,55.94237886435832,-3.2240068298703224,1653864066,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
girl,55.816944007623974,-4.2518423610351475,1653864185,63,1962,60,Female,Y,658,"Giffnock, Glasgow",Glasgow,"Glasgow South",Glasgow
girl,56.06903626722523,-3.654094840392924,1653866386,67,1985,37,Female,Y,386,Clackmannan,Clackmannanshire,FK10,"Stirling and Falkirk"
girl,55.95418452600587,-3.1156027839817244,1653885905,75,1986,36,Female,Y,280,"Duddingston, Edinburgh",Edinburgh,"Edinburgh Duddingston","Lothian (Edinburgh)"
girl,55.838784996775296,-4.323672766826126,1653891870,76,1959,63,Female,Y,677,"Hillington, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
girl,55.85844347885386,-3.317178022606634,1653895421,86,1950,72,Female,Y,320,"Newington, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
girl,55.42574405113137,-4.448783916787725,1653898614,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
girl,55.796255188358714,-4.506256032046527,1653901159,97,1972,50,Male,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
girl,55.94631762476124,-3.2551366795020393,1653906472,108,1984,38,Male,Y,294,"Stockbridge, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
girl,55.75866165491277,-3.897610011018249,1653910125,115,1966,56,Female,Y,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
girl,55.97425094284427,-3.201383258027977,1653910864,112,1988,34,Female,Y,293,"Comely Bank, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
girl,55.95416512336928,-3.2526899085956877,1653911435,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
girl,57.21186865278818,-2.070493378479001,1653914648,122,1955,67,Female,Y,124,Newmachar,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
girl,55.584280292886575,-4.503022382477589,1653924526,128,1996,26,Female,Y,779,"Kilmarnock (centre and south: Bonnyton, Grange, Bellfield, Shortlees, Caprington, Riccarton, Hurlford)","East Ayrshire",KA1,Ayrshire
girl,55.82551143951786,-4.765769466050633,1653924572,127,1989,33,Female,Y,842,Largs,"North Ayrshire",KA30,Ayrshire
girl,55.89590602132388,-4.428210914762315,1653926010,129,1986,36,Female,Y,1306,Erskine,Renfrewshire,PA8,Glasgow
girl,55.94288251051724,-4.83672528009669,1653929616,134,1958,64,Female,Y,1235,Gourock,Inverclyde,PA19,Glasgow
girl,55.91236300139115,-3.285967582206667,1653933454,141,1980,42,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
girl,55.86231497294511,-4.298343672362402,1653935706,144,1982,40,Female,Y,591,"Hillhead, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
girl,55.64665500907884,-4.660453061866987,1653949248,155,1989,33,Female,Y,788,Kilwinning,"North Ayrshire",KA13,Ayrshire
girl,55.88322008165945,-4.302172170689544,1654057700,166,1978,44,Female,Y,585,"Kelvindale, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
girl,57.4887486459222,-3.5841092807547335,1654124060,170,2000,22,Male,Y,740,Forres,Moray,IV36,"North East (Aberdeen)"
girl,55.751453133446375,-4.026147001595967,1654169060,173,1972,50,Female,Y,1183,Hamilton,"South Lanarkshire",ML3,Glasgow
girl,55.78237202948233,-3.7934486870070034,1654214023,175,2005,17,Male,School,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
girl,55.62113287242599,-4.664668867538794,1654289745,179,1972,50,Male,Y,787,"Irvine (centre: Castlepark, Tarryholme)","North Ayrshire",KA12,Ayrshire
girl,0,0,1654513510,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
girl,0,0,1654767418,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
girl,57.66991244160539,-2.94954255705171,1655214642,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
girl,57.68327271927178,-2.8274431333480052,1655214691,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
girl,57.6739059773994,-2.827627176893112,1655214722,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
girl,57.648193519434464,-2.8102906052267476,1655214757,234,2006,16,Female,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
girl,57.63679145415857,-2.788175307577788,1655214845,233,2005,17,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
girl,57.64792638342789,-2.9362253776515783,1655214846,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
girl,57.63860547921599,-3.0093537014460408,1655215107,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
girl,57.65233216580254,-2.9958016981427233,1655290693,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
girl,57.59499485553373,-2.9731934325992113,1655290718,247,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
girl,57.66754755627292,-2.876854082450693,1655290728,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
girl,57.623672392897745,-2.871091097363441,1655290740,243,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
girl,57.653691970317276,-2.8493059409111305,1655290780,250,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
