answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
links,55.93867646402081,-4.282067614251036,1653842869,10,1995,27,Female,Y,489,Milngavie,"East Dunbartonshire",G62,Glasgow
links,55.938650316009365,-3.616461412250502,1653842935,12,1956,66,Female,Y,368,Bathgate,"West Lothian",EH48,"Lothian (Edinburgh)"
links,55.60923140486048,-4.568547302748208,1653844545,16,1948,74,Female,Y,808,Crosshouse,"East Ayrshire",KA2,Ayrshire
links,54.992094414278085,-3.5085265957205447,1653851550,26,1978,44,Female,N,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
links,55.92324674810384,-2.4960016514820316,1653856187,39,1958,64,Male,Y,359,Dunbar,"East Lothian",EH42,"Lothian (Edinburgh)"
links,55.9435892493112,-3.8439867800632026,1653859134,46,1961,61,Male,Y,377,"Falkirk (centre and south: Arnothill, Bantaskin, Callendar Park, Glen Village, Hallglen, Lionthorn, Tamfourhill, Woodlands)",Falkirk,FK1,"Stirling and Falkirk"
links,57.3647622217834,-5.57364710420992,1653860439,55,1975,47,Female,Y,767,Applecross,Highland,IV54,"Highlands (Inverness)"
links,55.874276558637305,-3.0492590773099932,1653861618,57,1939,83,Other,Y,334,Dalkeith,Midlothian,EH22,"Lothian (Edinburgh)"
links,57.20560777962337,-2.1101481964932374,1653863471,61,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
links,55.80524253914923,-4.274568235724135,1653864199,63,1962,60,Female,Y,658,"Giffnock, Glasgow",Glasgow,"Glasgow South",Glasgow
links,56.13041957275732,-3.743015095371986,1653866393,67,1985,37,Female,Y,386,Clackmannan,Clackmannanshire,FK10,"Stirling and Falkirk"
links,55.82366023962757,-4.088513732612693,1653868371,70,1958,64,Female,Y,612,"Easterhouse, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
links,55.661046002718436,-4.307655027511971,1653883903,73,1955,67,Male,N,837,"Kilmarnock (north: Onthank, Townholm, Altonhill, Longpark, Beansburn, New Farm Loch, Knockinlaw, Hillhead, Crookedholm)","East Ayrshire",KA3,Ayrshire
links,55.867495704675804,-4.347469759918496,1653892005,76,1959,63,Female,Y,677,"Hillington, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
links,56.32852131820209,-3.441808302136854,1653895846,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
links,55.76332093372249,-3.9747491538137054,1653897602,90,1947,75,Female,Y,1183,Hamilton,"South Lanarkshire",ML3,Glasgow
links,55.15903149381858,-4.41673890856824,1653898623,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
links,55.89755211277828,-3.4943533476117232,1653900467,95,1955,67,Female,Y,375,Livingston,"West Lothian",EH54,"Lothian (Edinburgh)"
links,55.82686392491369,-4.385508095145921,1653901170,97,1972,50,Male,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
links,57.145896047957294,-2.1151960241717513,1653902362,100,1962,60,Male,Y,126,"Bridge of Dee, Aberdeen",Aberdeen,"Aberdeen Southeast","North East (Aberdeen)"
links,56.123778049205406,-3.986904825801065,1653904399,105,1954,68,Male,Y,479,"Stirling (north: Causewayhead, Cornton)",Stirlingshire,FK9,"Stirling and Falkirk"
links,57.5714289468322,-2.2758606967461374,1653908210,111,1988,34,Male,Y,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
links,55.752092476709464,-3.9360408626216707,1653910131,115,1966,56,Female,Y,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
links,55.91907373834475,-4.361478057548301,1653910674,117,1939,83,Male,Y,643,"Anniesland, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
links,55.91205462924138,-4.374170535250016,1653915987,124,1946,76,Female,N,643,"Anniesland, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
links,55.541977467483974,-4.582698896858165,1653924532,128,1996,26,Female,Y,779,"Kilmarnock (centre and south: Bonnyton, Grange, Bellfield, Shortlees, Caprington, Riccarton, Hurlford)","East Ayrshire",KA1,Ayrshire
links,55.8841143587349,-4.183227785497171,1653926668,130,1982,40,Female,Y,483,Stepps,"North Lanarkshire",G33,Glasgow
links,57.81930318848496,-4.069430623024244,1653928062,131,1976,46,Female,Y,711,Tain,Highland,IV19,"Highlands (Inverness)"
links,55.93554138984067,-4.869430969818612,1653929627,134,1958,64,Female,Y,1235,Gourock,Inverclyde,PA19,Glasgow
links,57.612415314901234,-2.0006885184018177,1653930477,138,1955,67,Female,N,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
links,55.74831449200857,-3.197419563072384,1653934720,143,1970,52,Male,N,362,Peebles,"Scottish Borders",EH45,Borders
links,55.6853246061738,-4.609094000626224,1653949253,155,1989,33,Female,Y,788,Kilwinning,"North Ayrshire",KA13,Ayrshire
links,57.61671690162058,-3.4286946488080248,1653981597,160,1977,45,Female,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
links,55.88641851188953,-4.294455648487516,1654107071,169,1961,61,Female,Y,609,"Garthamlock, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
links,55.8649734089353,-4.093101724726726,1654107316,169,1961,61,Female,Y,609,"Garthamlock, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
links,55.96641711706374,-3.946348638775789,1654592484,184,2002,20,Other,School,514,"Cumbernauld (south: Condorrat, Lenziemill, Carbrain, Kildrum, Cumbernauld Village, Abronhill, Seafar)","North Lanarkshire",G67,Glasgow
links,57.61248930048309,-2.764479337156166,1655112594,187,2005,17,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
links,57.65436493736294,-2.81029076927091,1655214618,225,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
links,57.62773961869944,-2.942977446582698,1655214786,228,2006,16,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
links,56.095064117651646,-4.77373238557209,1655282083,235,1996,26,Male,Y,566,Helensburgh,"Argyll and Bute",G84,"Argyll and Bute"
links,57.66323805235996,-2.787426551376249,1655290791,255,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
links,57.63999660488443,-2.852295076774035,1655290819,242,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
links,55.814789958621546,-4.203930713154323,1655293309,277,2006,16,Female,School,571,"Castlemilk, Glasgow",Glasgow,"Glasgow Castlemilk",Glasgow
links,57.59838948269366,-3.411436803133926,1655299635,281,2006,16,Female,School,737,Elgin,Moray,IV30,"North East (Aberdeen)"
links,55.64896739662594,-4.466111516915898,1655324809,301,1957,65,Female,Y,837,"Kilmarnock (north: Onthank, Townholm, Altonhill, Longpark, Beansburn, New Farm Loch, Knockinlaw, Hillhead, Crookedholm)","East Ayrshire",KA3,Ayrshire
links,55.905840509171334,-4.370682540301743,1663165449,367,1988,34,Female,N,641,"Knightswood, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
links,55.56899367930218,-4.434956073894946,1663166788,368,1980,42,Female,N,779,"Kilmarnock (centre and south: Bonnyton, Grange, Bellfield, Shortlees, Caprington, Riccarton, Hurlford)","East Ayrshire",KA1,Ayrshire
links,55.85382817278821,-4.306849745257486,1663172792,370,1971,51,Female,Y,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
links,55.746556837725144,-4.202108809959213,1663173473,371,1984,38,Male,Y,534,"East Kilbride (south: Hairmyres, Westwood, The Murray, Murray East, Whitehills, Greenhill, Newlandsmuir, Gardenhall, Crosshouse, Newlands, Lindsayfield, Mossneuk)","South Lanarkshire",G75,Glasgow
links,57.6516179799749,-2.9260262707630593,1663175769,375,1985,37,Female,Y,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
links,55.869064559349624,-3.523459455796669,1663176375,379,1992,30,Male,Y,375,Livingston,"West Lothian",EH54,"Lothian (Edinburgh)"
links,55.8385614563863,-4.2487736092347275,1663176707,380,1959,63,Female,N,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
links,55.90453519016995,-4.367069840442297,1663176789,381,1960,62,Female,Y,643,"Anniesland, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
links,55.811595825559074,-4.330859429193036,1663178108,384,1971,51,Female,N,673,"Drumoyne, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
links,55.8484134278406,-4.363178189388151,1663178302,385,1958,64,Female,Y,678,"Cardonald, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
links,57.58516151180912,-7.17619768261655,1663178571,386,1988,34,Female,Y,693,"Isle of North Uist","Western Isles",HS6,"Western Isles"
links,55.94473134538407,-4.719208294053555,1663178655,387,1991,31,Female,Y,1230,"Greenock (central and east: Bogston, Bridgend, Cartsdyke, Gibshill, Greenock Central, Ladyburn, Upper Ingleston)",Inverclyde,PA15,Glasgow
links,55.92554608869837,-4.368470390056663,1663179545,392,1996,26,Female,Y,488,Bearsden,"East Dunbartonshire",G61,Glasgow
links,55.864006663913564,-4.355358063600129,1663180500,395,1993,29,Female,Y,678,"Cardonald, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
links,55.80917974860357,-4.322878277992302,1663180807,398,1965,57,Female,N,685,"Gorbals, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
links,55.87395624917045,-4.434386555384119,1663182183,401,1984,38,Female,Y,1264,Renfrew,Renfrewshire,PA4,Glasgow
links,55.88752175335594,-4.262993385996868,1663188358,406,1990,32,Female,Y,598,Rutherglen,"South Lanarkshire","Glasgow Northeast",Glasgow
links,55.80398553974424,-4.336511424664885,1663222609,412,1984,38,Male,Y,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
links,56.20195262058395,-3.1251185372386976,1663234195,418,1990,32,Male,Y,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
links,55.853013678015564,-4.2632268361375365,1663249868,424,1985,37,Male,Y,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
links,55.86427814067449,-4.043943846774117,1663325253,429,1962,60,Female,N,1190,Glenboig,"North Lanarkshire",ML5,Glasgow
links,55.80102856740302,-4.228844773563107,1663345651,430,1960,62,Female,N,571,"Castlemilk, Glasgow",Glasgow,"Glasgow Castlemilk",Glasgow
links,55.81605181871689,-4.247601006055469,1663662971,432,1986,36,Male,N,651,"Cathcart, Glasgow",Glasgow,"Glasgow South",Glasgow
links,55.34087606837062,-4.205340553209404,1663960960,437,1977,45,Female,N,798,Cumnock,"East Ayrshire",KA18,Ayrshire
links,55.861239223468075,-4.299601444038462,1664774291,449,1957,65,Male,N,678,"Cardonald, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
