answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
plunk,56.48909359038171,-2.8163902000246086,1653835875,2,1986,36,Male,Y,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
plunk,55.89748786142522,-3.6329303803937143,1653842947,12,1956,66,Female,Y,368,Bathgate,"West Lothian",EH48,"Lothian (Edinburgh)"
plunk,55.59373484695739,-4.590986963768689,1653844556,16,1948,74,Female,Y,808,Crosshouse,"East Ayrshire",KA2,Ayrshire
plunk,56.485426871956896,-2.85057128296949,1653851135,23,1963,59,Female,N,248,"Barnhill, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
plunk,56.48744981516985,-2.99518620234764,1653852257,29,1945,77,Male,N,233,"Fairmuir, Dundee",Dundee,"Dundee Bluebelt","Tayside and Angus (Dundee)"
plunk,55.97078500095512,-2.623826922896816,1653856197,39,1958,64,Male,Y,359,Dunbar,"East Lothian",EH42,"Lothian (Edinburgh)"
plunk,55.96800529968176,-3.8674388775942217,1653859150,46,1961,61,Male,Y,377,"Falkirk (centre and south: Arnothill, Bantaskin, Callendar Park, Glen Village, Hallglen, Lionthorn, Tamfourhill, Woodlands)",Falkirk,FK1,"Stirling and Falkirk"
plunk,56.48907779137413,-2.804441550762055,1653860045,52,1958,64,Female,N,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
plunk,55.92024069858272,-3.1022428872950467,1653861625,57,1939,83,Other,Y,334,Dalkeith,Midlothian,EH22,"Lothian (Edinburgh)"
plunk,55.386946582460105,-4.546948340811787,1653898634,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
plunk,56.48541560830889,-3.040116431292631,1653902537,101,1961,61,Female,Y,240,"Ardler, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
plunk,56.4777789639432,-3.0148084747091373,1653903173,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
plunk,55.87732332912819,-4.341735437704947,1653910711,117,1939,83,Male,Y,643,"Anniesland, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
plunk,56.48361417227815,-3.0084476671876956,1653913141,121,1954,68,Female,Y,239,"Charleston, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
plunk,55.39367919401616,-4.622859300868991,1653942610,150,1962,60,Male,N,856,"Ayr (Centre)","South Ayrshire",KA7,Ayrshire
plunk,56.08463713281758,-3.7204379035332287,1653944368,152,1953,69,Female,Y,391,Alloa,Clackmannanshire,FK10,"Stirling and Falkirk"
plunk,56.47081188739659,-3.0497169677612166,1654167974,172,1952,70,Female,Y,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
plunk,56.470513871622515,-3.0567138585463454,1664363711,443,1993,29,Male,Y,261,"Westend, Dundee",Dundee,"Dundee West","Tayside and Angus (Dundee)"
plunk,56.48315639140366,-3.0117573431837035,1664714438,448,1953,69,Female,Y,239,"Charleston, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
plunk,56.48351687926453,-3.0075513999857137,1664792299,479,1957,65,Male,N,238,"Menzieshill, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
plunk,55.64970142951968,-4.44021938567246,1664792484,482,1944,78,Male,N,837,"Kilmarnock (north: Onthank, Townholm, Altonhill, Longpark, Beansburn, New Farm Loch, Knockinlaw, Hillhead, Crookedholm)","East Ayrshire",KA3,Ayrshire
plunk,55.63920655278565,-4.544595352491864,1664792922,485,1947,75,Male,N,841,Stewarton,"East Ayrshire",KA3,Ayrshire
plunk,56.49176391162736,-3.0185387195573177,1664794392,498,1950,72,Female,N,245,"Law, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
plunk,55.45635430079482,-3.0766317030447885,1664794450,501,1949,73,Male,Y,1479,Selkirk,"Scottish Borders",TD7,Borders
plunk,56.4651053981327,-2.989657243074602,1664794745,502,1960,62,Male,N,243,"Hilltown, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
plunk,56.49368065949303,-3.019305569653597,1664794857,504,1964,58,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
plunk,56.48760659721117,-2.9592143737870047,1664796755,517,1976,46,Male,Y,251,"Kirkton, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
plunk,56.71631357446265,-2.526698413209973,1664798613,532,1953,69,Male,Y,139,Hillside,Angus,DD10,"Tayside and Angus (Dundee)"
plunk,56.49230396972675,-3.0165270887469293,1664800886,546,1962,60,Male,Y,243,"Hilltown, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
plunk,56.49289544214875,-3.003278215448345,1664802329,558,1960,62,Female,Y,242,"St Marys, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
plunk,56.48966754926595,-3.044965496951979,1664802672,562,1952,70,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
plunk,55.02671524965621,-3.472136758635845,1664805633,587,1959,63,Female,Y,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
plunk,55.41897640212416,-4.696695906927668,1664806151,592,1959,63,Female,Y,856,"Ayr (Centre)","South Ayrshire",KA7,Ayrshire
plunk,56.48141594260535,-2.959676476548472,1664806708,594,1978,44,Female,Y,255,"Fintry, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
plunk,56.48666013466634,-2.9972822948757623,1664809132,610,1956,66,Female,Y,234,"Baxter Park, Dundee",Dundee,"Dundee Bluebelt","Tayside and Angus (Dundee)"
plunk,55.916297929219276,-3.0036020438496736,1664810250,616,1952,70,Female,Y,333,"Newcraighall, Edinburgh",Edinburgh,EH21,"Lothian (Edinburgh)"
plunk,55.92328929601484,-3.288442109704745,1664812847,633,1955,67,Male,Y,271,"Abbeyhill, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
plunk,55.98956734698811,-4.1543001087232625,1664812930,631,1953,69,Female,N,508,Lennoxtown,"East Dunbartonshire",G66,Glasgow
plunk,55.54887775665616,-5.130307382865829,1664813254,636,1980,42,Male,Y,827,"Isle of Arran","North Ayrshire",KA27,Ayrshire
plunk,55.499850222997416,-4.363587259906981,1664817072,657,1970,52,Male,Y,845,Catrine,"East Ayrshire",KA5,Ayrshire
plunk,56.48701776907359,-2.958140879507638,1664819817,686,1963,59,Female,N,256,"Whitfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
plunk,56.058061498266966,-4.657931306234874,1664821174,698,1953,69,Female,Y,557,Alexandria,"West Dunbartonshire",G83,"Argyll and Bute"
plunk,56.4683838198586,-3.6059345877535707,1664821694,705,1947,75,Male,Y,1313,"Perth (north and west: Burghmuir, Cherrybank, Hillyland, Inveralmond, Lethom, Muirton, North Muirton, Tulloch)","Perth and Kinross",PH1,Fife
plunk,55.990799642354155,-3.6919020298335226,1664825682,729,1966,56,Male,Y,422,"Falkirk (north: Grahamston, Middlefield, Westfield)",Falkirk,FK2,"Stirling and Falkirk"
plunk,55.670304413729774,-4.823735746908068,1664829163,743,1952,70,Female,Y,813,Ardrossan,"North Ayrshire",KA22,Ayrshire
plunk,55.83770129393952,-4.474278239404624,1664833938,778,1952,70,Female,Y,1276,Johnstone,Renfrewshire,PA5,Glasgow
plunk,56.47504026473382,-2.9944170621169124,1664865021,806,1956,66,Female,Y,234,"Baxter Park, Dundee",Dundee,"Dundee Bluebelt","Tayside and Angus (Dundee)"
plunk,56.47745187870716,-3.027958989255428,1664866474,809,1971,51,Female,Y,237,"Blackness, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
plunk,56.478595603957736,-2.980920269899077,1664870565,834,1974,48,Male,N,232,"Craigiebank, Dundee",Dundee,"Dundee Bluebelt","Tayside and Angus (Dundee)"
plunk,56.46756355775805,-2.9961192217524797,1664870691,843,1979,43,Female,N,244,"Stobswell, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
plunk,56.48066305439501,-2.930655162272672,1664870850,842,1968,54,Female,N,250,"Downfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
