answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
known,56.49086456868708,-2.9517269568292597,1653838193,6,1991,31,Female,Y,256,"Whitfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
known,55.95092658542696,-4.278775418348764,1653842893,10,1995,27,Female,Y,489,Milngavie,"East Dunbartonshire",G62,Glasgow
known,55.80346880270822,-4.071249807346742,1653844864,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
known,56.86161451622414,-3.131396333911329,1653846831,21,1952,70,Female,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
known,55.9364672491424,-4.877790554372134,1653851856,27,1975,47,Male,Y,1235,Gourock,Inverclyde,PA19,Glasgow
known,55.785575010993895,-4.167136194284934,1653853940,31,1962,60,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
known,55.93681478485681,-4.024118498831711,1653856397,41,1981,41,Female,Y,514,"Cumbernauld (south: Condorrat, Lenziemill, Carbrain, Kildrum, Cumbernauld Village, Abronhill, Seafar)","North Lanarkshire",G67,Glasgow
known,55.860999796584146,-4.29280106635064,1653856416,40,2002,20,Female,Y,590,"Hyndland, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
known,55.81970775747458,-4.436307283486629,1653857139,45,1980,42,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
known,55.779760701764125,-4.2299717244658535,1653859555,49,1980,42,Male,Y,535,Busby,"East Renfrewshire",G76,Glasgow
known,56.50345984949108,-2.7949396244709424,1653860056,52,1958,64,Female,N,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
known,57.51429808860349,-5.309208959810189,1653860459,55,1975,47,Female,Y,767,Applecross,Highland,IV54,"Highlands (Inverness)"
known,56.11485624992124,-4.814284426188811,1653862359,59,1973,49,Female,Y,565,Garelochhead,"Argyll and Bute",G84,"Argyll and Bute"
known,55.96699786411143,-2.873894292831226,1653863042,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
known,55.922833947710075,-3.3077865450000696,1653864088,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
known,55.83652276058296,-4.319133790833035,1653864260,63,1962,60,Female,Y,658,"Giffnock, Glasgow",Glasgow,"Glasgow South",Glasgow
