answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
baffies,56.48909504068856,-2.814182684650302,1653835895,2,1986,36,Male,Y,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
baffies,56.33421349621929,-3.544260470355715,1653836401,3,1965,57,Male,Y,1342,Forgandenny,"Perth and Kinross",PH2,Fife
baffies,56.47961562542852,-2.8863516577973645,1653838198,6,1991,31,Female,Y,256,"Whitfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
baffies,57.223972760737354,-2.1989146867546228,1653838678,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
baffies,56.40187738771667,-3.322411223826143,1653845554,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
baffies,56.6900827897976,-2.8899688379887833,1653846475,20,1958,64,Female,N,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
baffies,56.62958351865694,-2.9588398316576985,1653846836,21,1952,70,Female,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
baffies,55.750868785827706,-4.24664042120806,1653847759,22,1963,59,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
baffies,56.4884896715025,-2.8269077447026905,1653851152,23,1963,59,Female,N,248,"Barnhill, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
baffies,55.07986874206183,-3.507699994689645,1653851571,26,1978,44,Female,N,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
baffies,55.75577857200279,-4.155723520742107,1653853946,31,1962,60,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
baffies,56.622247183979326,-2.9337493385797373,1653854142,33,1966,56,Female,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
baffies,56.21302191206449,-3.1498585386522193,1653855926,38,1980,42,Male,N,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
baffies,56.66682834329852,-2.943533764120579,1653855949,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
baffies,55.931668448488146,-2.4806596875021603,1653856211,39,1958,64,Male,Y,359,Dunbar,"East Lothian",EH42,"Lothian (Edinburgh)"
baffies,57.22206563329128,-2.180769879066851,1653856958,43,1955,67,Female,Y,115,"Grandholm, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
baffies,56.42316934918349,-3.823819446095376,1653857242,44,1958,64,Male,N,1402,Crieff,"Perth and Kinross",PH7,Fife
baffies,55.98819839818215,-3.7991330681554722,1653859167,46,1961,61,Male,Y,377,"Falkirk (centre and south: Arnothill, Bantaskin, Callendar Park, Glen Village, Hallglen, Lionthorn, Tamfourhill, Woodlands)",Falkirk,FK1,"Stirling and Falkirk"
baffies,57.15045109397821,-2.0918415572104907,1653859524,48,1969,53,Female,N,98,"Northfield, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
baffies,56.48918273193755,-2.8370601816524577,1653860068,52,1958,64,Female,N,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
baffies,57.15109694108968,-2.1725243781097,1653861311,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
baffies,56.65511551527727,-3.0737459505711415,1653862339,58,1964,58,Female,N,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
baffies,55.990460817413606,-2.854829086931294,1653863060,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
baffies,55.82306840215834,-4.289140750861529,1653864276,63,1962,60,Female,Y,658,"Giffnock, Glasgow",Glasgow,"Glasgow South",Glasgow
baffies,55.902583010077436,-4.187241135179237,1653868410,70,1958,64,Female,Y,612,"Easterhouse, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
baffies,56.20066222746759,-3.1170303376791595,1653873039,71,1952,70,Other,N,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
baffies,57.200181782249444,-2.1488284893207776,1653888631,77,1976,46,Female,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
baffies,57.489648663043276,-3.019153100091314,1653892488,82,1974,48,Female,N,88,Keith, Moray,AB55,"North East (Aberdeen)"
baffies,57.15903244848121,-3.098060750756698,1653893018,68,1975,47,Female,N,40,Strathdon,Aberdeenshire,AB36,"North East (Aberdeen)"
baffies,57.228664132449246,-2.1316405766264994,1653894557,85,1996,26,Male,Y,109,"Hazelhead, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
baffies,56.31633963640808,-3.611111233194122,1653895866,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
