answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
gran,56.470692702963206,-2.8679856808083004,1653835902,2,1986,36,Male,Y,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
gran,56.00560007009741,-3.588486181085897,1653836872,4,2000,22,Male,Y,370,Bo'ness,Falkirk,EH51,"Lothian (Edinburgh)"
gran,56.46943628594809,-2.9163315368989373,1653838213,6,1991,31,Female,Y,256,"Whitfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
gran,55.95723188152472,-4.355393399565625,1653842913,10,1995,27,Female,Y,489,Milngavie,"East Dunbartonshire",G62,Glasgow
gran,55.92430708010207,-3.649446933078924,1653843012,12,1956,66,Female,Y,368,Bathgate,"West Lothian",EH48,"Lothian (Edinburgh)"
gran,55.62151354038682,-4.560072314090095,1653844582,16,1948,74,Female,Y,808,Crosshouse,"East Ayrshire",KA2,Ayrshire
gran,55.80012159177616,-4.066557494575061,1653844879,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
gran,56.263723159891576,-3.4910149405823225,1653845568,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
gran,56.78717986849008,-2.912341476174166,1653846486,20,1958,64,Female,N,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
gran,56.721547885424876,-3.0531474202393007,1653846849,21,1952,70,Female,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
gran,55.76306073333454,-4.2614748217190614,1653847773,22,1963,59,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
gran,55.940179851078376,-4.86997302660033,1653851872,27,1975,47,Male,Y,1235,Gourock,Inverclyde,PA19,Glasgow
gran,57.2955975152756,-2.254755778168998,1653855633,35,1959,63,Male,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
gran,56.673041760448264,-2.7428735720603115,1653855959,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
gran,55.92037182922473,-4.054710355437932,1653856412,41,1981,41,Female,Y,514,"Cumbernauld (south: Condorrat, Lenziemill, Carbrain, Kildrum, Cumbernauld Village, Abronhill, Seafar)","North Lanarkshire",G67,Glasgow
gran,55.867128011557654,-4.290983699141626,1653856430,40,2002,20,Female,Y,590,"Hyndland, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
gran,57.13246716932407,-2.1867450837825824,1653856975,43,1955,67,Female,Y,115,"Grandholm, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
gran,55.82937197861661,-4.455732223516577,1653857165,45,1980,42,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
gran,56.393172155177055,-3.743594440530412,1653857256,44,1958,64,Male,N,1402,Crieff,"Perth and Kinross",PH7,Fife
gran,56.10669733181079,-4.830460676890579,1653862374,59,1973,49,Female,Y,565,Garelochhead,"Argyll and Bute",G84,"Argyll and Bute"
gran,55.92585023438728,-3.310199990539175,1653864104,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
gran,55.807438965939504,-4.265926218880464,1653864303,63,1962,60,Female,Y,658,"Giffnock, Glasgow",Glasgow,"Glasgow South",Glasgow
gran,56.10860777161362,-3.7021982896653394,1653866436,67,1985,37,Female,Y,386,Clackmannan,Clackmannanshire,FK10,"Stirling and Falkirk"
gran,55.849298426479564,-4.311383280791657,1653892058,76,1959,63,Female,Y,677,"Hillington, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
gran,56.38539265298101,-3.5099403251192185,1653895881,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
gran,55.634354038382774,-4.7038931511802895,1653899509,93,1979,43,Female,Y,787,"Irvine (centre: Castlepark, Tarryholme)","North Ayrshire",KA12,Ayrshire
gran,55.805784153266366,-4.485728015735435,1653901230,97,1972,50,Male,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
gran,56.14601694142238,-4.034285102071073,1653904432,105,1954,68,Male,Y,479,"Stirling (north: Causewayhead, Cornton)",Stirlingshire,FK9,"Stirling and Falkirk"
gran,55.84835924213328,-4.241873328303709,1653908452,106,1981,41,Male,N,670,"Ibrox, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
gran,56.49128134977724,-3.0071635386867075,1653913179,121,1954,68,Female,Y,239,"Charleston, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
gran,55.87857059992747,-4.343890566766353,1653916038,124,1946,76,Female,N,643,"Anniesland, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
gran,56.15335436706644,-3.3849173572951923,1653919171,125,1994,28,Male,Y,1121,Cowdenbeath,Fife,KY4,Fife
gran,55.5749890257987,-4.432416228929688,1653924590,128,1996,26,Female,Y,779,"Kilmarnock (centre and south: Bonnyton, Grange, Bellfield, Shortlees, Caprington, Riccarton, Hurlford)","East Ayrshire",KA1,Ayrshire
gran,55.86104430677172,-4.780998317863661,1653924612,127,1989,33,Female,Y,842,Largs,"North Ayrshire",KA30,Ayrshire
gran,55.900537103936635,-4.479818199740684,1653926064,129,1986,36,Female,Y,1306,Erskine,Renfrewshire,PA8,Glasgow
gran,55.950887406204956,-4.850166063045492,1653929675,134,1958,64,Female,Y,1235,Gourock,Inverclyde,PA19,Glasgow
gran,55.92578600899533,-3.276462950626599,1653933490,141,1980,42,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
gran,55.867860044624734,-4.292359073063769,1653935764,144,1982,40,Female,Y,591,"Hillhead, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
