answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
"little finger",57.16020831712083,-2.1540230198812482,1653909458,113,1989,33,Male,N,101,"Sheddocksley, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
"little finger",57.31846830952996,-2.243455152275261,1653914690,122,1955,67,Female,Y,124,Newmachar,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
"little finger",55.884115063342364,-2.8390137191188347,1653953647,158,1998,24,Other,Y,350,Pencaitland,"East Lothian",EH34,"Lothian (Edinburgh)"
"little finger",55.85753102971787,-4.273453043926408,1654057754,166,1978,44,Female,Y,585,"Kelvindale, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
"little finger",0,0,1655820004,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
"little finger",60.67465668696691,-1.081586310662611,1663162803,366,2008,14,Male,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
"little finger",55.93698198904399,-3.265477354051097,1663177823,382,1993,29,Female,Y,287,"Corstorphine, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
"little finger",55.84792266722685,-4.237551694737417,1663180490,396,1975,47,Female,N,672,"Govan, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
"little finger",56.66022013440289,-3.0131565102102282,1663184320,404,1990,32,Female,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
"little finger",55.669701025412515,-4.435165345237302,1664792524,482,1944,78,Male,N,837,"Kilmarnock (north: Onthank, Townholm, Altonhill, Longpark, Beansburn, New Farm Loch, Knockinlaw, Hillhead, Crookedholm)","East Ayrshire",KA3,Ayrshire
"little finger",58.92547481016564,-2.875379471475922,1664797596,527,1947,75,Female,Y,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
"little finger",58.958756582784986,-2.922550465462343,1664806946,595,1984,38,Female,N,967,Kirkwall,Orkney,KW15,"Orkney Islands"
"little finger",60.04311568400062,-1.1965718696725127,1664810463,621,1959,63,Female,N,1509,Bigton,"Shetland Isles",ZE2,"Shetland Islands"
"little finger",60.289464926234075,-1.1464123718081534,1664815455,652,1968,54,Male,Y,1623,Walls,"Shetland Isles",ZE2,"Shetland Islands"
"little finger",60.07356086547136,-1.2632917196484836,1664819703,684,1981,41,Female,N,1596,Scousburgh,"Shetland Isles",ZE2,"Shetland Islands"
"little finger",55.861508249590464,-4.271824014385657,1664821806,707,1948,74,Female,N,589,"Partickhill, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
"little finger",60.154983381103655,-1.1930288117084384,1664837029,783,1952,70,Female,Y,1500,Lerwick,"Shetland Isles",ZE1,"Shetland Islands"
"little finger",56.792665591062296,-5.250103600190903,1664871013,857,1960,62,Female,Y,1377,"Fort William",Highland,PH33,"Highlands (Inverness)"
"little finger",56.45263147635917,-3.021562122219484,1664871338,872,1986,36,Male,Y,261,"Westend, Dundee",Dundee,"Dundee West","Tayside and Angus (Dundee)"
"little finger",56.49416338238479,-2.9967402962647385,1664871967,884,1971,51,Male,Y,244,"Stobswell, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
"little finger",57.63063246122625,-3.195965179816089,1664872729,905,1942,80,Male,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
"little finger",55.8433346429982,-4.467239368574388,1664874438,956,1994,28,Male,Y,1220,"Paisley (central, east and north east: Ferguslie, Oldhall, Seedhill, Williamsburgh, Whitehaugh)",Renfrewshire,PA1,Glasgow
"little finger",56.671587631019825,-2.4994681698630385,1664876557,1071,1995,27,Male,School,137,Inverbervie,Aberdeenshire,DD10,"Tayside and Angus (Dundee)"
"little finger",55.71080852887302,-3.7495979425543937,1664877319,1101,1993,29,Male,Y,1212,Carluke,"South Lanarkshire",ML8,Glasgow
"little finger",60.49512724248636,-1.619927300612336,1664877539,1112,1958,64,Female,N,1626,"West Yell","Shetland Isles",ZE2,"Shetland Islands"
"little finger",56.05592362366448,-3.8638007772415204,1664879172,1202,1974,48,Male,Y,449,Larbert,Falkirk,FK5,"Stirling and Falkirk"
"little finger",56.76042998838857,-2.4376356910167454,1664881357,1298,1996,26,Male,Y,140,Montrose,Angus,DD10,"Tayside and Angus (Dundee)"
"little finger",55.8721384909166,-4.151238379169861,1664882105,1335,1989,33,Male,Y,616,"Calton, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
"little finger",55.86674520610416,-4.271659189789308,1664884914,1430,1991,31,Male,Y,597,"Yorkhill, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
"little finger",57.54585417363619,-2.018489858964291,1664885160,1434,1985,37,Female,Y,54,Peterhead,Aberdeenshire,AB42,"North East (Aberdeen)"
"little finger",57.827203679024414,-3.9300272227269613,1664885874,1449,1958,64,Female,N,711,Tain,Highland,IV19,"Highlands (Inverness)"
