answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
chasies,56.419947870386046,-3.349346010932042,1653836427,3,1965,57,Male,Y,1342,Forgandenny,"Perth and Kinross",PH2,Fife
chasies,56.438427402143176,-3.2609957841699106,1653845592,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
chasies,56.68559029725131,-2.818942716488214,1653846866,21,1952,70,Female,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
chasies,56.481089117453294,-2.993822139035527,1653852333,29,1945,77,Male,N,233,"Fairmuir, Dundee",Dundee,"Dundee Bluebelt","Tayside and Angus (Dundee)"
chasies,57.16329612371106,-2.1847410596023478,1653859575,48,1969,53,Female,N,98,"Northfield, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
chasies,56.47258252207538,-2.8993780154602726,1653860107,52,1958,64,Female,N,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
chasies,57.48484693029431,-5.558757257540494,1653860486,55,1975,47,Female,Y,767,Applecross,Highland,IV54,"Highlands (Inverness)"
chasies,57.164212626643334,-2.0897983325047873,1653861405,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
chasies,56.74593130325273,-3.1858861576441084,1653862375,58,1964,58,Female,N,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
chasies,57.21450733514596,-2.285634710330572,1653863600,61,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
chasies,55.861800356299476,-4.082001786198585,1653868446,70,1958,64,Female,Y,612,"Easterhouse, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
chasies,57.61291127464475,-2.672611293235923,1653868891,69,1967,55,Female,N,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
chasies,57.56279399897364,-3.010434382404571,1653892522,82,1974,48,Female,N,88,Keith, Moray,AB55,"North East (Aberdeen)"
chasies,57.185040756146954,-3.1864597857651327,1653893075,68,1975,47,Female,N,40,Strathdon,Aberdeenshire,AB36,"North East (Aberdeen)"
chasies,57.152046604883324,-2.196525103965156,1653894596,85,1996,26,Male,Y,109,"Hazelhead, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
chasies,56.41956728544758,-3.250395365100867,1653895901,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
chasies,57.59865031498947,-2.172864391104981,1653896801,88,1953,69,Male,N,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
chasies,57.41124628280255,-3.2080095623324487,1653897096,89,1960,62,Female,N,88,Keith, Moray,AB55,"North East (Aberdeen)"
chasies,55.63536238072644,-4.664528243753518,1653899526,93,1979,43,Female,Y,787,"Irvine (centre: Castlepark, Tarryholme)","North Ayrshire",KA12,Ayrshire
chasies,55.915808424704295,-3.5184735360443957,1653900592,95,1955,67,Female,Y,375,Livingston,"West Lothian",EH54,"Lothian (Edinburgh)"
chasies,55.77678990844849,-3.8609100490605446,1653910211,115,1966,56,Female,Y,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
chasies,57.60030637066053,-2.189401086601397,1653930560,138,1955,67,Female,N,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
chasies,57.667590687724456,-2.4921410705198053,1653930781,139,1955,67,Male,N,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
