answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
trick-or-treating,55.974322532110264,-4.327306786307135,1653842940,10,1995,27,Female,Y,489,Milngavie,"East Dunbartonshire",G62,Glasgow
trick-or-treating,56.46402200122849,-3.3425096484871335,1653845602,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
trick-or-treating,57.238669797799965,-2.278424064193126,1653855657,35,1959,63,Male,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
trick-or-treating,55.801618436906125,-4.480333470648659,1653857192,45,1980,42,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
trick-or-treating,55.27206604468593,-4.435001409459847,1653898690,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
trick-or-treating,55.83335096364193,-4.438417869215098,1653901293,97,1972,50,Male,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
trick-or-treating,57.160599986761774,-2.1656281562534647,1653909486,113,1989,33,Male,N,101,"Sheddocksley, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
trick-or-treating,57.17074355243993,-2.186481614323026,1653909885,114,1997,25,Female,Y,107,"Rosemount, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
trick-or-treating,55.95139694643395,-3.273362479081255,1653911589,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
trick-or-treating,55.917408780618956,-4.46383366964756,1653926108,129,1986,36,Female,Y,1306,Erskine,Renfrewshire,PA8,Glasgow
trick-or-treating,57.62106847923005,-3.5644829285966346,1654124134,170,2000,22,Male,Y,740,Forres,Moray,IV36,"North East (Aberdeen)"
trick-or-treating,55.764654538889964,-4.094068053127313,1654169120,173,1972,50,Female,Y,1183,Hamilton,"South Lanarkshire",ML3,Glasgow
trick-or-treating,55.78084381224275,-3.8894558257474032,1654214089,175,2005,17,Male,School,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
trick-or-treating,0,0,1654513880,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
trick-or-treating,55.93276488679613,-3.9612589764402224,1654592564,184,2002,20,Other,School,514,"Cumbernauld (south: Condorrat, Lenziemill, Carbrain, Kildrum, Cumbernauld Village, Abronhill, Seafar)","North Lanarkshire",G67,Glasgow
trick-or-treating,0,0,1654767499,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
trick-or-treating,57.61979142895961,-2.6179982000833433,1655114035,194,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
trick-or-treating,57.657887414352885,-2.8481046302892965,1655213115,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
trick-or-treating,57.67043016378396,-2.908818696733596,1655214533,221,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
trick-or-treating,57.658528850336126,-2.012033235229142,1655214641,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
trick-or-treating,57.62438032470387,-2.797256376699474,1655214721,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
trick-or-treating,57.6276321880049,-2.874086821655772,1655214753,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
trick-or-treating,57.62734052787393,-2.9846050075776644,1655214785,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
trick-or-treating,57.656702197067474,-2.9331930722002655,1655214842,234,2006,16,Female,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
trick-or-treating,57.66082306809129,-3.0379319060528447,1655214901,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
trick-or-treating,57.60908289836882,-2.827895123111865,1655215005,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
trick-or-treating,57.66392710817848,-2.761915212619216,1655290754,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
trick-or-treating,57.67853874398356,-2.7798199160984,1655290791,247,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
trick-or-treating,57.68375190192254,-2.8595168860820834,1655290791,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
trick-or-treating,57.628831996717246,-2.915315460419919,1655290811,243,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
trick-or-treating,57.63094640948884,-2.9854357266533897,1655290847,250,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
trick-or-treating,57.665794448030304,-2.8222017819208394,1655290915,240,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
