answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
"stowed (oot)",56.46887071170769,-2.89676523246758,1653835926,2,1986,36,Male,Y,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
"stowed (oot)",57.513426448308124,-2.066691350024478,1653837834,5,1973,49,Female,Y,54,Peterhead,Aberdeenshire,AB42,"North East (Aberdeen)"
"stowed (oot)",55.940116708934944,-3.61405434680581,1653843045,12,1956,66,Female,Y,368,Bathgate,"West Lothian",EH48,"Lothian (Edinburgh)"
"stowed (oot)",55.598019689421854,-4.585087221727078,1653844623,16,1948,74,Female,Y,808,Crosshouse,"East Ayrshire",KA2,Ayrshire
"stowed (oot)",55.80359582107553,-4.0313927003714545,1653844922,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
"stowed (oot)",55.759025020239456,-4.232389373837881,1653847831,22,1963,59,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
"stowed (oot)",55.19663603514273,-3.5833965075170995,1653851620,26,1978,44,Female,N,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
"stowed (oot)",55.93358145665879,-4.876390296331804,1653851918,27,1975,47,Male,Y,1235,Gourock,Inverclyde,PA19,Glasgow
"stowed (oot)",55.78869922216038,-4.184964611815934,1653854008,31,1962,60,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
"stowed (oot)",57.233156182967626,-2.1703246849706983,1653855671,35,1959,63,Male,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
"stowed (oot)",56.753948943484986,-2.9475894696155494,1653855989,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
"stowed (oot)",55.92661017473086,-2.526856924177414,1653856257,39,1958,64,Male,Y,359,Dunbar,"East Lothian",EH42,"Lothian (Edinburgh)"
"stowed (oot)",56.37151804132095,-3.6306996126385265,1653857314,44,1958,64,Male,N,1402,Crieff,"Perth and Kinross",PH7,Fife
"stowed (oot)",55.9745242216262,-3.8487407163998237,1653859228,46,1961,61,Male,Y,377,"Falkirk (centre and south: Arnothill, Bantaskin, Callendar Park, Glen Village, Hallglen, Lionthorn, Tamfourhill, Woodlands)",Falkirk,FK1,"Stirling and Falkirk"
"stowed (oot)",55.79171469527828,-4.220868083944637,1653859605,49,1980,42,Male,Y,535,Busby,"East Renfrewshire",G76,Glasgow
"stowed (oot)",56.47711570926803,-2.9110141653801196,1653860137,52,1958,64,Female,N,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
