answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
mother,55.580362665933826,-4.547930231637548,1653844311,16,1948,74,Female,Y,808,Crosshouse,"East Ayrshire",KA2,Ayrshire
mother,55.87750295395916,-4.284542265423281,1653856236,40,2002,20,Female,Y,590,"Hyndland, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
mother,56.43750990657477,-3.938191867982048,1653856891,44,1958,64,Male,N,1402,Crieff,"Perth and Kinross",PH7,Fife
mother,57.13470577932909,-2.0905579517186683,1653902159,100,1962,60,Male,Y,126,"Bridge of Dee, Aberdeen",Aberdeen,"Aberdeen Southeast","North East (Aberdeen)"
mother,56.362133271645625,-3.156250511765938,1653936486,145,1955,67,Female,Y,1101,Gateside,Fife,KY14,Fife
mother,56.07433664768545,-3.6921635824964127,1653944050,152,1953,69,Female,Y,391,Alloa,Clackmannanshire,FK10,"Stirling and Falkirk"
mother,56.077723162429926,-3.67219262021974,1653944144,152,1953,69,Female,Y,391,Alloa,Clackmannanshire,FK10,"Stirling and Falkirk"
mother,57.628972947284936,-2.7431617222427165,1654288850,178,1978,44,Female,Y,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
mother,57.659046292389924,-2.876605063062435,1655214469,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
mother,57.634213851541304,-2.8565885412550656,1655214542,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
mother,56.127151374716306,-4.814091176617781,1655281870,235,1996,26,Male,Y,566,Helensburgh,"Argyll and Bute",G84,"Argyll and Bute"
mother,57.64895843840903,-2.8995077642136007,1655290535,239,2008,14,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
mother,57.60498181770407,-2.836960607476697,1655290551,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
mother,57.68074731802185,-2.8118202737669047,1655290581,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
mother,57.62776322622333,-2.800551979519029,1655293107,270,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
