answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
armpit,56.00074031710243,-3.5732799727343907,1653836911,4,2000,22,Male,Y,370,Bo'ness,Falkirk,EH51,"Lothian (Edinburgh)"
armpit,55.93791071462261,-4.266918008003258,1653842975,10,1995,27,Female,Y,489,Milngavie,"East Dunbartonshire",G62,Glasgow
armpit,55.83636464287305,-4.058361510310871,1653844929,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
armpit,56.637597765085275,-3.008705765743918,1653846892,21,1952,70,Female,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
armpit,55.25593393032204,-3.6271158807769175,1653851625,26,1978,44,Female,N,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
armpit,55.7873817847555,-4.160731875930764,1653854015,31,1962,60,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
armpit,55.87800282863914,-4.313290464763587,1653856465,40,2002,20,Female,Y,590,"Hyndland, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
armpit,55.833528489989,-4.407249628986717,1653857214,45,1980,42,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
armpit,56.35481790179634,-3.8711028700285293,1653857331,44,1958,64,Male,N,1402,Crieff,"Perth and Kinross",PH7,Fife
armpit,55.75669723685703,-4.313107024518863,1653859611,49,1980,42,Male,Y,535,Busby,"East Renfrewshire",G76,Glasgow
armpit,55.99249421253319,-2.8493756696520305,1653863188,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
armpit,57.2859685324945,-2.8610019053935734,1653864715,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
