answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
bide,56.384450377334176,-3.4735333987959285,1653836149,3,1965,57,Male,Y,1342,Forgandenny,"Perth and Kinross",PH2,Fife
bide,57.435272288810815,-1.9118033438251323,1653837549,5,1973,49,Female,Y,54,Peterhead,Aberdeenshire,AB42,"North East (Aberdeen)"
bide,57.184507511229064,-2.2627898975578686,1653838500,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
bide,55.87314118556731,-3.699994840018262,1653842769,12,1956,66,Female,Y,368,Bathgate,"West Lothian",EH48,"Lothian (Edinburgh)"
bide,56.394848597727695,-3.3040675440880585,1653845259,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
bide,55.77990690622499,-4.1894133763829675,1653847399,22,1963,59,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
bide,56.48393395265333,-2.810595417421126,1653850853,23,1963,59,Female,N,248,"Barnhill, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
bide,55.09274511356323,-3.549221245105959,1653851394,26,1978,44,Female,N,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
bide,56.47121379746184,-2.948863916765803,1653851934,29,1945,77,Male,N,233,"Fairmuir, Dundee",Dundee,"Dundee Bluebelt","Tayside and Angus (Dundee)"
bide,56.63667961250275,-2.905413314059982,1653853933,33,1966,56,Female,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
bide,57.25268460622699,-2.1947035122951064,1653855461,35,1959,63,Male,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
bide,56.18250004930604,-3.154036081108884,1653855718,38,1980,42,Male,N,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
bide,56.717448120539565,-3.174091654537722,1653855782,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
bide,57.25115170229757,-2.093506882001041,1653856642,43,1955,67,Female,Y,115,"Grandholm, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
bide,56.35236672639604,-3.7484099923657785,1653856906,44,1958,64,Male,N,1402,Crieff,"Perth and Kinross",PH7,Fife
bide,55.9514728938728,-3.8168655014352404,1653858770,46,1961,61,Male,Y,377,"Falkirk (centre and south: Arnothill, Bantaskin, Callendar Park, Glen Village, Hallglen, Lionthorn, Tamfourhill, Woodlands)",Falkirk,FK1,"Stirling and Falkirk"
bide,57.162590884937195,-2.1186797516654408,1653859276,48,1969,53,Female,N,98,"Northfield, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
