answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
ginger,55.909233253104134,-3.608093279240713,1653842791,12,1956,66,Female,Y,368,Bathgate,"West Lothian",EH48,"Lothian (Edinburgh)"
ginger,55.63127071435471,-4.571059006951742,1653844371,16,1948,74,Female,Y,808,Crosshouse,"East Ayrshire",KA2,Ayrshire
ginger,55.806445961266206,-4.066358360588593,1653844714,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
ginger,55.77076012855382,-4.226735824085068,1653847482,22,1963,59,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
ginger,55.78103659056512,-4.160595220250772,1653853723,31,1962,60,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
ginger,55.826451832159755,-4.052611887092786,1653855603,37,1987,35,Female,Y,525,Uddingston,"South Lanarkshire",G71,Glasgow
ginger,55.92118120723035,-2.4856076724127174,1653856020,39,1958,64,Male,Y,359,Dunbar,"East Lothian",EH42,"Lothian (Edinburgh)"
ginger,55.92249276816881,-3.799371046635574,1653858831,46,1961,61,Male,Y,377,"Falkirk (centre and south: Arnothill, Bantaskin, Callendar Park, Glen Village, Hallglen, Lionthorn, Tamfourhill, Woodlands)",Falkirk,FK1,"Stirling and Falkirk"
ginger,55.87439990764003,-3.0486637643841217,1653861266,57,1939,83,Other,Y,334,Dalkeith,Midlothian,EH22,"Lothian (Edinburgh)"
ginger,55.846857626219446,-4.215442676648578,1653867980,70,1958,64,Female,Y,612,"Easterhouse, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
ginger,55.62247642378687,-4.530049957057324,1653883736,73,1955,67,Male,N,837,"Kilmarnock (north: Onthank, Townholm, Altonhill, Longpark, Beansburn, New Farm Loch, Knockinlaw, Hillhead, Crookedholm)","East Ayrshire",KA3,Ayrshire
ginger,55.82936410064928,-4.34840511327295,1653886780,76,1959,63,Female,Y,677,"Hillington, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
ginger,57.258735122028305,-2.0423403827161963,1653894356,85,1996,26,Male,Y,109,"Hazelhead, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
ginger,56.34845078634961,-3.3267421336198475,1653895664,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
ginger,55.77257593686628,-4.048810930523556,1653897283,90,1947,75,Female,Y,1183,Hamilton,"South Lanarkshire",ML3,Glasgow
ginger,55.64059994618343,-4.684584849397931,1653899316,93,1979,43,Female,Y,787,"Irvine (centre: Castlepark, Tarryholme)","North Ayrshire",KA12,Ayrshire
ginger,55.883680417153066,-3.501425473248712,1653900199,95,1955,67,Female,Y,375,Livingston,"West Lothian",EH54,"Lothian (Edinburgh)"
ginger,55.805017295101834,-4.456422597522432,1653900786,97,1972,50,Male,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
ginger,56.14246711540397,-3.962563144323103,1653904268,105,1954,68,Male,Y,479,"Stirling (north: Causewayhead, Cornton)",Stirlingshire,FK9,"Stirling and Falkirk"
ginger,55.77515144576881,-3.781676018285685,1653909671,115,1966,56,Female,Y,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
ginger,55.90506450402587,-4.380854606886991,1653910412,117,1939,83,Male,Y,643,"Anniesland, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
ginger,55.56721508470169,-4.406460968075791,1653924341,128,1996,26,Female,Y,779,"Kilmarnock (centre and south: Bonnyton, Grange, Bellfield, Shortlees, Caprington, Riccarton, Hurlford)","East Ayrshire",KA1,Ayrshire
ginger,55.88710550780673,-4.188109421549812,1653926561,130,1982,40,Female,Y,483,Stepps,"North Lanarkshire",G33,Glasgow
ginger,57.82151409117335,-4.261653082480202,1653927835,131,1976,46,Female,Y,711,Tain,Highland,IV19,"Highlands (Inverness)"
ginger,55.642430817253135,-3.201389802448975,1653934505,143,1970,52,Male,N,362,Peebles,"Scottish Borders",EH45,Borders
ginger,55.45160705220862,-4.637641160531511,1653942309,150,1962,60,Male,N,856,"Ayr (Centre)","South Ayrshire",KA7,Ayrshire
ginger,55.849339373755456,-4.119311544242421,1654106940,169,1961,61,Female,Y,609,"Garthamlock, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
ginger,55.85219360973669,-4.145142622903398,1654107208,169,1961,61,Female,Y,609,"Garthamlock, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
ginger,55.81049302134233,-4.186618675486665,1655293144,277,2006,16,Female,School,571,"Castlemilk, Glasgow",Glasgow,"Glasgow Castlemilk",Glasgow
ginger,55.65076462087557,-4.549763303012477,1655324425,301,1957,65,Female,Y,837,"Kilmarnock (north: Onthank, Townholm, Altonhill, Longpark, Beansburn, New Farm Loch, Knockinlaw, Hillhead, Crookedholm)","East Ayrshire",KA3,Ayrshire
ginger,55.746594447999584,-4.161663703521522,1663173300,371,1984,38,Male,Y,534,"East Kilbride (south: Hairmyres, Westwood, The Murray, Murray East, Whitehills, Greenhill, Newlandsmuir, Gardenhall, Crosshouse, Newlands, Lindsayfield, Mossneuk)","South Lanarkshire",G75,Glasgow
ginger,55.7990154028641,-4.326421609678554,1663174734,373,1968,54,Female,N,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
ginger,55.85533951954665,-4.304604614055537,1663176516,380,1959,63,Female,N,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
ginger,55.90980989902279,-4.36840808622484,1663176642,381,1960,62,Female,Y,643,"Anniesland, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
ginger,55.83443187332251,-4.345339444375743,1663177939,384,1971,51,Female,N,673,"Drumoyne, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
ginger,55.84442150085224,-4.273615669623561,1663178138,385,1958,64,Female,Y,678,"Cardonald, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
ginger,55.878395384355045,-4.354785805034933,1663179974,394,1964,58,Female,Y,641,"Knightswood, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
ginger,55.83588650148581,-4.36548583328813,1663180323,396,1975,47,Female,N,672,"Govan, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
ginger,55.82104672886758,-4.343786301446128,1663191131,408,1984,38,Male,N,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
ginger,55.853427364366645,-4.351909042308969,1663191295,408,1984,38,Male,N,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
ginger,55.885523550694856,-4.197252015753586,1663218162,410,1974,48,Male,Y,483,Stepps,"North Lanarkshire",G33,Glasgow
ginger,55.863985949698645,-4.366913422726139,1663222471,412,1984,38,Male,Y,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
ginger,55.8326531992729,-4.301469001658187,1663271396,428,1963,59,Male,Y,646,"Burnside, Glasgow",Glasgow,"Glasgow South",Glasgow
ginger,55.869208906770844,-4.034424802366057,1663325128,429,1962,60,Female,N,1190,Glenboig,"North Lanarkshire",ML5,Glasgow
ginger,55.85123523148535,-4.268698244548094,1664774133,449,1957,65,Male,N,678,"Cardonald, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
ginger,55.83424077313749,-4.361590730542759,1664788215,457,1953,69,Male,Y,677,"Hillington, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
ginger,55.824041330265494,-4.377168226559276,1664792252,481,1955,67,Female,Y,678,"Cardonald, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
ginger,55.689400598970465,-4.588431792422332,1664792280,482,1944,78,Male,N,837,"Kilmarnock (north: Onthank, Townholm, Altonhill, Longpark, Beansburn, New Farm Loch, Knockinlaw, Hillhead, Crookedholm)","East Ayrshire",KA3,Ayrshire
ginger,56.22344252178753,-2.886852453027818,1664792869,488,1948,74,Female,School,1142,Methil,Fife,KY8,Fife
