answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
clap,56.46540143636983,-2.8789725935506514,1653835748,2,1986,36,Male,Y,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
clap,56.314134206535584,-3.489060563002042,1653836199,3,1965,57,Male,Y,1342,Forgandenny,"Perth and Kinross",PH2,Fife
clap,56.00745019138616,-3.6145727179275147,1653836664,4,2000,22,Male,Y,370,Bo'ness,Falkirk,EH51,"Lothian (Edinburgh)"
clap,57.45490222172259,-1.9588017849882406,1653837588,5,1973,49,Female,Y,54,Peterhead,Aberdeenshire,AB42,"North East (Aberdeen)"
clap,56.476341628794984,-2.9465178766388247,1653838045,6,1991,31,Female,Y,256,"Whitfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
clap,57.160083133780084,-2.2014898719317757,1653838528,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
clap,55.87486725911942,-3.7738456886987146,1653842796,12,1956,66,Female,Y,368,Bathgate,"West Lothian",EH48,"Lothian (Edinburgh)"
clap,55.58562617458339,-4.532622955575422,1653844379,16,1948,74,Female,Y,808,Crosshouse,"East Ayrshire",KA2,Ayrshire
clap,55.82886649532789,-4.075118947765502,1653844723,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
clap,56.33001578158389,-3.32974365896743,1653845314,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
clap,56.793675281496604,-3.1184330420974034,1653846218,20,1958,64,Female,N,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
clap,55.763605600309006,-4.258343183545806,1653847493,22,1963,59,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
clap,56.47249458206613,-2.8420455537075884,1653850909,23,1963,59,Female,N,248,"Barnhill, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
clap,55.22702802663573,-3.628341110712657,1653851424,26,1978,44,Female,N,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
clap,55.972416369650354,-3.149819068333352,1653851496,24,1950,72,Female,N,285,"Leith, Edinburgh",Edinburgh,"Edinburgh Leith","Lothian (Edinburgh)"
clap,55.93913364430895,-4.8557509006287605,1653851686,27,1975,47,Male,Y,1235,Gourock,Inverclyde,PA19,Glasgow
clap,56.48646057669557,-3.0050147504422977,1653851999,29,1945,77,Male,N,233,"Fairmuir, Dundee",Dundee,"Dundee Bluebelt","Tayside and Angus (Dundee)"
clap,55.779452214457905,-4.175051515140695,1653853739,31,1962,60,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
clap,56.57183967627211,-3.076026778524555,1653853966,33,1966,56,Female,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
clap,57.278242442155644,-2.255231678097379,1653855494,35,1959,63,Male,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
clap,55.80293852430993,-4.063175980942253,1653855612,37,1987,35,Female,Y,525,Uddingston,"South Lanarkshire",G71,Glasgow
clap,56.1968458563692,-3.1434108711055053,1653855752,38,1980,42,Male,N,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
clap,56.84224878030572,-2.9908891256589323,1653855806,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
clap,55.93408587083315,-2.5822417079405415,1653856028,39,1958,64,Male,Y,359,Dunbar,"East Lothian",EH42,"Lothian (Edinburgh)"
clap,55.93267997410673,-3.964224243100398,1653856266,41,1981,41,Female,Y,514,"Cumbernauld (south: Condorrat, Lenziemill, Carbrain, Kildrum, Cumbernauld Village, Abronhill, Seafar)","North Lanarkshire",G67,Glasgow
clap,57.18692098384525,-2.233846573569817,1653856696,43,1955,67,Female,Y,115,"Grandholm, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
clap,55.83691551386708,-4.4224236077774375,1653856923,45,1980,42,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
clap,56.375176198057645,-3.6598965608218004,1653856974,44,1958,64,Male,N,1402,Crieff,"Perth and Kinross",PH7,Fife
clap,55.95138581431581,-3.8277935440229767,1653858854,46,1961,61,Male,Y,377,"Falkirk (centre and south: Arnothill, Bantaskin, Callendar Park, Glen Village, Hallglen, Lionthorn, Tamfourhill, Woodlands)",Falkirk,FK1,"Stirling and Falkirk"
clap,57.17416732031913,-2.081906719332825,1653859340,48,1969,53,Female,N,98,"Northfield, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
clap,56.47093576411211,-2.9084583211081734,1653859805,52,1958,64,Female,N,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
clap,57.46620327662168,-5.60603105029611,1653860298,55,1975,47,Female,Y,767,Applecross,Highland,IV54,"Highlands (Inverness)"
clap,57.16642925756237,-2.0973890964966286,1653860973,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
clap,55.9086747754231,-3.0121029277701385,1653861275,57,1939,83,Other,Y,334,Dalkeith,Midlothian,EH22,"Lothian (Edinburgh)"
clap,56.61835128803401,-2.814549185564747,1653862147,58,1964,58,Female,N,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
clap,56.06846145738593,-4.843602813364645,1653862220,59,1973,49,Female,Y,565,Garelochhead,"Argyll and Bute",G84,"Argyll and Bute"
clap,57.305468659408405,-2.2427594580521815,1653863051,61,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
clap,55.80210370325609,-4.318663104996314,1653863886,63,1962,60,Female,Y,658,"Giffnock, Glasgow",Glasgow,"Glasgow South",Glasgow
clap,57.12930535590779,-2.128616756025855,1653865474,66,1971,51,Female,Y,127,"Torry, Aberdeen",Aberdeen,"Aberdeen Southeast","North East (Aberdeen)"
clap,56.11980971847214,-3.694810884004529,1653866242,67,1985,37,Female,Y,386,Clackmannan,Clackmannanshire,FK10,"Stirling and Falkirk"
clap,55.896601464846015,-4.202484063026683,1653868007,70,1958,64,Female,Y,612,"Easterhouse, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
clap,57.61678522587612,-2.399793831597333,1653868463,69,1967,55,Female,N,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
clap,56.20412250119828,-3.140336449671395,1653872778,71,1952,70,Other,N,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
clap,55.62001136050241,-4.4877385264436676,1653883745,73,1955,67,Male,N,837,"Kilmarnock (north: Onthank, Townholm, Altonhill, Longpark, Beansburn, New Farm Loch, Knockinlaw, Hillhead, Crookedholm)","East Ayrshire",KA3,Ayrshire
clap,55.832707479450846,-4.346770096947588,1653886790,76,1959,63,Female,Y,677,"Hillington, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
clap,57.216336510151365,-2.1565937740734435,1653888487,77,1976,46,Female,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
clap,55.832401509250914,-4.4560295751641705,1653891080,80,1977,45,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
clap,57.52058946003738,-2.8917629158245086,1653892290,82,1974,48,Female,N,88,Keith, Moray,AB55,"North East (Aberdeen)"
clap,57.224427685800315,-3.1834017947988995,1653892806,68,1975,47,Female,N,40,Strathdon,Aberdeenshire,AB36,"North East (Aberdeen)"
clap,57.207766574196704,-2.3081504881368633,1653894367,85,1996,26,Male,Y,109,"Hazelhead, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
clap,55.90215761721385,-3.206094981096466,1653895269,86,1950,72,Female,Y,320,"Newington, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
clap,56.417680605313116,-3.2815600942738388,1653895675,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
clap,57.576027982717285,-2.2957750227428484,1653896562,87,1960,62,Female,Y,78,Turriff,Aberdeenshire,AB53,"North East (Aberdeen)"
clap,57.61076905312344,-2.2464760982050165,1653896595,88,1953,69,Male,N,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
clap,57.44358586334704,-3.0396120178005783,1653896743,89,1960,62,Female,N,88,Keith, Moray,AB55,"North East (Aberdeen)"
clap,55.79580521151273,-4.072635699178011,1653897299,90,1947,75,Female,Y,1183,Hamilton,"South Lanarkshire",ML3,Glasgow
clap,57.58469217850231,-2.8917978121088863,1653898607,92,1961,61,Female,Y,89,Dufftown,Moray,AB55,"North East (Aberdeen)"
clap,55.60731387975793,-4.676199521349779,1653899326,93,1979,43,Female,Y,787,"Irvine (centre: Castlepark, Tarryholme)","North Ayrshire",KA12,Ayrshire
clap,55.88323971457675,-3.523206151963292,1653900211,95,1955,67,Female,Y,375,Livingston,"West Lothian",EH54,"Lothian (Edinburgh)"
clap,56.47343512011753,-3.0364203368006533,1653902288,101,1961,61,Female,Y,240,"Ardler, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
clap,56.17270471021175,-4.052611746654014,1653904275,105,1954,68,Male,Y,479,"Stirling (north: Causewayhead, Cornton)",Stirlingshire,FK9,"Stirling and Falkirk"
clap,55.820751792987366,-4.369290639282575,1653906375,106,1981,41,Male,N,670,"Ibrox, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
clap,57.63972707326006,-1.9311336783277722,1653908061,111,1988,34,Male,Y,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
clap,57.16081029013686,-2.1566780432923696,1653909635,114,1997,25,Female,Y,107,"Rosemount, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
clap,55.753080891663885,-3.9304213028882193,1653909760,115,1966,56,Female,Y,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
clap,57.68049759154973,-3.2164024409187064,1653910012,116,1968,54,Male,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
clap,55.8677203025854,-4.316331449407944,1653910425,117,1939,83,Male,Y,643,"Anniesland, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
clap,55.94740996486087,-3.215685569733461,1653911112,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
clap,56.465532514518294,-3.0004591948529216,1653912939,121,1954,68,Female,Y,239,"Charleston, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
clap,57.169344679659254,-2.2308650096267324,1653914498,122,1955,67,Female,Y,124,Newmachar,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
clap,56.81980798653495,-3.219743303335666,1653914505,123,1986,36,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
clap,55.912917308471485,-4.360053576720529,1653915776,124,1946,76,Female,N,643,"Anniesland, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
clap,56.15628841854209,-3.370835309422253,1653918990,125,1994,28,Male,Y,1121,Cowdenbeath,Fife,KY4,Fife
clap,56.63497674542724,-2.590365163395849,1653923719,126,1968,54,Male,Y,141,Arbroath,Angus,DD11,"Tayside and Angus (Dundee)"
clap,55.55155632506644,-4.553135043177963,1653924352,128,1996,26,Female,Y,779,"Kilmarnock (centre and south: Bonnyton, Grange, Bellfield, Shortlees, Caprington, Riccarton, Hurlford)","East Ayrshire",KA1,Ayrshire
clap,55.814734576097635,-4.832324937609403,1653924461,127,1989,33,Female,Y,842,Largs,"North Ayrshire",KA30,Ayrshire
clap,55.89753948282888,-4.474332315971236,1653925769,129,1986,36,Female,Y,1306,Erskine,Renfrewshire,PA8,Glasgow
clap,55.894610551656356,-4.160730321531946,1653926566,130,1982,40,Female,Y,483,Stepps,"North Lanarkshire",G33,Glasgow
clap,57.84879756461085,-4.19033823390365,1653927857,131,1976,46,Female,Y,711,Tain,Highland,IV19,"Highlands (Inverness)"
clap,55.95037474598424,-4.83010151940063,1653929233,134,1958,64,Female,Y,1235,Gourock,Inverclyde,PA19,Glasgow
clap,55.872567226332805,-3.103235595124568,1653929895,135,1981,41,Female,N,328,Bonnyrigg,Midlothian,EH19,"Lothian (Edinburgh)"
clap,57.61226121288302,-2.1335134981051715,1653930279,138,1955,67,Female,N,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
clap,57.667684686250354,-2.4962693932241473,1653930373,139,1955,67,Male,N,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
clap,55.57610231536605,-3.1721432592266217,1653934516,143,1970,52,Male,N,362,Peebles,"Scottish Borders",EH45,Borders
clap,56.86368185404081,-2.698430500991808,1653938050,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
clap,56.83628633627364,-2.8445666811215036,1653938479,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
clap,56.769933854337644,-2.6242693294387047,1653938636,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
clap,56.73735654855579,-2.6200796124417516,1653938874,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
clap,57.34649737240014,-2.399755231669187,1653939276,147,1964,58,Female,Y,64,Inverurie,Aberdeenshire,AB51,"North East (Aberdeen)"
clap,57.27270474473,-2.237208423226611,1653941980,149,1977,45,Female,N,112,"Dyce, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
clap,55.42745395763367,-4.68212156908092,1653942344,150,1962,60,Male,N,856,"Ayr (Centre)","South Ayrshire",KA7,Ayrshire
clap,56.14372471436486,-3.815759585181882,1653944120,152,1953,69,Female,Y,391,Alloa,Clackmannanshire,FK10,"Stirling and Falkirk"
clap,56.13257794071769,-3.8095778706704646,1653944174,152,1953,69,Female,Y,391,Alloa,Clackmannanshire,FK10,"Stirling and Falkirk"
clap,56.311102211775996,-2.9651416437243823,1653946846,153,1973,49,Male,Y,1105,Cupar,Fife,KY15,Fife
clap,55.66793233093521,-4.661979534521814,1653949119,155,1989,33,Female,Y,788,Kilwinning,"North Ayrshire",KA13,Ayrshire
clap,55.914589759151816,-2.8863854074447257,1653952762,158,1998,24,Other,Y,350,Pencaitland,"East Lothian",EH34,"Lothian (Edinburgh)"
clap,57.65418998939777,-3.452613823972893,1653981442,160,1977,45,Female,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
clap,56.46876550603082,-2.905797456834082,1654031225,163,1968,54,Female,Y,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
clap,55.87407764505117,-4.255404355319932,1654057539,166,1978,44,Female,Y,585,"Kelvindale, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
clap,57.64392975720576,-1.9411017199198106,1654064407,167,1958,64,Male,N,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
clap,55.853734681121374,-4.1453088936199105,1654106948,169,1961,61,Female,Y,609,"Garthamlock, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
clap,55.84593677940346,-4.1510219266720485,1654107218,169,1961,61,Female,Y,609,"Garthamlock, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
clap,56.49137126251578,-3.0495190201131024,1654167810,172,1952,70,Female,Y,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
