answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
granda,56.56651783600632,-3.378827559846617,1653836222,3,1965,57,Male,Y,1342,Forgandenny,"Perth and Kinross",PH2,Fife
granda,57.47363113334351,-2.021269580797069,1653837603,5,1973,49,Female,Y,54,Peterhead,Aberdeenshire,AB42,"North East (Aberdeen)"
granda,56.475961630299885,-2.928837342319237,1653838060,6,1991,31,Female,Y,256,"Whitfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
granda,56.35585077965221,-3.3701485825881448,1653845329,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
granda,55.74723022511122,-4.127375524875647,1653847511,22,1963,59,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
granda,55.96489061526182,-3.1710258379285636,1653851518,24,1950,72,Female,N,285,"Leith, Edinburgh",Edinburgh,"Edinburgh Leith","Lothian (Edinburgh)"
granda,55.94271825726826,-4.852431263617338,1653851696,27,1975,47,Male,Y,1235,Gourock,Inverclyde,PA19,Glasgow
granda,56.46699901060045,-2.9583913672370596,1653852016,29,1945,77,Male,N,233,"Fairmuir, Dundee",Dundee,"Dundee Bluebelt","Tayside and Angus (Dundee)"
granda,56.39397547066536,-3.753248210295524,1653853632,30,1979,43,Female,Y,1402,Crieff,"Perth and Kinross",PH7,Fife
granda,57.208721756228975,-2.2350731812754403,1653855502,35,1959,63,Male,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
granda,56.2169606729571,-3.1270577398067285,1653855766,38,1980,42,Male,N,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
granda,57.1572196976762,-2.1066099769466384,1653859353,48,1969,53,Female,N,98,"Northfield, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
granda,57.15151271783086,-2.0913210603696846,1653860997,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
granda,56.73769753905535,-3.189437468110201,1653862160,58,1964,58,Female,N,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
granda,57.24782282541195,-2.1371806096008052,1653863070,61,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
granda,55.820736149391074,-4.257641117464413,1653863917,63,1962,60,Female,Y,658,"Giffnock, Glasgow",Glasgow,"Glasgow South",Glasgow
granda,57.5728365574671,-2.699221529484346,1653864519,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
granda,57.135215715417864,-2.081100097070646,1653865482,66,1971,51,Female,Y,127,"Torry, Aberdeen",Aberdeen,"Aberdeen Southeast","North East (Aberdeen)"
granda,55.84933489364593,-4.185502971245223,1653868026,70,1958,64,Female,Y,612,"Easterhouse, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
granda,57.66507520444002,-2.331575440700604,1653868492,69,1967,55,Female,N,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
granda,57.62839027864833,-2.66006360332605,1653883742,74,1958,64,Female,Y,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
granda,57.2761650959715,-2.018169596679893,1653888496,77,1976,46,Female,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
granda,57.42517520743377,-3.0657696454390893,1653892299,82,1974,48,Female,N,88,Keith, Moray,AB55,"North East (Aberdeen)"
granda,57.255721709849915,-3.1867248723872494,1653892822,68,1975,47,Female,N,40,Strathdon,Aberdeenshire,AB36,"North East (Aberdeen)"
granda,57.137302401478095,-2.2429495823361165,1653894382,85,1996,26,Male,Y,109,"Hazelhead, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
granda,56.37183483585648,-3.5250008043704883,1653895697,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
granda,57.56301837581535,-2.316847852648091,1653896583,87,1960,62,Female,Y,78,Turriff,Aberdeenshire,AB53,"North East (Aberdeen)"
granda,57.68408287791541,-2.1457877188152317,1653896604,88,1953,69,Male,N,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
granda,57.53656716531465,-2.973108561794924,1653896759,89,1960,62,Female,N,88,Keith, Moray,AB55,"North East (Aberdeen)"
granda,57.618745008970805,-3.3291394931163887,1653902064,99,1942,80,Male,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
granda,56.47010300154682,-3.021308531097158,1653902302,101,1961,61,Female,Y,240,"Ardler, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
granda,57.614013276829766,-1.9724978760070289,1653908070,111,1988,34,Male,Y,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
