answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
scunnered,56.27586679131466,-3.6026514222570887,1653836230,3,1965,57,Male,Y,1342,Forgandenny,"Perth and Kinross",PH2,Fife
scunnered,56.003511120280905,-3.5675643446212035,1653836683,4,2000,22,Male,Y,370,Bo'ness,Falkirk,EH51,"Lothian (Edinburgh)"
scunnered,57.476310304635255,-1.9549865432907039,1653837612,5,1973,49,Female,Y,54,Peterhead,Aberdeenshire,AB42,"North East (Aberdeen)"
scunnered,57.2099929753304,-2.255510544422482,1653838544,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
scunnered,55.903419339531304,-3.672538040681749,1653842812,12,1956,66,Female,Y,368,Bathgate,"West Lothian",EH48,"Lothian (Edinburgh)"
scunnered,55.61046572431199,-4.532660336728227,1653844400,16,1948,74,Female,Y,808,Crosshouse,"East Ayrshire",KA2,Ayrshire
scunnered,55.81211191144202,-4.068215570445978,1653844739,17,1965,57,Female,Y,526,Viewpark,"North Lanarkshire",G71,Glasgow
scunnered,56.423376446536224,-3.3898390594491445,1653845351,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
scunnered,55.78373122507043,-4.1869897816790695,1653847522,22,1963,59,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
scunnered,56.4754030169902,-2.8879753931217005,1653850931,23,1963,59,Female,N,248,"Barnhill, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
scunnered,55.03960421627929,-3.544258374067063,1653851438,26,1978,44,Female,N,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
scunnered,55.971542260361794,-3.1793904757269495,1653851534,24,1950,72,Female,N,285,"Leith, Edinburgh",Edinburgh,"Edinburgh Leith","Lothian (Edinburgh)"
scunnered,55.934291353737116,-4.870936154376751,1653851702,27,1975,47,Male,Y,1235,Gourock,Inverclyde,PA19,Glasgow
scunnered,56.48480071008728,-2.9922482880265586,1653852031,29,1945,77,Male,N,233,"Fairmuir, Dundee",Dundee,"Dundee Bluebelt","Tayside and Angus (Dundee)"
scunnered,56.35113958167542,-3.822197983370036,1653853640,30,1979,43,Female,Y,1402,Crieff,"Perth and Kinross",PH7,Fife
scunnered,55.787420406070886,-4.159886392771978,1653853767,31,1962,60,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
scunnered,56.76036534214719,-2.899003631244319,1653853987,33,1966,56,Female,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
scunnered,57.24212143930722,-2.0697516169437358,1653855509,35,1959,63,Male,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
scunnered,55.798343705104365,-4.055230762524836,1653855636,37,1987,35,Female,Y,525,Uddingston,"South Lanarkshire",G71,Glasgow
scunnered,56.17639711337846,-3.1450847797374375,1653855772,38,1980,42,Male,N,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
scunnered,56.611323958977174,-2.723849843539033,1653855825,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
scunnered,55.998267558715355,-2.5620649426294717,1653856056,39,1958,64,Male,Y,359,Dunbar,"East Lothian",EH42,"Lothian (Edinburgh)"
scunnered,57.202343269711285,-2.203748311503231,1653856729,43,1955,67,Female,Y,115,"Grandholm, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
scunnered,56.42749586863823,-3.8969992425890636,1653857003,44,1958,64,Male,N,1402,Crieff,"Perth and Kinross",PH7,Fife
scunnered,55.98242222983992,-3.774489646143138,1653858898,46,1961,61,Male,Y,377,"Falkirk (centre and south: Arnothill, Bantaskin, Callendar Park, Glen Village, Hallglen, Lionthorn, Tamfourhill, Woodlands)",Falkirk,FK1,"Stirling and Falkirk"
scunnered,55.683418590345454,-4.285383126604828,1653859355,49,1980,42,Male,Y,535,Busby,"East Renfrewshire",G76,Glasgow
scunnered,57.14805923713072,-2.1494708810031318,1653859362,48,1969,53,Female,N,98,"Northfield, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
scunnered,56.46696668046999,-2.8773616417533323,1653859829,52,1958,64,Female,N,247,"Broughty Ferry, Dundee",Dundee,"Dundee East","Tayside and Angus (Dundee)"
scunnered,57.437167491308394,-5.4425715678951105,1653860319,55,1975,47,Female,Y,767,Applecross,Highland,IV54,"Highlands (Inverness)"
scunnered,57.17156490486048,-2.1255707678006264,1653861006,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
scunnered,55.88696259347469,-3.063815279705125,1653861348,57,1939,83,Other,Y,334,Dalkeith,Midlothian,EH22,"Lothian (Edinburgh)"
scunnered,56.62434301219376,-2.952510001096882,1653862167,58,1964,58,Female,N,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
scunnered,56.11212594723805,-4.816647683766877,1653862237,59,1973,49,Female,Y,565,Garelochhead,"Argyll and Bute",G84,"Argyll and Bute"
scunnered,55.963361150509954,-2.870071961701769,1653862714,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
scunnered,57.15939210781414,-2.2610079528085336,1653863105,61,1957,65,Female,Y,111,"Bucksburn, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
scunnered,55.816627040851664,-4.245135802146999,1653863933,63,1962,60,Female,Y,658,"Giffnock, Glasgow",Glasgow,"Glasgow South",Glasgow
scunnered,55.929966539212906,-3.26252985127743,1653863941,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
scunnered,57.29889566735472,-2.745421884676835,1653864525,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
scunnered,56.14189001928795,-3.7512616041907503,1653866259,67,1985,37,Female,Y,386,Clackmannan,Clackmannanshire,FK10,"Stirling and Falkirk"
scunnered,55.831439148366165,-4.138632543839737,1653868052,70,1958,64,Female,Y,612,"Easterhouse, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
scunnered,57.59591504703123,-2.585276829471697,1653868510,69,1967,55,Female,N,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
scunnered,57.646001347059254,-2.419103957166588,1653883749,74,1958,64,Female,Y,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
scunnered,55.726550724547124,-4.459863284107829,1653883766,73,1955,67,Male,N,837,"Kilmarnock (north: Onthank, Townholm, Altonhill, Longpark, Beansburn, New Farm Loch, Knockinlaw, Hillhead, Crookedholm)","East Ayrshire",KA3,Ayrshire
scunnered,55.85730753962833,-4.349568391641284,1653886817,76,1959,63,Female,Y,677,"Hillington, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
scunnered,57.26984699190384,-2.027199334622754,1653888503,77,1976,46,Female,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
scunnered,55.81337653689641,-4.476036040342024,1653891104,80,1977,45,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
scunnered,56.00237848562263,-3.562798063670291,1653891849,81,1963,59,Female,Y,370,Bo'ness,Falkirk,EH51,"Lothian (Edinburgh)"
scunnered,57.468288403864825,-3.1714596683973246,1653892307,82,1974,48,Female,N,88,Keith, Moray,AB55,"North East (Aberdeen)"
scunnered,57.19853619234877,-2.9928867798962915,1653892830,68,1975,47,Female,N,40,Strathdon,Aberdeenshire,AB36,"North East (Aberdeen)"
scunnered,57.27839364828488,-2.0550424063862223,1653894389,85,1996,26,Male,Y,109,"Hazelhead, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
scunnered,56.36784210904745,-3.461923202004423,1653895706,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
scunnered,57.470388940912414,-2.331581013296912,1653896600,87,1960,62,Female,Y,78,Turriff,Aberdeenshire,AB53,"North East (Aberdeen)"
