answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
bairn,56.30598896087549,-3.534796336663076,1653836237,3,1965,57,Male,Y,1342,Forgandenny,"Perth and Kinross",PH2,Fife
bairn,56.01946486027454,-3.609006164547357,1653836688,4,2000,22,Male,Y,370,Bo'ness,Falkirk,EH51,"Lothian (Edinburgh)"
bairn,57.55650488798964,-1.8910250105294404,1653837621,5,1973,49,Female,Y,54,Peterhead,Aberdeenshire,AB42,"North East (Aberdeen)"
bairn,56.46856354586243,-2.93001681166497,1653838076,6,1991,31,Female,Y,256,"Whitfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
bairn,57.237410094750366,-2.1399193177731233,1653838551,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
bairn,56.776975812539234,-3.1493760735815823,1653846661,21,1952,70,Female,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
bairn,55.78096916541649,-4.188091392829126,1653847546,22,1963,59,Female,Y,530,"East Kilbride (north: The Village, East Mains, West Mains, Lymekilns, St Leonards, Calderwood, Nerston, Stewartfield, Peel Park)","South Lanarkshire",G74,Glasgow
bairn,55.172995717948204,-3.4886902783057336,1653851447,26,1978,44,Female,N,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
bairn,56.47182410878458,-2.9588184031292486,1653852041,29,1945,77,Male,N,233,"Fairmuir, Dundee",Dundee,"Dundee Bluebelt","Tayside and Angus (Dundee)"
bairn,56.40221954278743,-3.703328647598178,1653853653,30,1979,43,Female,Y,1402,Crieff,"Perth and Kinross",PH7,Fife
bairn,56.79804076523839,-3.1386810903021507,1653853994,33,1966,56,Female,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
bairn,56.771695506796725,-3.112217789088436,1653855831,36,1982,40,Male,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
bairn,55.95528338891673,-2.529297822469583,1653856062,39,1958,64,Male,Y,359,Dunbar,"East Lothian",EH42,"Lothian (Edinburgh)"
bairn,57.17926492868312,-2.1521239408113653,1653856748,43,1955,67,Female,Y,115,"Grandholm, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
bairn,56.36964286695056,-3.7166553002608693,1653857016,44,1958,64,Male,N,1402,Crieff,"Perth and Kinross",PH7,Fife
bairn,55.99526574346542,-3.793815175508458,1653858915,46,1961,61,Male,Y,377,"Falkirk (centre and south: Arnothill, Bantaskin, Callendar Park, Glen Village, Hallglen, Lionthorn, Tamfourhill, Woodlands)",Falkirk,FK1,"Stirling and Falkirk"
bairn,57.16600242981374,-2.1185874335718955,1653861019,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
bairn,55.91207200877111,-3.072979242191133,1653861360,57,1939,83,Other,Y,334,Dalkeith,Midlothian,EH22,"Lothian (Edinburgh)"
bairn,56.768663339800135,-3.0146048639591356,1653862173,58,1964,58,Female,N,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
bairn,57.32544192147177,-3.0964158276831455,1653864533,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
bairn,57.1454844048904,-2.074888190994344,1653865500,66,1971,51,Female,Y,127,"Torry, Aberdeen",Aberdeen,"Aberdeen Southeast","North East (Aberdeen)"
bairn,57.60189333370804,-2.7297626191522686,1653868539,69,1967,55,Female,N,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
bairn,57.237750029195034,-2.224080422522183,1653888512,77,1976,46,Female,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
bairn,56.018828690909515,-3.6060547311376605,1653891859,81,1963,59,Female,Y,370,Bo'ness,Falkirk,EH51,"Lothian (Edinburgh)"
bairn,57.41954986604708,-3.1607740598869696,1653892315,82,1974,48,Female,N,88,Keith, Moray,AB55,"North East (Aberdeen)"
bairn,57.2425444662797,-2.250033336302651,1653894399,85,1996,26,Male,Y,109,"Hazelhead, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
bairn,56.386429607805844,-3.459221557321438,1653895714,18,1949,73,Male,Y,1354,"Perth (south and east: Barnhill, Bridgend, Craigie, Kincarrathie, Upper Craigie)","Perth and Kinross",PH2,Fife
bairn,57.6157231828789,-1.8804270533568832,1653896627,88,1953,69,Male,N,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
bairn,57.68466239770696,-3.325545558264002,1653902095,99,1942,80,Male,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
bairn,57.126989632007486,-2.1213390177636,1653902245,100,1962,60,Male,Y,126,"Bridge of Dee, Aberdeen",Aberdeen,"Aberdeen Southeast","North East (Aberdeen)"
bairn,56.47379623311959,-2.975724619580193,1653902332,101,1961,61,Female,Y,240,"Ardler, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
bairn,56.46984531666922,-2.9850877890873173,1653903048,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
bairn,57.68154144617365,-2.245662571378818,1653908089,111,1988,34,Male,Y,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
bairn,57.17242478411872,-2.1242194444758478,1653909190,113,1989,33,Male,N,101,"Sheddocksley, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
bairn,57.67616907772235,-3.4094884228569313,1653910053,116,1968,54,Male,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
bairn,55.8969978920377,-4.3671899622312225,1653910479,117,1939,83,Male,Y,643,"Anniesland, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
bairn,56.49503147068844,-3.01639352975081,1653912973,121,1954,68,Female,Y,239,"Charleston, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
bairn,55.88022799740331,-4.3571520661304355,1653915822,124,1946,76,Female,N,643,"Anniesland, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
bairn,56.132495323034206,-3.403251664521975,1653919017,125,1994,28,Male,Y,1121,Cowdenbeath,Fife,KY4,Fife
bairn,57.81634037177216,-4.038369806101218,1653927884,131,1976,46,Female,Y,711,Tain,Highland,IV19,"Highlands (Inverness)"
bairn,55.865279695321185,-3.0835896604452384,1653929939,135,1981,41,Female,N,328,Bonnyrigg,Midlothian,EH19,"Lothian (Edinburgh)"
bairn,57.66351115001858,-2.4877772837296197,1653930416,139,1955,67,Male,N,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
bairn,55.950639129098285,-3.1980315943374613,1653933347,141,1980,42,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
bairn,55.63443355584907,-3.305577357164416,1653934563,143,1970,52,Male,N,362,Peebles,"Scottish Borders",EH45,Borders
bairn,56.93123654505986,-2.8630005349669263,1653938085,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
bairn,56.71596253331529,-2.735957190370927,1653938499,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
bairn,56.82930769291301,-2.674594298300319,1653938665,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
bairn,56.8736129505892,-3.0871504361045443,1653938891,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
bairn,57.347694109208,-2.247910051548744,1653939309,147,1964,58,Female,Y,64,Inverurie,Aberdeenshire,AB51,"North East (Aberdeen)"
bairn,57.59479990370242,-3.34974216022609,1653939350,148,1950,72,Male,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
bairn,57.13753915451373,-2.268179260773148,1653942008,149,1977,45,Female,N,112,"Dyce, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
bairn,56.137499609941,-3.692416736820282,1653944215,152,1953,69,Female,Y,391,Alloa,Clackmannanshire,FK10,"Stirling and Falkirk"
bairn,56.33110676184202,-2.919352538953916,1653946905,153,1973,49,Male,Y,1105,Cupar,Fife,KY15,Fife
bairn,56.4694339388349,-2.912769773858539,1653947256,154,1972,50,Female,Y,250,"Downfield, Dundee",Dundee,"Dundee North","Tayside and Angus (Dundee)"
bairn,55.90616857096376,-2.869877673972303,1653953108,158,1998,24,Other,Y,350,Pencaitland,"East Lothian",EH34,"Lothian (Edinburgh)"
