answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
noun,55.94262377486365,-2.7861231452346398,1653853774,32,1955,67,Female,Y,357,Haddington,"East Lothian",EH41,"Lothian (Edinburgh)"
noun,55.960707373201366,-2.9498028340604066,1653863807,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
noun,55.226335577225356,-4.425765622481495,1653898870,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
noun,56.46020397391581,-2.9929707280890288,1653903376,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
noun,55.96471727340708,-3.2072723340057627,1653915182,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
noun,57.80776391246118,-4.1163790941447225,1653929018,131,1976,46,Female,Y,711,Tain,Highland,IV19,"Highlands (Inverness)"
noun,55.92454997469063,-3.272947895449724,1653933651,141,1980,42,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
noun,55.939216622370026,-4.432883913456812,1654368415,181,1946,76,Female,N,545,Hardgate,"West Dunbartonshire",G81,Glasgow
noun,0,0,1654513972,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
noun,0,0,1654767581,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
noun,57.668846361016165,-2.4941521132418147,1655112076,191,2005,17,Female,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
noun,57.617400464837594,-2.4015048739025078,1655112084,202,2006,16,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
noun,57.58399387189726,-2.545391666121949,1655112643,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
noun,0,0,1655204540,43,1955,67,Female,Y,115,"Grandholm, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
noun,57.661338744563075,-2.830684797217641,1655212743,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
noun,57.618459255974585,-2.8710607764180156,1655212746,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
noun,57.66478521109951,-3.000404645073108,1655212759,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
noun,57.60552733653453,-2.8393664920941064,1655212762,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
noun,57.68711292554605,-2.076796265627564,1655212764,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
noun,57.652848489963944,-2.8009584589947143,1655212771,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
noun,57.645476993922195,-2.853467238731571,1655212773,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
noun,57.64302009446274,-2.881667209177634,1655212773,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
noun,57.62850493032274,-2.9845537171156087,1655213390,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
noun,57.68964016861556,-2.8436524306175395,1655215517,233,2005,17,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
noun,57.63488384351085,-2.998852371484693,1655291002,250,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
noun,57.649341510211315,-2.888809809787886,1655291468,255,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
noun,57.64782912293268,-2.8261957950999292,1655291522,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
noun,57.64201981834422,-2.998448332598357,1655291526,247,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
noun,57.648808772014945,-2.985501477362925,1655291533,251,2009,13,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
noun,57.675817869413166,-2.91422338081836,1655291548,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
noun,57.59433524954086,-2.99086911737737,1655291607,243,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
noun,57.63555681347064,-2.884812025914663,1655292962,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
noun,57.6217918432726,-2.894072359434173,1655293578,264,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
