answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
loan,55.94231427245654,-2.711864361462391,1653853853,32,1955,67,Female,Y,357,Haddington,"East Lothian",EH41,"Lothian (Edinburgh)"
loan,55.98152124463908,-2.8765219282075574,1653863917,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
loan,55.35507606828793,-4.330712301214629,1653898951,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
loan,56.47060490142399,-3.0034131626042244,1653903434,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
loan,55.93652737569193,-3.271608755574713,1653915297,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
loan,57.82406406010464,-4.241285560145711,1653929099,131,1976,46,Female,Y,711,Tain,Highland,IV19,"Highlands (Inverness)"
loan,0,0,1654514112,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
loan,0,0,1654608854,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
loan,0,0,1654768551,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
loan,0,0,1654768977,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
loan,57.63688743874469,-2.7019112071434677,1655112206,202,2006,16,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
loan,57.58921940546136,-2.7608223030282395,1655112249,201,2006,16,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
loan,57.673203033614854,-2.723817914122779,1655112299,203,2006,16,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
loan,57.635247121588854,-3.0262379725675834,1655212830,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
loan,57.622445027743986,-2.821857985563875,1655212889,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
loan,57.62666286467785,-2.987269984838969,1655212967,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
loan,57.678555937077334,-2.8891185474346472,1655212968,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
loan,57.645532586736245,-3.0135973554420943,1655212972,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
loan,57.67942323670411,-2.7990524890754696,1655212974,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
loan,57.6600408241348,-2.8863300971496924,1655213009,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
loan,57.67223968187084,-2.8735948303556302,1655213447,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
loan,57.652467561827535,-2.832632061712203,1655291537,255,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
loan,57.66748944738257,-2.832905935765303,1655291597,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
loan,57.6898532417559,-2.9276338926072456,1655291603,245,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
loan,57.679715601685665,-2.942231554600185,1655291610,251,2009,13,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
loan,57.65937172212647,-2.9409555833656906,1655291616,247,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
loan,57.696632704090796,-2.9201334456833283,1655291634,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
loan,57.61120844666952,-2.89566913963635,1655291755,250,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
loan,57.67572702639624,-2.7755727338301663,1655293046,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
loan,57.68797025682802,-2.791703708058372,1655293714,270,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
loan,57.65651776192037,-2.8871694723276793,1655293803,264,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
loan,57.62984893999005,-2.8367453332487664,1655293833,261,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
loan,57.66197777555908,-2.871534065606826,1655293946,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
loan,57.63769765467396,-3.0507351404846306,1655293946,264,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
loan,57.6572593665756,-2.930791115561145,1655299894,296,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
loan,57.679113509174115,-2.892601074107508,1655300003,285,2006,16,Female,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
loan,57.66172186985587,-2.9469171235044818,1655300254,295,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
loan,57.671416613476296,-2.969200240317767,1655300281,290,2006,16,Female,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
loan,0,0,1655822449,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
loan,0,0,1655979518,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
loan,0,0,1655993835,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
loan,60.23323783204058,-1.4503398889908814,1663158279,334,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
loan,60.36020175728279,-1.1982787908146375,1663158385,343,2008,14,Female,School,1622,Voe,"Shetland Isles",ZE2,"Shetland Islands"
loan,60.623402662675794,-1.1183613990350627,1663158440,333,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
loan,60.047601211368615,-1.214993684641637,1663158556,340,2008,14,Female,School,1561,Hillswick,"Shetland Isles",ZE2,"Shetland Islands"
loan,60.26784354185405,-1.1925662073669103,1663158718,338,2008,14,Female,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
loan,59.95312800262431,-1.2873510716763554,1663159004,344,2008,14,Female,School,1521,Busta,"Shetland Isles",ZE2,"Shetland Islands"
loan,60.13797136577981,-1.288597956846497,1663161077,351,2008,14,Male,School,1500,Lerwick,"Shetland Isles",ZE1,"Shetland Islands"
loan,60.520975816103594,-1.4052335414336086,1663161112,353,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
loan,55.75377022048745,-4.078912580023243,1663161223,363,2008,14,Male,School,1183,Hamilton,"South Lanarkshire",ML3,Glasgow
loan,60.459002432928955,-1.2574229950640887,1663161227,355,2008,14,Female,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
loan,60.02069418891751,-1.280415051448478,1663161243,359,2008,14,Female,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
loan,60.69042748554467,-1.0610097026024627,1663161288,354,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
