answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
wreath,57.252204005858005,-2.0402825657266144,1653839972,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
wreath,55.87704933467098,-2.7852068020049723,1653853875,32,1955,67,Female,Y,357,Haddington,"East Lothian",EH41,"Lothian (Edinburgh)"
wreath,56.5977688773644,-3.0050003707208233,1653854486,33,1966,56,Female,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
wreath,57.23490844251187,-2.230004846890585,1653855780,35,1959,63,Male,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
wreath,57.43677320050744,-2.572197408500397,1653863864,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
wreath,55.949499834144724,-3.0424196369734866,1653863930,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
wreath,57.169034002088985,-3.291860630151282,1653893667,84,1975,47,Female,N,40,Strathdon,Aberdeenshire,AB36,"North East (Aberdeen)"
wreath,57.14854796208149,-2.106389106308443,1653896542,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
wreath,57.517697224563214,-2.477455676807432,1653897596,87,1960,62,Female,Y,78,Turriff,Aberdeenshire,AB53,"North East (Aberdeen)"
wreath,55.24598792927,-4.39724208636286,1653898961,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
wreath,56.47684464228928,-3.0261203928204914,1653903440,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
wreath,57.17018519247629,-2.163008074290012,1653909636,113,1989,33,Male,N,101,"Sheddocksley, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
wreath,55.96292359352428,-3.1903729051122798,1653915304,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
wreath,57.7681412144287,-4.077807167364647,1653929110,131,1976,46,Female,Y,711,Tain,Highland,IV19,"Highlands (Inverness)"
wreath,56.893633490574786,-2.9527407040757176,1653939311,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
wreath,55.83292243354038,-4.134496834135707,1654108001,169,1961,61,Female,Y,609,"Garthamlock, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
wreath,0,0,1654514131,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
wreath,0,0,1654608857,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
wreath,0,0,1654768554,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
wreath,0,0,1654768993,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
wreath,57.635527538484055,-2.7620429542483556,1655112162,190,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
wreath,57.66713855317265,-2.5053104958799555,1655112179,192,2005,17,Female,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
wreath,57.59881258495361,-2.6915135491953244,1655112207,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
wreath,57.58758488304224,-2.7190668147549633,1655112207,194,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
wreath,57.68057549998028,-2.306583388638286,1655112227,202,2006,16,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
wreath,57.68953704718696,-2.3149010225557176,1655112234,196,2005,17,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
wreath,57.65065054987102,-2.545490942844297,1655112254,201,2006,16,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
wreath,57.667536854219264,-2.490951751311512,1655112264,204,2007,15,Male,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
wreath,57.663835828092104,-2.324785178776082,1655112336,198,2006,16,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
wreath,57.65329019481943,-2.6516552455129383,1655112411,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
wreath,57.67032309919375,-2.6605182571648682,1655112748,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
