answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
film-1,57.48958107021874,-2.7433743867627687,1653863875,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
film-1,55.96276792539299,-2.9520239242430715,1653863969,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
film-1,57.150366508681216,-3.10129244448649,1653893687,84,1975,47,Female,N,40,Strathdon,Aberdeenshire,AB36,"North East (Aberdeen)"
film-1,56.47002693640037,-3.035913380832847,1653903462,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
film-1,57.153864306886106,-2.1524630183801494,1653909654,113,1989,33,Male,N,101,"Sheddocksley, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
film-1,55.94693168307755,-3.224128253806363,1653915337,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
film-1,57.80722111969231,-4.169399892949312,1653929128,131,1976,46,Female,Y,711,Tain,Highland,IV19,"Highlands (Inverness)"
film-1,57.3244119314216,-3.04608724327316,1654295956,180,1985,37,Male,Y,83,Huntly,Aberdeenshire,AB54,"North East (Aberdeen)"
film-1,0,0,1654514150,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
film-1,0,0,1654608863,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
film-1,0,0,1654768570,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
film-1,0,0,1654768999,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
film-1,57.671387692417596,-2.493464318530539,1655112200,192,2005,17,Female,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
film-1,57.384357330666035,-2.694109613459139,1655112202,193,2006,16,Female,School,79,Aberchirder,Aberdeenshire,AB54,"North East (Aberdeen)"
film-1,57.65223471900703,-2.610779709285235,1655112230,194,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
film-1,57.653842205405354,-2.330761605640948,1655112231,188,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
film-1,57.6676771341925,-2.351112473719732,1655112259,200,2007,15,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
film-1,57.66270293260524,-2.4833958175016737,1655112268,191,2005,17,Female,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
film-1,57.67667159768854,-2.7596425704496017,1655112271,201,2006,16,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
film-1,57.434694199596166,-2.932395647547774,1655112337,199,2007,15,Male,School,79,Aberchirder,Aberdeenshire,AB54,"North East (Aberdeen)"
film-1,57.66826631808503,-2.6876913926864168,1655112367,198,2006,16,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
film-1,57.6682404613194,-2.284836711227572,1655112422,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
film-1,55.108943030142555,-3.7084855163751373,1655185349,207,1991,31,Male,Y,207,"Dumfries (west: Broomlands, Cargenbridge, Lochside, Maxwelltown, Troqueer)","Dumfries and Galloway",DG2,"Dumfries and Galloway"
film-1,57.682712809697485,-2.8931261957990935,1655212925,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
film-1,57.692810413389765,-2.8918316489590863,1655212944,225,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
film-1,57.662778600364454,-2.8804537130669163,1655212960,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
film-1,57.66516164204376,-2.9664451151764526,1655212995,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
film-1,57.62292468866863,-2.942909689929076,1655213006,220,2007,15,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
film-1,57.68007380969581,-2.857855408959554,1655213007,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
film-1,57.65670519255531,-3.0097689795766223,1655213037,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
film-1,57.62022013885335,-2.848785673035896,1655213044,221,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
film-1,57.63705205479008,-2.8672015037985217,1655213108,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
film-1,57.626722322985664,-2.9425948168944935,1655213122,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
film-1,57.58712108026964,-1.9809698338799582,1655213166,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
film-1,57.67795846358436,-2.834974003892563,1655291287,239,2008,14,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
film-1,57.66425991119759,-2.8396617506339172,1655291621,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
film-1,57.66760813125213,-2.9151032606020686,1655291641,236,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
film-1,57.61736131183719,-2.999564685092072,1655291643,245,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
film-1,57.68746625859343,-2.8757705336914947,1655293121,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
film-1,57.67648781418998,-2.879052136826332,1655293882,265,2006,16,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
film-1,57.647605624098,-2.918452879209054,1655293911,267,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
film-1,57.60975139263222,-2.863945649086398,1655293956,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
film-1,57.630426535095665,-2.8045902180158206,1655294099,258,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
film-1,57.666740959166894,-2.8615964076944795,1655299874,292,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
film-1,57.63140500910787,-2.8167530743177736,1655299891,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
film-1,57.57861262036261,-2.065205391020925,1655299898,289,2006,16,Female,School,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
film-1,57.63857340092247,-2.881865111831394,1655299934,294,2005,17,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
film-1,57.665960958065874,-2.8369378182977516,1655299994,296,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
