answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
sometimes-1,57.316786039525944,-2.239395459741015,1653839996,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
sometimes-1,55.83927878524336,-2.7390921534576136,1653853939,32,1955,67,Female,Y,357,Haddington,"East Lothian",EH41,"Lothian (Edinburgh)"
sometimes-1,57.49295915699822,-2.9166814114215467,1653863884,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
sometimes-1,55.96299404987907,-2.9369123825769394,1653863985,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
sometimes-1,57.16338044106187,-3.0133583306870078,1653893719,84,1975,47,Female,N,40,Strathdon,Aberdeenshire,AB36,"North East (Aberdeen)"
sometimes-1,57.53223738974558,-2.327502951783763,1653897666,87,1960,62,Female,Y,78,Turriff,Aberdeenshire,AB53,"North East (Aberdeen)"
sometimes-1,55.373204634894854,-4.482078948198877,1653898985,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
sometimes-1,56.49003300433893,-3.024222788404584,1653903476,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
sometimes-1,55.96625829074164,-3.190970844143358,1653915346,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
sometimes-1,56.8228093719088,-2.80374125948717,1653939349,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
sometimes-1,55.88476324488515,-2.8680911090890366,1653994969,158,1998,24,Other,Y,350,Pencaitland,"East Lothian",EH34,"Lothian (Edinburgh)"
sometimes-1,55.83972317175962,-4.1145515089138645,1654108026,169,1961,61,Female,Y,609,"Garthamlock, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
sometimes-1,57.36698942158491,-2.885700990792455,1654295967,180,1985,37,Male,Y,83,Huntly,Aberdeenshire,AB54,"North East (Aberdeen)"
sometimes-1,0,0,1654514161,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
sometimes-1,0,0,1654608866,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
sometimes-1,0,0,1654768574,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
sometimes-1,0,0,1654769002,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
sometimes-1,57.357526163583984,-3.045808682495093,1655112212,193,2006,16,Female,School,79,Aberchirder,Aberdeenshire,AB54,"North East (Aberdeen)"
sometimes-1,57.610366068226924,-2.4203085309327195,1655112236,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
sometimes-1,57.628498850354426,-2.748109475067196,1655112256,196,2005,17,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
sometimes-1,57.59647825661254,-2.6047999568727924,1655112280,201,2006,16,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
sometimes-1,57.67344401481062,-2.3160543807065723,1655112431,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
sometimes-1,57.671670419125526,-2.7406417158070444,1655112785,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
sometimes-1,55.05734292587785,-3.7706141856070716,1655185359,207,1991,31,Male,Y,207,"Dumfries (west: Broomlands, Cargenbridge, Lochside, Maxwelltown, Troqueer)","Dumfries and Galloway",DG2,"Dumfries and Galloway"
sometimes-1,57.62014808297048,-2.801115078667613,1655212934,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
sometimes-1,57.6809718842515,-2.8727937680504274,1655212970,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
sometimes-1,57.63044603864215,-2.901548157615337,1655213005,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
sometimes-1,57.63402232448323,-2.929646862737476,1655213022,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
sometimes-1,57.684871670686064,-2.917339455293961,1655213066,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
sometimes-1,57.62599658359962,-3.0201724550031988,1655213116,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
sometimes-1,57.61221448352787,-2.2270470402265286,1655213181,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
sometimes-1,57.678991957304824,-2.816865977639095,1655213724,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
sometimes-1,55.889228183749395,-4.24500836241965,1655220244,214,1999,23,Female,Y,634,"Maryhill, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
sometimes-1,57.615075442335716,-2.9026275182887122,1655291657,237,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
sometimes-1,57.637406510949916,-3.001873147454678,1655293891,261,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
sometimes-1,57.65526300053617,-2.8083732538267805,1655293958,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
sometimes-1,57.64094160574371,-2.8964314549198606,1655299881,292,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
sometimes-1,57.68856835782612,-2.832190636203195,1655299904,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
sometimes-1,57.66224297481189,-2.7710844693483256,1655299940,294,2005,17,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
sometimes-1,57.67222785221729,-2.980245744185193,1655300131,285,2006,16,Female,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
sometimes-1,57.62365338513888,-2.939418005184191,1655300241,279,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
sometimes-1,57.63086701111746,-2.9231209893142376,1655300339,293,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
sometimes-1,0,0,1655822459,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
