answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
moon-1,0,0,1654514173,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
moon-1,0,0,1654768586,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
moon-1,0,0,1654769005,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
moon-1,57.60079956072263,-2.502178195049621,1655112100,187,2005,17,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
moon-1,57.636978827317364,-3.030140433306709,1655213036,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
moon-1,57.65444826700471,-3.0185700778792115,1655291309,239,2008,14,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
moon-1,57.639347398585194,-3.0267943123950305,1655291559,254,2008,14,Female,School,92,Findochty,Moray,AB56,"North East (Aberdeen)"
moon-1,57.674061709537355,-2.823153487666651,1655293916,265,2006,16,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
moon-1,57.6434283585258,-2.891091807068554,1655293961,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
moon-1,57.66628468709579,-2.926328296273365,1655299742,283,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
moon-1,57.643795874841814,-2.1557330021079966,1655299916,289,2006,16,Female,School,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
moon-1,57.619987930433034,-3.1991753781284213,1655300679,281,2006,16,Female,School,737,Elgin,Moray,IV30,"North East (Aberdeen)"
moon-1,0,0,1655822462,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
moon-1,0,0,1655979728,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
moon-1,60.813207602677444,-0.8576791038422782,1663158517,346,2008,14,Male,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
moon-1,60.324289121276124,-1.2929726213262729,1663158529,342,2007,15,Male,School,1622,Voe,"Shetland Isles",ZE2,"Shetland Islands"
moon-1,60.377292160016296,-1.2789111955062604,1663159969,348,2008,14,Female,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
moon-1,60.429471338422175,-1.2695824947306276,1663161608,362,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
moon-1,60.56836133956047,-1.4005947772627962,1663161940,350,2008,14,Male,Y,1622,Voe,"Shetland Isles",ZE2,"Shetland Islands"
moon-1,55.94569522075207,-4.738560141000529,1663178847,387,1991,31,Female,Y,1230,"Greenock (central and east: Bogston, Bridgend, Cartsdyke, Gibshill, Greenock Central, Ladyburn, Upper Ingleston)",Inverclyde,PA15,Glasgow
moon-1,55.89564129403247,-4.198292166705508,1663219176,411,1969,53,Female,Y,608,"Riddrie, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
moon-1,59.890462150121245,-1.293307291444831,1663231831,414,1992,30,Other,Y,1638,Virkie,"Shetland Isles",ZE3,"Shetland Islands"
moon-1,60.173024480968024,-1.2468746002711704,1664793764,465,1990,32,Male,Y,1501,Scalloway,"Shetland Isles",ZE1,"Shetland Islands"
moon-1,55.819140432054304,-4.3002234385564435,1664796602,512,1941,81,Female,N,656,"Croftfoot, Glasgow",Glasgow,"Glasgow South",Glasgow
moon-1,56.09565409635074,-3.8003885370493578,1664796715,515,1989,33,Female,Y,419,Airth,Falkirk,FK2,"Stirling and Falkirk"
moon-1,54.99661951094394,-5.111576824908625,1664796800,516,1988,34,Male,Y,230,Sandhead,"Dumfries and Galloway",DG9,"Dumfries and Galloway"
moon-1,57.35610847256932,-2.1128252718211136,1664797243,519,1999,23,Male,Y,49,Ellon,Aberdeenshire,AB41,"North East (Aberdeen)"
moon-1,55.49455950904124,-2.8948947148685384,1664797290,501,1949,73,Male,Y,1479,Selkirk,"Scottish Borders",TD7,Borders
moon-1,55.89127146600482,-4.376504852203796,1664798043,528,1965,57,Female,N,641,"Knightswood, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
moon-1,56.08699606071199,-4.045164773956582,1664801275,547,1996,26,Male,Y,464,"Stirling (south and east: Braehead, Borestone, Broomridge, Torbrex)",Stirlingshire,FK7,"Stirling and Falkirk"
moon-1,55.83953898274974,-4.4496946239561375,1664803072,561,1971,51,Female,N,1220,"Paisley (central, east and north east: Ferguslie, Oldhall, Seedhill, Williamsburgh, Whitehaugh)",Renfrewshire,PA1,Glasgow
moon-1,56.23119549435572,-2.956333940096471,1664805342,579,1959,63,Female,Y,1140,Leven,Fife,KY8,Fife
moon-1,55.94681159931721,-4.849504713291536,1664806754,590,1995,27,Female,Y,1235,Gourock,Inverclyde,PA19,Glasgow
moon-1,58.599594523624994,-3.200314363397286,1664811402,622,1982,40,Female,Y,899,Wick,Highland,KW1,"Highlands (Inverness)"
moon-1,55.709875262129366,-4.165008992337704,1664812000,626,1984,38,Male,Y,534,"East Kilbride (south: Hairmyres, Westwood, The Murray, Murray East, Whitehills, Greenhill, Newlandsmuir, Gardenhall, Crosshouse, Newlands, Lindsayfield, Mossneuk)","South Lanarkshire",G75,Glasgow
moon-1,55.83799816643626,-4.1214015485665865,1664813006,630,1987,35,Female,N,623,"Shettleston, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
moon-1,55.14497095580481,-3.6053543618913917,1664813806,635,1939,83,Male,N,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
moon-1,59.9520206099978,-1.3030967310668555,1664815699,652,1968,54,Male,Y,1623,Walls,"Shetland Isles",ZE2,"Shetland Islands"
moon-1,55.49745772582795,-4.4068315673062495,1664816336,657,1970,52,Male,Y,845,Catrine,"East Ayrshire",KA5,Ayrshire
moon-1,55.88532812584023,-4.370165786701074,1664817016,639,1984,38,Female,Y,644,"Partick, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
moon-1,55.86061849149037,-4.019313373816997,1664817191,664,1980,42,Female,N,1189,Coatbridge,"North Lanarkshire",ML5,Glasgow
moon-1,55.936087847230596,-4.163062334908966,1664818000,631,1953,69,Female,N,508,Lennoxtown,"East Dunbartonshire",G66,Glasgow
moon-1,56.17970404212736,-4.825475167799821,1664818946,676,1994,28,Female,Y,553,Arrochar,"Argyll and Bute",G83,"Argyll and Bute"
moon-1,60.61049030663683,-1.3988743040279095,1664820116,684,1981,41,Female,N,1596,Scousburgh,"Shetland Isles",ZE2,"Shetland Islands"
moon-1,55.2900017408913,-3.6182767957687108,1664820727,688,1969,53,Female,Y,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
moon-1,56.13706997912042,-3.9407030691041385,1664820829,694,2000,22,Male,Y,479,"Stirling (north: Causewayhead, Cornton)",Stirlingshire,FK9,"Stirling and Falkirk"
moon-1,56.03779792840039,-4.639297916402867,1664821371,698,1953,69,Female,Y,557,Alexandria,"West Dunbartonshire",G83,"Argyll and Bute"
moon-1,55.86506811953565,-4.030076915571257,1664821746,702,1996,26,Male,Y,1189,Coatbridge,"North Lanarkshire",ML5,Glasgow
moon-1,55.81298043016906,-4.336304174043333,1664822319,710,1999,23,Male,Y,672,"Govan, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
moon-1,55.84312018983064,-4.5050249310138435,1664828708,725,1989,33,Male,Y,1276,Johnstone,Renfrewshire,PA5,Glasgow
moon-1,56.62086184112977,-3.0600102370577686,1664830667,753,1955,67,Male,N,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
moon-1,55.77309715641715,-4.318464212619315,1664831003,761,1985,37,Female,Y,539,"Newton Mearns","East Renfrewshire",G77,Glasgow
moon-1,56.37748543639917,-3.561321887838837,1664831655,705,1947,75,Male,Y,1313,"Perth (north and west: Burghmuir, Cherrybank, Hillyland, Inveralmond, Lethom, Muirton, North Muirton, Tulloch)","Perth and Kinross",PH1,Fife
moon-1,55.97851177935735,-3.8355668014754922,1664832065,764,1991,31,Female,Y,383,Slamannan, Falkirk,FK1,"Stirling and Falkirk"
moon-1,60.14561258718421,-1.192613342785663,1664837247,783,1952,70,Female,Y,1500,Lerwick,"Shetland Isles",ZE1,"Shetland Islands"
moon-1,56.141012370246884,-3.884837952849939,1664849071,798,2004,18,Female,School,479,"Stirling (north: Causewayhead, Cornton)",Stirlingshire,FK9,"Stirling and Falkirk"
moon-1,55.893382188089056,-4.3666960200346345,1664870809,838,1960,62,Male,Y,641,"Knightswood, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
moon-1,55.82892524181467,-4.292450336518056,1664871119,847,1977,45,Female,Y,648,"Shawlands, Glasgow",Glasgow,"Glasgow South",Glasgow
moon-1,56.02886228523929,-3.697575086983027,1664871211,844,1971,51,Male,N,439,Grangemouth,Falkirk,FK3,"Stirling and Falkirk"
moon-1,55.895485338823626,-3.4880947779048825,1664871357,873,1993,29,Male,Y,375,Livingston,"West Lothian",EH54,"Lothian (Edinburgh)"
moon-1,56.31809838556719,-2.9427931812334434,1664871471,868,1992,30,Female,Y,1105,Cupar,Fife,KY15,Fife
moon-1,56.19584972111716,-3.170077320442584,1664871956,867,1953,69,Male,N,1134,Markinch,Fife,KY7,Fife
moon-1,55.18645514589454,-3.932866515268668,1664873251,921,1965,57,Male,Y,209,Moniaive,"Dumfries and Galloway",DG3,"Dumfries and Galloway"
moon-1,55.87170569530185,-4.378971514364438,1664873843,929,1989,33,Female,Y,1264,Renfrew,Renfrewshire,PA4,Glasgow
moon-1,55.601165964751054,-4.541877048813633,1664874829,964,1995,27,Male,N,808,Crosshouse,"East Ayrshire",KA2,Ayrshire
moon-1,55.57108992249856,-4.405233682451266,1664874945,969,1960,62,Male,N,779,"Kilmarnock (centre and south: Bonnyton, Grange, Bellfield, Shortlees, Caprington, Riccarton, Hurlford)","East Ayrshire",KA1,Ayrshire
moon-1,59.89904803068202,-1.2746760606045167,1664875790,1003,1991,31,Male,Y,1636,Sumburgh,"Shetland Isles",ZE3,"Shetland Islands"
moon-1,55.99354436846095,-3.5285636298030525,1664876055,1016,1991,31,Other,Y,369,Linlithgow,"West Lothian",EH49,"Lothian (Edinburgh)"
moon-1,55.93376982703518,-4.004876560311863,1664876103,1028,1992,30,Male,Y,514,"Cumbernauld (south: Condorrat, Lenziemill, Carbrain, Kildrum, Cumbernauld Village, Abronhill, Seafar)","North Lanarkshire",G67,Glasgow
moon-1,56.124080938113934,-3.741044971438472,1664876496,1038,1968,54,Male,Y,391,Alloa,Clackmannanshire,FK10,"Stirling and Falkirk"
moon-1,55.91285500297049,-4.409121743093841,1664876514,1049,1994,28,Male,Y,546,Clydebank,"West Dunbartonshire",G81,Glasgow
moon-1,55.660449397452616,-4.366453710320638,1664876619,1060,1966,56,Male,Y,837,"Kilmarnock (north: Onthank, Townholm, Altonhill, Longpark, Beansburn, New Farm Loch, Knockinlaw, Hillhead, Crookedholm)","East Ayrshire",KA3,Ayrshire
moon-1,55.76430009361494,-3.7130297721808456,1664876681,1070,1968,54,Male,N,1167,Lanark,"South Lanarkshire",ML11,Glasgow
moon-1,54.87504700116734,-5.047228218994702,1664876853,1046,1976,46,Male,N,231,Stranraer,"Dumfries and Galloway",DG9,"Dumfries and Galloway"
moon-1,56.1054230354684,-3.851413611772019,1664876939,1078,1985,37,Female,Y,457,Bannockburn,Stirlingshire,FK7,"Stirling and Falkirk"
moon-1,55.85279111382098,-4.356489039156564,1664877106,1080,1988,34,Male,Y,661,"Govanhill, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
moon-1,55.57027803374106,-4.619387423317275,1664877877,1131,1996,26,Male,Y,808,Crosshouse,"East Ayrshire",KA2,Ayrshire
moon-1,55.77663949149484,-3.908858310360024,1664878626,1175,1997,25,Male,Y,1180,Wishaw,"North Lanarkshire",ML2,Glasgow
moon-1,55.78399248953678,-4.311593018423017,1664879426,1215,1997,25,Male,Y,648,"Shawlands, Glasgow",Glasgow,"Glasgow South",Glasgow
moon-1,55.8615778270467,-4.1270145627356305,1664880005,1228,1984,38,Female,Y,629,"Barmulloch, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
moon-1,57.13940481963091,-2.1000619587915788,1664880012,1225,1958,64,Female,N,133,"Bieldside, Aberdeen",Aberdeen,"Aberdeen Southwest","North East (Aberdeen)"
moon-1,58.40065623723396,-3.360792809785358,1664880103,1254,1989,33,Male,N,899,Wick,Highland,KW1,"Highlands (Inverness)"
moon-1,55.86413051183557,-4.154271334236056,1664880213,1228,1984,38,Female,Y,629,"Barmulloch, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
moon-1,56.12864194802781,-3.255491886975414,1664880410,1252,1991,31,Male,Y,1126,Cardenden,Fife,KY5,Fife
