answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
what-1,56.03689711186795,-2.8589741161474524,1653864010,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
what-1,55.393191949084034,-4.412937836904729,1653899009,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
what-1,56.49529074203042,-3.017330603404392,1653903508,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
what-1,55.9772056727297,-3.197598489115535,1653915372,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
what-1,0,0,1654514195,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
what-1,0,0,1654608872,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
what-1,0,0,1654768591,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
what-1,0,0,1654769011,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
what-1,57.67166924417741,-2.4987396196822087,1655112238,192,2005,17,Female,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
what-1,57.58622330811676,-2.592915175571699,1655112301,201,2006,16,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
what-1,57.64338705301214,-3.021738845053819,1655212992,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
what-1,57.64078265671784,-2.834482394686942,1655213029,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
what-1,57.68351217112492,-2.9406459745734455,1655213057,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
what-1,57.66671415029479,-2.964208157758249,1655213736,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
what-1,57.658831032374316,-2.9126821137393555,1655293964,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
what-1,57.62467919331461,-3.040376277590476,1655299927,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
what-1,57.65847288028405,-2.877705582205565,1655299954,294,2005,17,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
what-1,57.682198399175256,-2.8268138405760546,1655300137,285,2006,16,Female,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
what-1,0,0,1655822466,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
what-1,0,0,1655979731,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
what-1,59.97505578999436,-1.2648802056373758,1663158541,333,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
what-1,60.62012291354525,-1.1845316498644591,1663158740,340,2008,14,Female,School,1561,Hillswick,"Shetland Isles",ZE2,"Shetland Islands"
what-1,60.37588018119722,-1.1617910251500265,1663159151,344,2008,14,Female,School,1521,Busta,"Shetland Isles",ZE2,"Shetland Islands"
what-1,60.4230051669667,-1.2367250657483386,1663159977,348,2008,14,Female,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
what-1,60.15284698980437,-1.2252736844541974,1663161151,351,2008,14,Male,School,1500,Lerwick,"Shetland Isles",ZE1,"Shetland Islands"
what-1,60.53098397158205,-1.4734476007288142,1663161220,353,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
what-1,55.76381758117599,-4.003515437952303,1663161379,363,2008,14,Male,School,1183,Hamilton,"South Lanarkshire",ML3,Glasgow
what-1,60.32230795616021,-1.3041279693339147,1663161430,359,2008,14,Female,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
what-1,60.691628598142685,-1.0491995829741614,1663161719,352,2008,14,Male,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
what-1,60.30423874779894,-1.5996134422579167,1663162014,356,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
what-1,55.5982670721187,-4.479137056585723,1663167039,368,1980,42,Female,N,779,"Kilmarnock (centre and south: Bonnyton, Grange, Bellfield, Shortlees, Caprington, Riccarton, Hurlford)","East Ayrshire",KA1,Ayrshire
what-1,56.208258836645655,-3.266879448058313,1663172490,369,1967,55,Male,Y,1129,"Glenrothes (west: Caskieberran, Rimbleton, Macedonia, Tanshall)",Fife,KY6,Fife
what-1,55.81946045024009,-4.382193456872247,1663173438,370,1971,51,Female,Y,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
what-1,55.97176631550972,-3.2574868159576913,1663176051,376,1976,46,Male,Y,279,"Clermiston and Drumbrae, Edinburgh",Edinburgh,"Edinburgh Clermiston Granton","Lothian (Edinburgh)"
what-1,55.970309153211,-3.208819275554537,1663177546,382,1993,29,Female,Y,287,"Corstorphine, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
what-1,55.876990983561,-4.292869681200493,1663178113,383,1982,40,Female,Y,587,"Jordanhill, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
what-1,55.99599280566825,-4.938043301293209,1663178690,389,1965,57,Female,Y,1241,Dunoon,"Argyll and Bute",PA23,"Argyll and Bute"
what-1,57.551527932680415,-7.321892492387742,1663178737,386,1988,34,Female,Y,693,"Isle of North Uist","Western Isles",HS6,"Western Isles"
what-1,55.94874728578856,-4.762340766148448,1663178850,387,1991,31,Female,Y,1230,"Greenock (central and east: Bogston, Bridgend, Cartsdyke, Gibshill, Greenock Central, Ladyburn, Upper Ingleston)",Inverclyde,PA15,Glasgow
what-1,55.649506302858356,-2.487915185916224,1663180035,391,1972,50,Female,N,1451,Kelso,"Scottish Borders",TD5,Borders
what-1,55.8568112590627,-4.293427188177028,1663180759,395,1993,29,Female,Y,678,"Cardonald, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
what-1,56.66561425850436,-3.0337895748643304,1663184438,404,1990,32,Female,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
what-1,55.824654936885295,-4.353254471876156,1663188856,385,1958,64,Female,Y,678,"Cardonald, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
what-1,55.809055766639666,-4.338367752103865,1663225907,413,1991,31,Female,Y,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
what-1,55.9138790562808,-3.317823047927031,1663232138,415,1987,35,Male,Y,319,"Blackford, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
what-1,55.97827607241917,-3.7059327993127553,1663239909,421,1992,30,Female,Y,425,Polmont, Falkirk,FK2,"Stirling and Falkirk"
what-1,55.82504904396646,-4.193906674225485,1663688733,432,1986,36,Male,N,651,"Cathcart, Glasgow",Glasgow,"Glasgow South",Glasgow
what-1,55.76802987433677,-4.509535271362726,1663845107,436,1984,38,Male,Y,540,Barrhead,"East Renfrewshire",G78,Glasgow
what-1,56.23321282103716,-3.220658226488567,1663861290,369,1967,55,Male,Y,1129,"Glenrothes (west: Caskieberran, Rimbleton, Macedonia, Tanshall)",Fife,KY6,Fife
what-1,55.49961036877068,-4.127809295388686,1663961221,437,1977,45,Female,N,798,Cumnock,"East Ayrshire",KA18,Ayrshire
what-1,55.46002718599366,-4.191536088289653,1664215095,437,1977,45,Female,N,798,Cumnock,"East Ayrshire",KA18,Ayrshire
what-1,56.037424172754825,-4.503523870598554,1664387986,444,1989,33,Female,Y,557,Alexandria,"West Dunbartonshire",G83,"Argyll and Bute"
what-1,54.932928659431425,-4.681770679395271,1664647084,447,1952,70,Female,Y,225,"Newton Stewart","Dumfries and Galloway",DG8,"Dumfries and Galloway"
what-1,57.68274336516768,-3.3591200750330845,1664777202,451,1965,57,Female,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
what-1,57.684918874177704,-4.608267460905444,1664777279,453,1989,33,Male,N,706,Evanton,Highland,IV16,"Highlands (Inverness)"
what-1,55.842418398344506,-4.30056886365349,1664777924,454,1955,67,Male,Y,648,"Shawlands, Glasgow",Glasgow,"Glasgow South",Glasgow
what-1,55.956698387590684,-3.2509628024646893,1664788761,459,1965,57,Female,N,288,"Murrayfield, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
what-1,55.95728237687629,-3.2647027806534696,1664788945,459,1965,57,Female,N,288,"Murrayfield, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
what-1,55.93747094692887,-3.214696195376126,1664789708,468,1975,47,Female,Y,311,"Currie, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
what-1,56.483864868439554,-3.0222711044385946,1664792581,479,1957,65,Male,N,238,"Menzieshill, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
what-1,55.7837685293229,-4.519937279887065,1664793815,486,1955,67,Female,N,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
